"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Rashod Bateman (BAL)","4","4","121","30.3","59","2","1","0","0","0","0","1","18.1","18.1","33.3%"
"2","Amon-Ra St. Brown (DET)","8","8","112","14.0","35","1","1","0","0","0","0","1","17.2","17.2","99.7%"
"3","Brian Thomas Jr. (JAC)","5","5","89","17.8","58","1","1","2","2","0","0","1","17.1","17.1","99.5%"
"4","George Pickens (DAL)","5","9","111","22.2","44","2","1","0","0","0","0","1","17.1","17.1","92.8%"
"5","DK Metcalf (PIT)","4","7","99","24.8","35","3","1","0","0","0","0","1","15.9","15.9","96.5%"
"6","A.J. Brown (PHI)","5","5","89","17.8","41","1","1","0","0","0","0","1","14.9","14.9","99.5%"
"7","Justin Jefferson (MIN)","7","8","81","11.6","25","1","1","1","3","0","0","1","14.4","14.4","99.7%"
"8","Tee Higgins (CIN)","4","8","82","20.5","25","2","1","0","0","0","0","1","14.2","14.2","99.0%"
"9","Amari Cooper (FA)","4","5","66","16.5","27","1","1","0","0","0","0","1","12.6","12.6","6.5%"
"10","Ja'Marr Chase (CIN)","5","6","55","11.0","18","0","1","1","11","0","0","1","12.6","12.6","99.7%"
"11","Keon Coleman (BUF)","4","7","125","31.3","57","2","0","0","0","0","0","1","12.5","12.5","65.1%"
"12","Drake London (ATL)","6","8","63","10.5","17","0","1","0","0","0","0","1","12.3","12.3","99.2%"
"13","Cedrick Wilson Jr. (NO)","6","7","57","9.5","17","0","1","0","0","0","0","1","11.7","11.7","1.1%"
"14","Mecole Hardman Jr. (GB)","1","2","17","17.0","17","0","0","2","38","1","0","1","11.5","11.5","0.6%"
"15","Dontayvion Wicks (GB)","3","6","48","16.0","30","1","1","0","0","0","0","1","10.8","10.8","5.3%"
"16","Cedric Tillman (CLE)","8","12","81","10.1","25","1","0","0","0","0","0","1","10.1","10.1","25.4%"
"17","Kalif Raymond (DET)","3","4","39","13.0","21","1","1","0","0","0","0","1","9.9","9.9","0.6%"
