"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Derrick Henry (BAL)","18","169","9.4","49","3","2","1","1","13","13.0","0","1","1","28.2","28.2","99.7%"
"2","Javonte Williams (DAL)","15","54","3.6","11","0","2","3","2","10","5.0","0","0","1","18.4","18.4","97.5%"
"3","Bijan Robinson (ATL)","12","24","2.0","6","0","0","7","6","100","16.7","1","0","1","18.4","18.4","99.8%"
"4","James Cook III (BUF)","13","44","3.4","11","0","1","5","5","58","11.6","0","0","1","16.2","16.2","99.4%"
"5","Travis Etienne Jr. (JAC)","16","143","8.9","71","1","0","3","3","13","4.3","0","0","1","15.6","15.6","90.4%"
"6","Chuba Hubbard (CAR)","16","57","3.6","9","0","0","5","3","32","10.7","1","0","1","14.9","14.9","86.6%"
"7","Breece Hall (NYJ)","19","107","5.6","18","0","0","4","2","38","19.0","0","0","1","14.5","14.5","97.4%"
"8","Saquon Barkley (PHI)","18","60","3.3","16","0","1","5","4","24","6.0","0","0","1","14.4","14.4","99.8%"
"9","Christian McCaffrey (SF)","22","69","3.1","13","0","0","10","9","73","8.1","0","0","1","14.2","14.2","99.8%"
"10","Jacory Croskey-Merritt (WAS)","10","82","8.2","42","1","1","1","0","0","0","0","0","1","14.2","14.2","83.8%"
"11","De'Von Achane (MIA)","7","55","7.9","26","1","0","4","3","20","6.7","1","0","1","13.5","13.5","99.7%"
"12","Josh Jacobs (GB)","19","66","3.5","15","0","1","1","1","4","4.0","0","0","1","13.0","13.0","99.7%"
"13","Kyren Williams (LAR)","18","66","3.7","9","0","1","2","1","3","3.0","0","0","1","12.9","12.9","99.4%"
"14","J.K. Dobbins (DEN)","16","63","3.9","19","0","1","2","2","5","2.5","0","0","1","12.8","12.8","89.0%"
"15","Aaron Jones Sr. (MIN)","8","23","2.9","9","0","0","3","3","44","14.7","1","0","1","12.7","12.7","82.9%"
"16","Jaylen Warren (PIT)","11","37","3.4","9","0","0","2","2","22","11.0","1","0","1","11.9","11.9","91.5%"
"17","Alvin Kamara (NO)","11","45","4.1","18","0","1","2","2","12","6.0","0","0","1","11.7","11.7","96.2%"
"18","Chase Brown (CIN)","21","43","2.0","8","0","1","3","2","8","4.0","0","0","1","11.1","11.1","97.8%"
"19","Zach Charbonnet (SEA)","12","47","3.9","7","0","1","0","0","0","0","0","0","1","10.7","10.7","77.6%"
"20","Bucky Irving (TB)","14","37","2.6","9","0","0","4","4","8","2.0","1","0","1","10.5","10.5","96.6%"
"21","James Conner (ARI)","12","39","3.3","12","0","0","4","4","5","1.3","1","0","1","10.4","10.4","48.6%"
"22","Ashton Jeanty (LV)","19","38","2.0","9","0","1","2","2","2","1.0","0","0","1","10.0","10.0","99.2%"
"23","Jonathan Taylor (IND)","18","71","3.9","15","0","0","3","3","27","9.0","0","0","1","9.8","9.8","99.6%"
"24","Dylan Sampson (CLE)","12","29","2.4","5","0","0","8","8","64","8.0","0","0","1","9.3","9.3","15.7%"
"25","Trey Benson (ARI)","8","69","8.6","52","1","0","1","1","6","6.0","0","0","1","7.5","7.5","56.9%"
"26","Jordan Mason (MIN)","15","68","4.5","19","0","0","1","1","7","7.0","0","0","1","7.5","7.5","78.2%"
"27","Tony Pollard (TEN)","18","60","3.3","9","0","0","1","1","29","29.0","0","1","1","6.9","6.9","86.6%"
"28","Braelon Allen (NYJ)","6","9","1.5","8","0","1","0","0","0","0","0","0","1","6.9","6.9","12.8%"
"29","RJ Harvey (DEN)","6","70","11.7","50","1","0","1","1","-1","-1.0","0","0","1","6.9","6.9","73.3%"
"30","D'Andre Swift (CHI)","17","53","3.1","13","0","0","5","3","12","4.0","0","0","1","6.5","6.5","93.8%"
"31","Raheim Sanders (CLE)","3","3","1.0","2","0","1","0","0","0","0","0","0","1","6.3","6.3","1.0%"
"32","Omarion Hampton (LAC)","15","48","3.2","11","0","0","2","2","13","6.5","0","0","1","6.1","6.1","91.0%"
"33","Nick Chubb (HOU)","13","60","4.6","13","0","0","1","0","0","0","0","0","1","6.0","6.0","59.5%"
"34","Austin Ekeler (WAS)","6","26","4.3","6","0","0","3","3","31","10.3","0","0","1","5.7","5.7","33.9%"
"35","TreVeyon Henderson (NE)","5","27","5.4","14","0","0","6","6","24","4.0","0","0","1","5.1","5.1","83.6%"
"36","Jahmyr Gibbs (DET)","9","19","2.1","14","0","0","10","10","31","3.1","0","0","1","5.0","5.0","99.8%"
"37","David Montgomery (DET)","11","25","2.3","6","0","0","4","4","18","4.5","0","0","1","4.3","4.3","94.5%"
"38","DJ Giddens (IND)","12","41","3.4","12","0","0","0","0","0","0","0","0","1","4.1","4.1","2.1%"
"39","Brian Robinson Jr. (SF)","9","33","3.7","9","0","0","2","1","4","4.0","0","0","1","3.7","3.7","44.2%"
"40","Tyrone Tracy Jr. (NYG)","10","24","2.4","6","0","0","5","2","11","5.5","0","0","1","3.5","3.5","87.9%"
"41","Kyle Juszczyk (SF)","0","0","0","0","0","0","2","2","32","16.0","0","0","1","3.2","3.2","0.8%"
"42","Miles Sanders (DAL)","4","53","13.3","49","1","0","1","1","-3","-3.0","0","1","1","3.0","3.0","1.8%"
"43","Isiah Pacheco (KC)","5","25","5.0","10","0","0","3","2","3","1.5","0","0","1","2.8","2.8","81.5%"
"44","Rhamondre Stevenson (NE)","7","15","2.1","6","0","0","3","2","12","6.0","0","0","1","2.7","2.7","81.4%"
"45","Kareem Hunt (KC)","5","16","3.2","6","0","0","3","2","10","5.0","0","0","1","2.6","2.6","49.6%"
"46","Will Shipley (PHI)","3","26","8.7","20","1","0","0","0","0","0","0","0","1","2.6","2.6","3.3%"
"47","Jeremy McNichols (WAS)","4","25","6.3","13","0","0","0","0","0","0","0","0","1","2.5","2.5","3.4%"
"48","Ty Johnson (BUF)","2","24","12.0","17","0","0","2","0","0","0","0","0","1","2.4","2.4","1.1%"
"49","Kenneth Walker III (SEA)","10","20","2.0","8","0","0","3","3","4","1.3","0","0","1","2.4","2.4","95.4%"
"50","Kendre Miller (NO)","5","24","4.8","10","0","0","0","0","0","0","0","0","1","2.4","2.4","4.8%"
"51","Tyler Allgeier (ATL)","10","24","2.4","5","0","0","0","0","0","0","0","0","1","2.4","2.4","35.0%"
"52","Kenneth Gainwell (PIT)","7","19","2.7","6","0","0","4","3","4","1.3","0","0","1","2.3","2.3","43.1%"
"53","Isaiah Davis (NYJ)","2","18","9.0","15","0","0","0","0","0","0","0","0","1","1.8","1.8","18.9%"
"54","Rachaad White (TB)","2","14","7.0","11","0","0","1","1","2","2.0","0","0","1","1.6","1.6","74.9%"
"55","Tyler Badie (DEN)","0","0","0","0","0","0","6","2","16","8.0","0","0","1","1.6","1.6","0.7%"
"56","Rico Dowdle (CAR)","3","12","4.0","9","0","0","3","2","4","2.0","0","0","1","1.6","1.6","67.7%"
"57","Blake Corum (LAR)","1","2","2.0","2","0","0","1","1","14","14.0","0","0","1","1.6","1.6","9.7%"
"58","Tank Bigsby (PHI)","5","12","2.4","4","0","0","0","0","0","0","0","0","1","1.2","1.2","38.2%"
"59","Kyle Monangai (CHI)","0","0","0","0","0","0","1","1","11","11.0","0","0","1","1.1","1.1","71.5%"
"60","LeQuint Allen Jr. (JAC)","1","7","7.0","7","0","0","1","1","4","4.0","0","0","1","1.1","1.1","0.6%"
"61","Bhayshul Tuten (JAC)","3","11","3.7","8","0","0","0","0","0","0","0","0","1","1.1","1.1","25.5%"
"62","A.J. Dillon (PHI)","3","10","3.3","9","0","0","0","0","0","0","0","0","1","1.0","1.0","1.3%"
"63","Najee Harris (LAC)","1","5","5.0","5","0","0","1","1","5","5.0","0","0","1","1.0","1.0","8.2%"
"64","Cam Skattebo (NYG)","2","-3","-1.5","0","0","0","2","2","12","6.0","0","0","1","0.9","0.9","46.1%"
"65","Devin Neal (NO)","2","9","4.5","5","0","0","0","0","0","0","0","0","1","0.9","0.9","5.4%"
"66","Devin Singletary (NYG)","3","9","3.0","8","0","0","0","0","0","0","0","0","1","0.9","0.9","12.3%"
"67","Zamir White (LV)","3","8","2.7","5","0","0","0","0","0","0","0","0","1","0.8","0.8","0.9%"
"68","Dare Ogunbowale (HOU)","2","9","4.5","7","0","0","2","2","17","8.5","0","1","1","0.6","0.6","0.6%"
"69","Samaje Perine (CIN)","0","0","0","0","0","0","2","2","6","3.0","0","0","1","0.6","0.6","10.6%"
"70","Dameon Pierce (HOU)","3","5","1.7","2","0","0","1","0","0","0","0","0","1","0.5","0.5","3.7%"
"71","Rasheen Ali (BAL)","1","5","5.0","5","0","0","0","0","0","0","0","0","1","0.5","0.5","0.6%"
"72","Jerome Ford (CLE)","6","8","1.3","2","0","0","1","1","-3","-3.0","0","0","1","0.5","0.5","22.8%"
"73","Trevor Etienne (CAR)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","1.3%"
"74","Adam Prentice (DEN)","0","0","0","0","0","0","1","1","4","4.0","0","0","1","0.4","0.4","0.0%"
"75","Emanuel Wilson (GB)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","13.6%"
"76","Antonio Gibson (NE)","1","3","3.0","3","0","0","1","0","0","0","0","0","1","0.3","0.3","1.4%"
"77","Chris Brooks (GB)","1","1","1.0","1","0","0","1","1","2","2.0","0","0","1","0.3","0.3","0.8%"
"78","Woody Marks (HOU)","3","3","1.0","2","0","0","0","0","0","0","0","0","1","0.3","0.3","68.4%"
"79","Ollie Gordon II (MIA)","2","4","2.0","3","0","0","1","1","-1","-1.0","0","0","1","0.3","0.3","14.0%"
"80","Sean Tucker (TB)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","5.4%"
"81","Julius Chestnut (TEN)","2","2","1.0","1","0","0","0","0","0","0","0","0","1","0.2","0.2","1.1%"
"82","Alec Ingold (MIA)","0","0","0","0","0","0","2","1","1","1.0","0","0","1","0.1","0.1","0.6%"
"83","Ray Davis (BUF)","1","2","2.0","2","0","0","1","1","-1","-1.0","0","0","1","0.1","0.1","8.2%"
"84","Keilan Robinson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","Elijah Mitchell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"86","Khalil Herbert (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"87","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"88","Michael Carter (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.4%"
