"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Dalton Kincaid (BUF)","4","4","48","12.0","22","1","1","0","0","0","0","1","10.8","10.8","78.2%"
"2","Travis Kelce (KC)","4","2","47","23.5","37","1","1","0","0","0","0","1","10.7","10.7","97.2%"
"3","Brock Bowers (LV)","8","5","103","20.6","38","3","0","0","0","0","0","1","10.3","10.3","97.0%"
"4","Noah Fant (CIN)","5","4","26","6.5","12","0","1","0","0","0","0","1","8.6","8.6","4.2%"
"5","Zach Ertz (WAS)","5","3","26","8.7","11","0","1","0","0","0","0","1","8.6","8.6","69.8%"
"6","George Kittle (SF)","4","4","25","6.3","11","0","1","0","0","0","0","1","8.5","8.5","98.8%"
"7","Tyler Warren (IND)","9","7","76","10.9","21","1","0","1","3","0","0","1","7.9","7.9","97.6%"
"8","Tucker Kraft (GB)","4","2","16","8.0","15","0","1","1","3","0","0","1","7.9","7.9","90.6%"
"9","Sam LaPorta (DET)","9","6","79","13.2","32","1","0","0","0","0","0","1","7.9","7.9","98.0%"
"10","Juwan Johnson (NO)","11","8","76","9.5","21","1","0","0","0","0","0","1","7.6","7.6","25.2%"
"11","Jake Tonges (SF)","3","3","15","5.0","9","0","1","0","0","0","0","1","7.5","7.5","2.8%"
"12","Jonnu Smith (PIT)","6","5","15","3.0","6","0","1","0","0","0","0","1","7.5","7.5","35.9%"
"13","Davis Allen (LAR)","2","1","13","13.0","13","0","1","0","0","0","0","1","7.3","7.3","0.6%"
"14","Hunter Long (JAC)","1","1","6","6.0","6","0","1","0","0","0","0","1","6.6","6.6","0.6%"
"15","Hunter Henry (NE)","8","4","66","16.5","27","1","0","0","0","0","0","1","6.6","6.6","61.7%"
"16","Harold Fannin Jr. (CLE)","9","7","63","9.0","22","1","0","1","3","0","0","1","6.6","6.6","51.9%"
"17","Trey McBride (ARI)","9","6","61","10.2","25","1","0","0","0","0","0","1","6.1","6.1","99.7%"
"18","Brenton Strange (JAC)","4","4","59","14.8","24","1","0","0","0","0","0","1","5.9","5.9","18.4%"
"19","Kyle Pitts Sr. (ATL)","8","7","59","8.4","14","0","0","0","0","0","0","1","5.9","5.9","77.2%"
"20","Tyler Conklin (LAC)","2","2","50","25.0","33","1","0","1","2","0","0","1","5.2","5.2","0.9%"
"21","Dallas Goedert (PHI)","7","7","44","6.3","9","0","0","0","0","0","0","1","4.4","4.4","87.7%"
"22","Michael Mayer (LV)","4","4","38","9.5","12","0","0","0","0","0","0","1","3.8","3.8","3.3%"
"23","David Njoku (CLE)","6","3","37","12.3","17","0","0","0","0","0","0","1","3.7","3.7","71.2%"
"24","Cole Kmet (CHI)","4","1","31","31.0","31","1","0","0","0","0","0","1","3.1","3.1","3.8%"
"25","Jackson Hawes (BUF)","1","1","29","29.0","29","1","0","0","0","0","0","1","2.9","2.9","0.6%"
"26","Dalton Schultz (HOU)","5","3","28","9.3","11","0","0","0","0","0","0","1","2.8","2.8","25.3%"
"27","Pat Freiermuth (PIT)","3","3","28","9.3","11","0","0","0","0","0","0","1","2.8","2.8","8.8%"
"28","Ja'Tavion Sanders (CAR)","3","2","27","13.5","18","0","0","0","0","0","0","1","2.7","2.7","2.1%"
"29","Jake Ferguson (DAL)","6","5","23","4.6","5","0","0","0","0","0","0","1","2.3","2.3","88.3%"
"30","Cade Stover (HOU)","4","4","22","5.5","10","0","0","0","0","0","0","1","2.2","2.2","0.6%"
"31","Evan Engram (DEN)","4","3","21","7.0","10","0","0","0","0","0","0","1","2.1","2.1","67.3%"
"32","Dawson Knox (BUF)","2","2","20","10.0","12","0","0","0","0","0","0","1","2.0","2.0","1.3%"
"33","Mason Taylor (NYJ)","1","1","20","20.0","20","1","0","0","0","0","0","1","2.0","2.0","19.5%"
"34","Mo Alie-Cox (IND)","1","1","20","20.0","20","1","0","0","0","0","0","1","2.0","2.0","0.6%"
"35","Julian Hill (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","2.0","2.0","0.6%"
"36","Tanner Conner (MIA)","4","2","20","10.0","14","0","0","0","0","0","0","1","2.0","2.0","0.6%"
"37","Chig Okonkwo (TEN)","4","3","19","6.3","14","0","0","0","0","0","0","1","1.9","1.9","17.3%"
"38","Will Dissly (LAC)","1","1","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","0.6%"
"39","Jeremy Ruckert (NYJ)","2","2","16","8.0","12","0","0","0","0","0","0","1","1.6","1.6","0.7%"
"40","Gunnar Helm (TEN)","2","1","16","16.0","16","0","0","0","0","0","0","1","1.6","1.6","1.2%"
"41","T.J. Hockenson (MIN)","4","3","15","5.0","9","0","0","0","0","0","0","1","1.5","1.5","85.9%"
"42","Mike Gesicki (CIN)","3","1","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","2.5%"
"43","Daniel Bellinger (NYG)","1","1","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","0.6%"
"44","Colston Loveland (CHI)","2","2","12","6.0","8","0","0","0","0","0","0","1","1.2","1.2","24.6%"
"45","Tip Reiman (ARI)","1","1","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"46","Austin Hooper (NE)","1","1","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","0.6%"
"47","Elijah Arroyo (SEA)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","2.2%"
"48","Lucas Krull (DEN)","2","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","1.8%"
"49","Mark Andrews (BAL)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","78.0%"
"50","Adam Trautman (DEN)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.7%"
"51","Josh Oliver (MIN)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.7%"
"52","Theo Johnson (NYG)","3","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","29.2%"
"53","Luke Musgrave (GB)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","1.0%"
"54","Luke Farrell (SF)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.6%"
"55","Elijah Higgins (ARI)","2","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.6%"
"56","Noah Gray (KC)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","1.3%"
"57","AJ Barner (SEA)","2","1","0","0.0","0","0","0","1","2","0","0","1","0.2","0.2","15.4%"
"58","John FitzPatrick (GB)","1","1","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"59","Tommy Tremble (CAR)","1","1","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","0.7%"
"60","Kylen Granson (PHI)","1","1","1","1.0","1","0","0","0","0","0","0","1","0.1","0.1","0.7%"
"61","Donald Parham Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"62","Kenny Yeboah (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Quintin Morris (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"64","John Bates (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"65","Jalin Conyers (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"66","Josh Whyle (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"67","Jake Briningstool (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Stephen Carlson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
