"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Josh Allen (BUF)","33","46","71.7","394","8.6","2","0","1","14","30","2","0","1","38.8","38.8","99.7%"
"2","Daniel Jones (IND)","22","29","75.9","272","9.4","1","0","1","7","26","2","0","1","29.5","29.5","65.8%"
"3","Justin Fields (NYJ)","16","22","72.7","218","9.9","1","0","1","12","48","2","0","1","29.5","29.5","40.3%"
"4","Lamar Jackson (BAL)","14","19","73.7","209","11.0","2","0","2","6","70","1","0","1","29.4","29.4","99.8%"
"5","Justin Herbert (LAC)","25","34","73.5","318","9.4","3","0","3","7","32","0","0","1","27.9","27.9","93.4%"
"6","Patrick Mahomes II (KC)","24","39","61.5","258","6.6","1","0","2","6","57","1","0","1","26.0","26.0","99.2%"
"7","Aaron Rodgers (PIT)","22","30","73.3","244","8.1","4","0","4","1","-1","0","0","1","25.7","25.7","41.5%"
"8","Jalen Hurts (PHI)","19","23","82.6","152","6.6","0","0","1","14","62","2","0","1","24.3","24.3","99.7%"
"9","Caleb Williams (CHI)","21","35","60.0","210","6.0","1","0","2","6","58","1","0","1","24.2","24.2","78.0%"
"10","Michael Penix Jr. (ATL)","27","42","64.3","298","7.1","1","0","1","6","21","1","0","1","24.0","24.0","16.9%"
"11","J.J. McCarthy (MIN)","13","20","65.0","143","7.2","2","1","3","2","25","1","0","1","23.2","23.2","26.2%"
"12","Baker Mayfield (TB)","17","32","53.1","167","5.2","3","0","1","5","39","0","0","1","22.6","22.6","95.9%"
"13","Jayden Daniels (WAS)","19","30","63.3","233","7.8","1","0","3","11","68","0","0","1","20.1","20.1","96.0%"
"14","Brock Purdy (SF)","26","35","74.3","277","7.9","2","2","1","5","17","0","0","1","18.8","18.8","69.3%"
"15","Geno Smith (LV)","24","34","70.6","362","10.6","1","1","4","2","10","0","0","1","18.5","18.5","12.5%"
"16","Kyler Murray (ARI)","21","29","72.4","163","5.6","2","0","5","7","38","0","0","1","18.3","18.3","71.2%"
"17","Jordan Love (GB)","16","22","72.7","188","8.5","2","0","0","3","4","0","0","1","15.9","15.9","79.2%"
"18","Drake Maye (NE)","30","46","65.2","287","6.2","1","1","4","4","11","0","0","1","15.8","15.8","94.2%"
"19","Joe Flacco (CIN)","31","45","68.9","290","6.4","1","2","2","2","6","0","0","1","14.2","14.2","45.6%"
"20","Matthew Stafford (LAR)","21","29","72.4","245","8.4","1","0","3","4","-2","0","0","1","13.6","13.6","79.7%"
"21","Jared Goff (DET)","31","39","79.5","225","5.8","1","1","4","1","-1","0","0","1","11.9","11.9","83.7%"
