"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"55","Alec Pierce (IND)","3","1","36","36.0","36","1","0","0","0","0","0","1","3.6","3.6","16.7%"
"56","Xavier Smith (LAR)","1","1","36","36.0","36","1","0","0","0","0","0","1","3.6","3.6","0.6%"
"57","Xavier Hutchinson (HOU)","2","2","30","15.0","23","1","0","1","5","0","0","1","3.5","3.5","3.5%"
"58","Chris Moore (WAS)","1","1","34","34.0","34","1","0","0","0","0","0","1","3.4","3.4","1.6%"
"59","Rashid Shaheed (SEA)","9","6","33","5.5","17","0","0","0","0","0","0","1","3.3","3.3","76.2%"
"60","Casey Washington (ATL)","6","3","33","11.0","19","0","0","0","0","0","0","1","3.3","3.3","0.1%"
"61","Travis Hunter (JAC)","8","6","33","5.5","10","0","0","0","0","0","0","1","3.3","3.3","86.4%"
"62","Tee Higgins (CIN)","4","3","33","11.0","13","0","0","0","0","0","0","1","3.3","3.3","97.7%"
"63","Jayden Higgins (HOU)","3","2","32","16.0","23","1","0","0","0","0","0","1","3.2","3.2","19.3%"
"64","Tyler Johnson (NYJ)","2","2","31","15.5","24","1","0","0","0","0","0","1","3.1","3.1","0.6%"
"65","Jaylen Waddle (MIA)","5","4","30","7.5","16","0","0","0","0","0","0","1","3.0","3.0","95.0%"
"66","George Pickens (DAL)","4","3","30","10.0","15","0","0","0","0","0","0","1","3.0","3.0","97.3%"
"67","Dontayvion Wicks (GB)","2","2","30","15.0","16","0","0","0","0","0","0","1","3.0","3.0","2.8%"
"68","Malik Washington (MIA)","5","2","20","10.0","11","0","0","1","9","0","0","1","2.9","2.9","19.6%"
"69","Jalen Nailor (MIN)","3","1","28","28.0","28","1","0","0","0","0","0","1","2.8","2.8","2.1%"
"70","Noah Brown (WAS)","3","2","27","13.5","18","0","0","0","0","0","0","1","2.7","2.7","0.9%"
"71","KaVontae Turpin (DAL)","2","2","18","9.0","16","0","0","2","9","0","0","1","2.7","2.7","4.5%"
"72","Calvin Ridley (TEN)","8","4","27","6.8","13","0","0","0","0","0","0","1","2.7","2.7","57.6%"
"73","Terry McLaurin (WAS)","4","2","27","13.5","14","0","0","0","0","0","0","1","2.7","2.7","92.3%"
"74","Justin Watson (HOU)","2","2","27","13.5","15","0","0","0","0","0","0","1","2.7","2.7","1.8%"
"75","Jameson Williams (DET)","5","4","23","5.8","11","0","0","1","3","0","0","1","2.6","2.6","86.5%"
"76","Ja'Marr Chase (CIN)","5","2","26","13.0","20","1","0","0","0","0","0","1","2.6","2.6","99.6%"
"77","Brandin Cooks (NO)","4","3","26","8.7","12","0","0","0","0","0","0","1","2.6","2.6","2.2%"
"78","Nico Collins (HOU)","5","3","25","8.3","14","0","0","0","0","0","0","1","2.5","2.5","99.0%"
"79","Jack Bech (LV)","1","1","23","23.0","23","1","0","0","0","0","0","1","2.3","2.3","3.0%"
"80","Adonai Mitchell (NYJ)","2","2","21","10.5","18","0","0","0","0","0","0","1","2.1","2.1","1.5%"
"81","Adam Thielen (MIN)","1","0","0","0","0","0","0","0","0","0","0","1","2.0","2.0","6.4%"
"82","Josh Reynolds (NYJ)","3","2","18","9.0","13","0","0","0","0","0","0","1","1.8","1.8","2.5%"
"83","Kalif Raymond (DET)","3","2","16","8.0","9","0","0","0","0","0","0","1","1.6","1.6","0.6%"
"84","Matthew Golden (GB)","2","2","16","8.0","11","0","0","0","0","0","0","1","1.6","1.6","62.9%"
"85","DeVonta Smith (PHI)","3","3","16","5.3","7","0","0","0","0","0","0","1","1.6","1.6","95.2%"
"86","Jauan Jennings (SF)","5","2","16","8.0","11","0","0","0","0","0","0","1","1.6","1.6","77.8%"
"87","Ashton Dulin (IND)","0","0","0","0","0","0","0","1","15","0","0","1","1.5","1.5","0.1%"
"88","Cooper Kupp (SEA)","3","2","15","7.5","9","0","0","0","0","0","0","1","1.5","1.5","70.5%"
"89","Devaughn Vele (NO)","2","1","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","0.7%"
"90","Elic Ayomanor (TEN)","7","2","13","6.5","10","0","0","0","0","0","0","1","1.3","1.3","28.0%"
"91","Kyle Williams (NE)","1","1","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","2.9%"
"92","Josh Downs (IND)","3","2","12","6.0","6","0","0","0","0","0","0","1","1.2","1.2","62.3%"
"93","Jaylin Lane (WAS)","2","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","1.1%"
"94","Hunter Renfrow (CAR)","6","2","11","5.5","6","0","0","0","0","0","0","1","1.1","1.1","1.1%"
"95","Tre Harris (LAC)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","5.1%"
"96","Elijah Moore (BUF)","1","1","3","3.0","3","0","0","1","8","0","0","1","1.1","1.1","0.7%"
"97","Xavier Legette (CAR)","7","3","10","3.3","9","0","0","0","0","0","0","1","1.0","1.0","18.0%"
"98","Rashod Bateman (BAL)","4","2","10","5.0","5","0","0","0","0","0","0","1","1.0","1.0","17.8%"
"99","Dee Eskridge (MIA)","2","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"100","Chimere Dike (TEN)","1","0","0","0","0","0","0","1","9","0","0","1","0.9","0.9","30.3%"
"101","Bryce Oliver (TEN)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"102","A.J. Brown (PHI)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","98.4%"
"103","Jaylin Noel (HOU)","2","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","7.2%"
"104","Nick Westbrook-Ikhine (MIA)","2","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","1.1%"
"105","Jamari Thrash (CLE)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.6%"
"106","Isaiah Bond (CLE)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","2.0%"
"107","Michael Wilson (ARI)","4","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","4.3%"
"108","Jordan Whittington (LAR)","0","0","0","0","0","0","0","1","5","0","0","1","0.5","0.5","2.7%"
"109","Tutu Atwell (LAR)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","1.5%"
"110","Zay Jones (ARI)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.7%"
"111","Mack Hollins (NE)","2","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","1.1%"
"112","Derius Davis (LAC)","0","0","0","0","0","0","0","1","3","0","0","1","0.3","0.3","0.6%"
"113","Trent Sherfield Sr. (DEN)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"114","Savion Williams (GB)","1","1","1","1.0","1","0","0","0","0","0","0","1","0.1","0.1","0.7%"
"115","Jonathan Mingo (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"116","Kevin Austin Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","Chris Tyree (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Arian Smith (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"119","Malik Cunningham (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"120","Xavier Worthy (KC)","1","0","0","0","0","0","0","1","0","0","0","1","0.0","0.0","92.8%"
"121","Ronnie Bell (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","AJ Henning (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Cornelius Johnson (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"124","Simi Fehoko (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"125","Jalen McMillan (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.4%"
"126","Terrace Marshall Jr. (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"127","Parker Washington (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","8.1%"
"128","Jordan Addison (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","87.7%"
"129","Ainias Smith (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"130","Rashee Rice (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.8%"
"131","Jermaine Burton (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"132","Traeshon Holden (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","John Metchie III (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"134","Treylon Burks (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"135","Beaux Collins (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"136","Ja'Corey Brooks (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"137","Chris Blair (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Mason Kinsey (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Quez Watkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","Cody White (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"141","Rondale Moore (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
