"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Zach Ertz (WAS)","6","7","72","12.0","37","1","2","0","0","0","0","1","19.2","19.2","43.6%"
"2","Trey McBride (ARI)","12","16","123","10.3","34","1","1","0","0","0","0","1","18.3","18.3","99.4%"
"3","Travis Kelce (KC)","8","11","84","10.5","20","1","1","0","0","0","0","1","14.4","14.4","97.0%"
"4","Tyler Conklin (LAC)","8","8","57","7.1","20","1","1","0","0","0","0","1","13.7","13.7","3.5%"
"5","Mark Andrews (BAL)","2","2","68","34.0","67","1","1","0","0","0","0","1","12.8","12.8","94.8%"
"6","Sam LaPorta (DET)","6","8","64","10.7","28","1","1","0","0","0","0","1","12.4","12.4","98.7%"
"7","George Kittle (SF)","8","8","112","14.0","22","2","0","0","0","0","0","1","11.2","11.2","99.4%"
"8","Foster Moreau (NO)","3","5","47","15.7","30","1","1","0","0","0","0","1","10.7","10.7","0.7%"
"9","Kyle Pitts Sr. (ATL)","4","5","44","11.0","23","1","1","0","0","0","0","1","10.4","10.4","68.2%"
"10","Payne Durham (TB)","2","3","36","18.0","31","1","1","0","0","0","0","1","9.6","9.6","0.6%"
"11","Jonnu Smith (PIT)","3","4","26","8.7","12","0","1","0","0","0","0","1","8.6","8.6","54.3%"
"12","Mike Gesicki (CIN)","10","12","86","8.6","12","0","0","0","0","0","0","1","8.6","8.6","15.2%"
"13","Brock Bowers (LV)","7","7","77","11.0","17","0","0","1","-1","0","0","1","7.6","7.6","99.6%"
"14","Isaiah Likely (BAL)","1","1","9","9.0","9","0","1","0","0","0","0","1","6.9","6.9","27.6%"
"15","Nick Vannett (MIN)","1","1","8","8.0","8","0","1","0","0","0","0","1","6.8","6.8","0.0%"
"16","T.J. Hockenson (MIN)","5","6","68","13.6","28","1","0","0","0","0","0","1","6.8","6.8","96.3%"
"17","Juwan Johnson (NO)","6","10","66","11.0","25","1","0","0","0","0","0","1","6.6","6.6","6.2%"
"18","Chig Okonkwo (TEN)","5","7","42","8.4","18","0","0","1","17","0","0","1","5.9","5.9","19.0%"
"19","Tucker Kraft (GB)","2","3","53","26.5","35","1","0","0","0","0","0","1","5.3","5.3","83.6%"
"20","Devin Culp (TB)","3","4","52","17.3","26","1","0","0","0","0","0","1","5.2","5.2","1.2%"
"21","Jordan Akins (FA)","6","8","49","8.2","15","0","0","0","0","0","0","1","4.9","4.9","1.0%"
"22","Noah Fant (CIN)","4","5","43","10.8","15","0","0","0","0","0","0","1","4.3","4.3","4.2%"
"23","Pat Freiermuth (PIT)","7","8","60","8.6","15","0","0","0","0","0","1","1","4.0","4.0","18.8%"
"24","Grant Calcaterra (PHI)","1","2","34","34.0","34","1","0","0","0","0","0","1","3.4","3.4","0.6%"
"25","Kylen Granson (PHI)","3","4","34","11.3","27","1","0","0","0","0","0","1","3.4","3.4","1.2%"
"26","Dalton Kincaid (BUF)","2","2","24","12.0","13","0","0","0","0","0","0","1","2.4","2.4","78.3%"
"27","Elijah Higgins (ARI)","2","3","23","11.5","15","0","0","0","0","0","0","1","2.3","2.3","0.6%"
"28","Stone Smartt (NYJ)","2","2","23","11.5","14","0","0","0","0","0","0","1","2.3","2.3","1.0%"
"29","Dalton Schultz (HOU)","2","6","21","10.5","18","0","0","0","0","0","0","1","2.1","2.1","9.8%"
"30","Will Dissly (LAC)","2","3","21","10.5","14","0","0","0","0","0","0","1","2.1","2.1","2.2%"
"31","Austin Hooper (NE)","3","3","19","6.3","9","0","0","0","0","0","0","1","1.9","1.9","1.5%"
"32","John Bates (WAS)","1","1","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","0.6%"
"33","Michael Mayer (LV)","1","2","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","3.2%"
"34","Chris Manhertz (NYG)","1","1","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"35","Tyler Higbee (LAR)","2","3","9","4.5","7","0","0","0","0","0","0","1","0.9","0.9","6.4%"
"36","Darnell Washington (PIT)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","1.1%"
"37","Tucker Fisk (LAC)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","1.0%"
"38","Blake Whiteheart (CLE)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"39","Connor Heyward (PIT)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"40","Nate Adkins (DEN)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","1.0%"
"41","Cam Grandy (CIN)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"42","Johnny Mundt (JAC)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.1%"
"43","Charlie Woerner (ATL)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.1%"
"44","Noah Gray (KC)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","4.8%"
"45","Ja'Tavion Sanders (CAR)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","6.8%"
"46","Adam Trautman (DEN)","1","3","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.7%"
"47","Luke Musgrave (GB)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","2.6%"
"48","Dawson Knox (BUF)","1","3","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","2.1%"
"49","Lucas Krull (DEN)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","1.8%"
"50","Drew Sample (CIN)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.6%"
"51","Cade Stover (HOU)","1","1","1","1.0","1","0","0","0","0","0","0","1","0.1","0.1","1.2%"
"52","JJ Galbreath (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Charlie Kolar (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"54","Bryce Pierre (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Dominique Dafney (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Tommy Tremble (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"57","Hunter Long (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"58","Jalin Conyers (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"59","Patrick Herbert (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Kenny Yeboah (DET)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"61","John Copenhaver (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Quintin Morris (JAC)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.4%"
"63","Josh Whyle (TEN)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"64","Josiah Deguara (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"65","Chris Myarick (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Cole Kmet (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","7.2%"
"67","Colby Parkinson (LAR)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
