"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jonathan Taylor (IND)","32","125","3.9","26","1","2","2","4","11","5.5","0","0","1","25.6","25.6","99.2%"
"2","Derrick Henry (BAL)","27","147","5.4","20","1","1","2","2","18","9.0","0","0","1","22.5","22.5","99.5%"
"3","Jahmyr Gibbs (DET)","18","117","6.5","30","2","1","4","4","46","11.5","0","0","1","22.3","22.3","99.6%"
"4","Bijan Robinson (ATL)","17","90","5.3","13","0","2","3","5","8","2.7","0","0","1","21.8","21.8","99.6%"
"5","Bucky Irving (TB)","20","113","5.7","34","1","0","4","4","77","19.3","0","0","1","19.0","19.0","99.4%"
"6","Saquon Barkley (PHI)","31","167","5.4","23","2","0","2","2","2","1.0","0","0","1","16.9","16.9","99.7%"
"7","Ameer Abdullah (FA)","20","115","5.8","17","0","0","3","4","32","10.7","0","0","1","14.7","14.7","0.6%"
"8","J.K. Dobbins (DEN)","19","76","4.0","13","0","1","1","1","7","7.0","0","0","1","14.3","14.3","77.8%"
"9","Kyren Williams (LAR)","13","56","4.3","18","0","1","3","3","16","5.3","0","0","1","13.2","13.2","98.9%"
"10","James Cook (BUF)","15","53","3.5","8","0","1","0","0","0","0","0","0","1","11.3","11.3","98.4%"
"11","Jaylen Warren (PIT)","11","71","6.5","22","1","0","5","6","41","8.2","0","0","1","11.2","11.2","83.3%"
"12","Josh Jacobs (GB)","17","69","4.1","13","0","1","0","0","0","0","0","1","1","10.9","10.9","99.4%"
"13","Tyjae Spears (TEN)","20","95","4.8","23","1","0","3","4","8","2.7","0","0","1","10.3","10.3","54.0%"
"14","Isaac Guerendo (SF)","9","34","3.8","11","0","0","4","4","65","16.3","0","0","1","9.9","9.9","34.0%"
"15","Cam Akers (NO)","6","18","3.0","16","0","0","2","3","15","7.5","1","0","1","9.3","9.3","0.7%"
"16","Chase Brown (CIN)","20","67","3.4","9","0","0","4","4","24","6.0","0","0","1","9.1","9.1","97.9%"
"17","Emanuel Wilson (GB)","6","29","4.8","14","0","1","0","0","0","0","0","0","1","8.9","8.9","1.8%"
"18","Rico Dowdle (CAR)","23","104","4.5","17","0","0","1","1","4","4.0","0","1","1","8.8","8.8","20.2%"
"19","Chris Rodriguez Jr. (WAS)","5","16","3.2","6","0","1","1","1","12","12.0","0","0","1","8.8","8.8","2.4%"
"20","Michael Carter (ARI)","13","70","5.4","13","0","0","2","2","11","5.5","0","0","1","8.1","8.1","1.1%"
"21","Najee Harris (LAC)","13","74","5.7","20","1","0","2","4","7","3.5","0","0","1","8.1","8.1","54.3%"
"22","D'Andre Swift (CHI)","12","53","4.4","12","0","0","4","5","28","7.0","0","0","1","8.1","8.1","90.5%"
"23","Kareem Hunt (KC)","9","20","2.2","6","0","1","0","0","0","0","0","0","1","8.0","8.0","16.8%"
"24","Aaron Jones Sr. (MIN)","12","47","3.9","13","0","0","4","5","30","7.5","0","0","1","7.7","7.7","89.7%"
"25","Zach Charbonnet (SEA)","15","57","3.8","11","0","0","3","3","19","6.3","0","0","1","7.6","7.6","70.9%"
"26","Jaleel McLaughlin (DEN)","10","69","6.9","13","0","0","2","2","7","3.5","0","0","1","7.6","7.6","3.9%"
"27","Travis Etienne Jr. (JAC)","15","49","3.3","15","0","0","1","2","26","26.0","0","0","1","7.5","7.5","81.0%"
"28","Tyrone Tracy Jr. (NYG)","20","59","3.0","40","1","0","2","3","14","7.0","0","0","1","7.3","7.3","85.0%"
"29","Kyle Juszczyk (SF)","0","0","0","0","0","0","1","2","9","9.0","1","0","1","6.9","6.9","0.9%"
