"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Alvin Kamara (NO)","20","115","5.8","15","0","3","2","3","65","32.5","1","0","1","42.0","42.0","96.9%"
"2","James Cook (BUF)","11","78","7.1","49","1","2","1","1","17","17.0","1","0","1","27.5","27.5","98.4%"
"3","De'Von Achane (MIA)","22","96","4.4","17","0","0","7","7","69","9.9","1","0","1","22.5","22.5","99.3%"
"4","J.K. Dobbins (DEN)","17","131","7.7","43","1","1","1","1","0","0.0","0","0","1","19.1","19.1","77.8%"
"5","James Conner (ARI)","21","122","5.8","22","1","1","1","1","2","2.0","0","0","1","18.4","18.4","94.5%"
"6","Braelon Allen (NYJ)","7","33","4.7","20","1","1","2","4","23","11.5","1","0","1","17.6","17.6","29.4%"
"7","Breece Hall (NYJ)","14","62","4.4","30","1","0","7","8","52","7.4","1","0","1","17.4","17.4","96.5%"
"8","Jordan Mason (MIN)","20","100","5.0","22","1","1","1","1","4","4.0","0","0","1","16.4","16.4","74.3%"
"9","Derrick Henry (BAL)","18","84","4.7","29","1","1","1","1","12","12.0","0","0","1","15.6","15.6","99.5%"
"10","Rhamondre Stevenson (NE)","21","81","3.9","18","0","1","2","5","9","4.5","0","0","1","15.0","15.0","73.9%"
"11","Saquon Barkley (PHI)","22","95","4.3","11","0","0","4","5","21","5.3","0","0","1","13.6","13.6","99.7%"
"12","Brian Robinson Jr. (WAS)","17","133","7.8","40","2","0","1","3","3","3.0","0","0","1","13.6","13.6","84.9%"
"13","Jonathan Taylor (IND)","12","103","8.6","29","1","0","2","4","32","16.0","0","0","1","13.5","13.5","99.2%"
"14","Devin Singletary (NYG)","16","95","5.9","22","1","1","1","1","0","0.0","0","1","1","13.5","13.5","2.4%"
"15","Josh Jacobs (GB)","32","151","4.7","34","1","0","0","0","0","0","0","1","1","13.1","13.1","99.4%"
"16","David Montgomery (DET)","11","35","3.2","9","0","1","4","4","35","8.8","0","0","1","13.0","13.0","94.0%"
"17","Zach Charbonnet (SEA)","14","38","2.7","9","0","1","5","5","31","6.2","0","0","1","12.9","12.9","70.9%"
"18","Bijan Robinson (ATL)","14","97","6.9","19","0","0","4","5","25","6.3","0","0","1","12.2","12.2","99.6%"
"19","Travis Etienne Jr. (JAC)","13","52","4.0","20","1","1","3","4","6","2.0","0","0","1","11.8","11.8","81.0%"
"20","Kyren Williams (LAR)","12","25","2.1","9","0","1","4","5","27","6.8","0","0","1","11.2","11.2","98.9%"
"21","Isiah Pacheco (KC)","19","90","4.7","11","0","0","5","5","21","4.2","0","0","1","11.1","11.1","91.6%"
"22","Jahmyr Gibbs (DET)","13","84","6.5","24","2","0","7","7","22","3.1","0","0","1","10.6","10.6","99.6%"
"23","Antonio Gibson (NE)","11","96","8.7","45","1","0","1","1","7","7.0","0","0","1","10.3","10.3","2.4%"
"24","Tony Pollard (TEN)","17","62","3.6","15","0","0","5","6","40","8.0","0","0","1","10.2","10.2","88.9%"
"25","Austin Ekeler (WAS)","8","38","4.8","13","0","0","3","3","47","15.7","0","0","1","8.5","8.5","54.3%"
"26","Ty Chandler (MIN)","10","82","8.2","25","1","0","0","0","0","0","0","0","1","8.2","8.2","1.0%"
"27","Chuba Hubbard (CAR)","10","64","6.4","23","1","0","4","5","12","3.0","0","0","1","7.6","7.6","96.4%"
"28","Najee Harris (LAC)","17","69","4.1","11","0","0","1","2","5","5.0","0","0","1","7.4","7.4","54.3%"
"29","Khalil Herbert (IND)","2","3","1.5","2","0","1","2","2","4","2.0","0","0","1","6.7","6.7","1.8%"
"30","Tyler Allgeier (ATL)","9","53","5.9","15","0","0","1","1","12","12.0","0","0","1","6.5","6.5","33.2%"
"31","Javonte Williams (DAL)","11","17","1.5","5","0","0","5","5","48","9.6","0","0","1","6.5","6.5","71.3%"
"32","Jerome Ford (CLE)","7","64","9.1","36","1","0","1","2","0","0.0","0","0","1","6.4","6.4","40.1%"
"33","Alexander Mattison (MIA)","4","1","0.3","3","0","1","0","0","0","0","0","0","1","6.1","6.1","1.3%"
"34","Jaylen Warren (PIT)","9","42","4.7","11","0","0","2","2","19","9.5","0","0","1","6.1","6.1","83.3%"
"35","Rico Dowdle (CAR)","7","30","4.3","7","0","0","4","5","29","7.3","0","0","1","5.9","5.9","20.2%"
"36","Gus Edwards (FA)","18","59","3.3","6","0","0","0","0","0","0","0","0","1","5.9","5.9","0.6%"
"37","D'Onta Foreman (FA)","14","42","3.0","9","0","0","1","1","9","9.0","0","0","1","5.1","5.1","2.7%"
"38","Joe Mixon (HOU)","9","25","2.8","16","0","0","3","5","25","8.3","0","0","1","5.0","5.0","89.9%"
"39","Aaron Jones Sr. (MIN)","9","32","3.6","9","0","0","5","6","36","7.2","0","1","1","4.8","4.8","89.7%"
"40","Zack Moss (FA)","12","34","2.8","8","0","0","1","1","13","13.0","0","0","1","4.7","4.7","3.4%"
"41","Emari Demercado (ARI)","2","46","23.0","41","1","0","0","0","0","0","0","0","1","4.6","4.6","0.7%"
"42","D'Andre Swift (CHI)","14","18","1.3","7","0","0","4","5","24","6.0","0","0","1","4.2","4.2","90.5%"
"43","Jamaal Williams (FA)","8","39","4.9","11","0","0","0","0","0","0","0","0","1","3.9","3.9","1.1%"
"44","Zamir White (LV)","9","24","2.7","8","0","0","3","4","14","4.7","0","0","1","3.8","3.8","1.3%"
"45","Justice Hill (BAL)","4","22","5.5","14","0","0","2","2","10","5.0","0","0","1","3.2","3.2","12.4%"
"46","Ezekiel Elliott (FA)","6","16","2.7","7","0","0","2","3","16","8.0","0","0","1","3.2","3.2","0.8%"
"47","Ty Johnson (BUF)","1","-1","-1.0","0","0","0","1","2","33","33.0","0","0","1","3.2","3.2","2.0%"
"48","Tyjae Spears (TEN)","6","20","3.3","7","0","0","2","2","11","5.5","0","0","1","3.1","3.1","54.0%"
"49","Chase Brown (CIN)","4","31","7.8","12","0","0","0","0","0","0","0","0","1","3.1","3.1","97.9%"
"50","Ray Davis (BUF)","9","29","3.2","10","0","0","1","1","-1","-1.0","0","0","1","2.8","2.8","30.9%"
"51","Blake Corum (LAR)","8","28","3.5","9","0","0","0","0","0","0","0","0","1","2.8","2.8","13.1%"
"52","D'Ernest Johnson (BAL)","5","26","5.2","9","0","0","0","0","0","0","0","0","1","2.6","2.6","1.0%"
"53","Miles Sanders (DAL)","7","20","2.9","6","0","0","3","3","5","1.7","0","0","1","2.5","2.5","6.4%"
"54","Dare Ogunbowale (HOU)","2","3","1.5","3","0","0","2","2","20","10.0","0","0","1","2.3","2.3","0.7%"
"55","Rachaad White (TB)","10","18","1.8","5","0","0","1","1","5","5.0","0","0","1","2.3","2.3","54.2%"
"56","Bucky Irving (TB)","7","22","3.1","6","0","0","0","0","0","0","0","0","1","2.2","2.2","99.4%"
"57","Kyle Juszczyk (SF)","0","0","0","0","0","0","3","5","19","6.3","0","0","1","1.9","1.9","0.9%"
"58","Tyler Badie (DEN)","1","16","16.0","16","0","0","1","1","2","2.0","0","0","1","1.8","1.8","0.7%"
"59","MarShawn Lloyd (GB)","6","15","2.5","5","0","0","1","1","3","3.0","0","0","1","1.8","1.8","8.4%"
"60","Sione Vaki (DET)","0","0","0","0","0","0","1","1","17","17.0","0","0","1","1.7","1.7","0.6%"
"61","Deuce Vaughn (DAL)","4","11","2.8","4","0","0","1","1","6","6.0","0","0","1","1.7","1.7","0.6%"
"62","Trey Benson (ARI)","11","10","0.9","4","0","0","1","1","7","7.0","0","0","1","1.7","1.7","41.1%"
"63","Cam Akers (NO)","7","32","4.6","13","0","0","1","1","3","3.0","0","1","1","1.5","1.5","0.7%"
"64","Jeff Wilson Jr. (SF)","0","0","0","0","0","0","2","2","12","6.0","0","0","1","1.2","1.2","1.0%"
"65","Hassan Haskins (LAC)","3","11","3.7","5","0","0","0","0","0","0","0","0","1","1.1","1.1","1.1%"
"66","Emanuel Wilson (GB)","5","9","1.8","4","0","0","0","0","0","0","0","0","1","0.9","0.9","1.8%"
"67","Trey Sermon (PIT)","2","0","0.0","4","0","0","1","1","7","7.0","0","0","1","0.7","0.7","0.6%"
"68","Kenneth Gainwell (PIT)","2","6","3.0","4","0","0","0","0","0","0","0","0","1","0.6","0.6","1.5%"
"69","Travis Homer (CHI)","1","6","6.0","6","0","0","0","0","0","0","0","0","1","0.6","0.6","0.6%"
"70","Jaleel McLaughlin (DEN)","3","6","2.0","7","0","0","0","0","0","0","0","0","1","0.6","0.6","3.9%"
"71","Pierre Strong Jr. (CLE)","1","-5","-5.0","0","0","0","1","2","10","10.0","0","0","1","0.5","0.5","0.7%"
"72","Carson Steele (KC)","7","24","3.4","9","0","0","0","0","0","0","0","1","1","0.4","0.4","0.6%"
"73","Jaylen Wright (MIA)","5","4","0.8","8","0","0","0","0","0","0","0","0","1","0.4","0.4","23.2%"
"74","Samaje Perine (CIN)","0","0","0","0","0","0","1","1","3","3.0","0","0","1","0.3","0.3","2.0%"
"75","Cordarrelle Patterson (FA)","2","3","1.5","3","0","0","0","0","0","0","0","0","1","0.3","0.3","0.6%"
"76","Tyrone Tracy Jr. (NYG)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","85.0%"
"77","Tyler Goodson (IND)","0","0","0","0","0","0","1","1","2","2.0","0","0","1","0.2","0.2","0.7%"
"78","JaMycal Hasty (NE)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","1.1%"
"79","Alec Ingold (MIA)","2","2","1.0","3","0","0","0","0","0","0","0","0","1","0.2","0.2","0.6%"
"80","Ameer Abdullah (FA)","2","1","0.5","4","0","0","2","2","1","0.5","0","0","1","0.2","0.2","0.6%"
"81","Michael Burton (DEN)","0","0","0","0","0","0","1","1","1","1.0","0","0","1","0.1","0.1","0.1%"
"82","Jase McClellan (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"83","George Holani (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"84","Tank Bigsby (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","64.5%"
"85","Keilan Robinson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Elijah Mitchell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.2%"
"87","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"88","Michael Carter (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"89","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"90","Raheem Blackshear (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"91","Deon Jackson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Jermar Jefferson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"93","Jonathan Ward (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"94","A.J. Dillon (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4%"
"95","Ke'Shawn Vaughn (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Clyde Edwards-Helaire (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"97","Craig Reynolds (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"98","Darrynton Evans (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Patrick Taylor Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"100","DeeJay Dallas (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"101","Salvon Ahmed (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Demetric Felton Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","Chris Rodriguez Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4%"
"105","Jonathon Brooks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"106","Tahj Brooks (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.3%"
"107","Ashton Jeanty (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.4%"
"108","Ollie Gordon II (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.2%"
"109","Rasheen Ali (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"110","Frank Gore Jr. (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"111","Dylan Laube (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"112","Cody Schrader (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"113","Chris Collier (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"115","Dante Miller (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Jordan Waters (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","Isaac Guerendo (SF)","1","0","0.0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","34.0%"
"118","Blake Watson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"119","Michael Wiley (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Kimani Vidal (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"121","Emani Bailey (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Jawhar Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Isaiah Davis (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"124","Ian Wheeler (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Kazmeir Allen (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"126","Scott Matlock (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","17.0%"
"127","Elijah Dotson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Lew Nichols III (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"129","Damien Martinez (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4%"
"130","Deneric Prince (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Hunter Luepke (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"132","Owen Wright (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Chris Brooks (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"134","Jordan Mims (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Carlos Washington Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
