"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jordan Love (GB)","29","37","78.4","360","9.7","3","0","0","1","-1","0","0","1","28.3","28.3","79.2%"
"2","Drake Maye (NE)","18","24","75.0","282","11.8","3","1","6","7","50","0","0","1","27.3","27.3","94.2%"
"3","Justin Herbert (LAC)","18","25","72.0","227","9.1","3","1","2","7","62","0","0","1","26.3","26.3","93.4%"
"4","Jalen Hurts (PHI)","15","20","75.0","179","9.0","4","0","4","4","22","0","0","1","25.4","25.4","99.7%"
"5","Patrick Mahomes II (KC)","25","34","73.5","299","8.8","3","2","3","4","30","0","0","1","25.0","25.0","99.2%"
"6","Bo Nix (DEN)","19","29","65.5","247","8.5","4","1","0","1","-1","0","0","1","24.8","24.8","92.8%"
"7","Joe Flacco (CIN)","21","34","61.8","223","6.6","2","0","1","2","14","1","0","1","24.3","24.3","45.6%"
"8","Tua Tagovailoa (MIA)","20","26","76.9","205","7.9","4","0","1","0","0","0","0","1","24.2","24.2","23.2%"
"9","Josh Allen (BUF)","12","19","63.2","163","8.6","1","0","2","3","7","2","0","1","23.2","23.2","99.7%"
"10","Daniel Jones (IND)","21","29","72.4","272","9.4","3","0","3","1","3","0","0","1","23.2","23.2","65.8%"
"11","C.J. Stroud (HOU)","30","39","76.9","318","8.2","2","1","0","7","30","0","0","1","22.7","22.7","64.6%"
"12","Justin Fields (NYJ)","21","32","65.6","244","7.6","1","0","0","11","31","0","0","1","20.9","20.9","40.3%"
"13","Jaxson Dart (NYG)","14","24","58.3","193","8.0","1","0","5","6","17","1","0","1","19.4","19.4","74.2%"
"14","Mac Jones (SF)","19","32","59.4","193","6.0","2","1","2","2","23","0","0","1","19.0","19.0","8.1%"
"15","Aaron Rodgers (PIT)","24","36","66.7","219","6.1","2","0","3","0","0","0","0","1","16.8","16.8","41.5%"
"16","Tyler Huntley (BAL)","17","22","77.3","186","8.5","1","0","2","8","53","0","0","1","16.7","16.7","1.2%"
"17","Cam Ward (TEN)","22","38","57.9","259","6.8","1","1","4","2","4","0","0","1","13.8","13.8","10.9%"
"18","Dillon Gabriel (CLE)","21","35","60.0","156","4.5","2","2","1","1","13","0","0","1","13.5","13.5","3.4%"
"19","Marcus Mariota (WAS)","21","30","70.0","213","7.1","1","2","2","8","28","0","0","1","13.3","13.3","6.5%"
"20","Caleb Williams (CHI)","25","38","65.8","285","7.5","0","1","1","3","24","0","0","1","12.8","12.8","78.0%"
"21","Carson Wentz (MIN)","15","27","55.6","144","5.3","1","1","5","0","0","0","0","1","8.8","8.8","2.1%"
