"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tucker Kraft (GB)","9","7","143","20.4","59","3","2","0","0","0","0","1","26.3","26.3","90.6%"
"2","Travis Kelce (KC)","8","6","99","16.5","38","2","1","0","0","0","0","1","15.9","15.9","97.2%"
"3","Dallas Goedert (PHI)","3","3","28","9.3","17","0","2","0","0","0","0","1","14.8","14.8","87.7%"
"4","Oronde Gadsden II (LAC)","5","5","77","15.4","40","1","1","0","0","0","0","1","13.7","13.7","82.5%"
"5","Harold Fannin Jr. (CLE)","8","6","62","10.3","19","0","1","1","2","0","0","1","12.4","12.4","51.9%"
"6","George Kittle (SF)","5","4","43","10.8","17","0","1","0","0","0","0","1","10.3","10.3","98.8%"
"7","David Njoku (CLE)","5","4","37","9.3","20","1","1","0","0","0","0","1","9.7","9.7","71.2%"
"8","Mason Taylor (NYJ)","8","5","34","6.8","15","0","1","0","0","0","0","1","9.4","9.4","19.5%"
"9","Gunnar Helm (TEN)","3","2","23","11.5","22","1","1","0","0","0","0","1","8.3","8.3","1.2%"
"10","Charlie Kolar (BAL)","1","1","10","10.0","10","0","1","0","0","0","0","1","7.0","7.0","0.1%"
"11","Hunter Henry (NE)","1","1","7","7.0","7","0","1","0","0","0","0","1","6.7","6.7","61.7%"
"12","Jake Tonges (SF)","1","1","2","2.0","2","0","1","0","0","0","0","1","6.2","6.2","2.8%"
"13","Kyle Pitts Sr. (ATL)","9","9","59","6.6","24","1","0","0","0","0","0","1","5.9","5.9","77.2%"
"14","Tyler Warren (IND)","5","4","53","13.3","20","1","0","0","0","0","0","1","5.3","5.3","97.6%"
"15","Chig Okonkwo (TEN)","5","4","53","13.3","23","1","0","0","0","0","0","1","5.3","5.3","17.3%"
"16","Juwan Johnson (NO)","8","5","53","10.6","16","0","0","0","0","0","0","1","5.3","5.3","25.2%"
"17","Noah Fant (CIN)","3","3","41","13.7","16","0","0","0","0","0","0","1","4.1","4.1","4.2%"
"18","Cade Otton (TB)","5","4","40","10.0","21","1","0","0","0","0","0","1","4.0","4.0","29.9%"
"19","Austin Hooper (NE)","2","2","38","19.0","31","1","0","0","0","0","0","1","3.8","3.8","0.6%"
"20","Colston Loveland (CHI)","5","3","38","12.7","18","0","0","0","0","0","0","1","3.8","3.8","24.6%"
"21","Evan Engram (DEN)","4","4","36","9.0","11","0","0","0","0","0","0","1","3.6","3.6","67.3%"
"22","Mark Andrews (BAL)","3","3","34","11.3","24","1","0","0","0","0","0","1","3.4","3.4","78.0%"
"23","T.J. Hockenson (MIN)","3","2","26","13.0","14","0","0","0","0","0","0","1","2.6","2.6","85.9%"
"24","Luke Schoonmaker (DAL)","3","2","25","12.5","14","0","0","0","0","0","0","1","2.5","2.5","0.7%"
"25","Dalton Schultz (HOU)","3","2","24","12.0","17","0","0","0","0","0","0","1","2.4","2.4","25.3%"
"26","Jeremy Ruckert (NYJ)","1","1","24","24.0","24","1","0","0","0","0","0","1","2.4","2.4","0.7%"
"27","Noah Gray (KC)","4","2","23","11.5","15","0","0","0","0","0","0","1","2.3","2.3","1.3%"
"28","Dalton Kincaid (BUF)","3","1","23","23.0","23","1","0","0","0","0","0","1","2.3","2.3","78.2%"
"29","John Bates (WAS)","1","1","22","22.0","22","1","0","0","0","0","0","1","2.2","2.2","0.6%"
"30","Ben Sinnott (WAS)","1","1","22","22.0","22","1","0","0","0","0","0","1","2.2","2.2","1.0%"
"31","Daniel Bellinger (NYG)","1","1","21","21.0","21","1","0","0","0","0","0","1","2.1","2.1","0.6%"
"32","Theo Johnson (NYG)","4","3","20","6.7","12","0","0","0","0","0","0","1","2.0","2.0","29.2%"
"33","Ja'Tavion Sanders (CAR)","3","3","19","6.3","9","0","0","0","0","0","0","1","1.9","1.9","2.1%"
"34","Jonnu Smith (PIT)","3","2","17","8.5","10","0","0","0","0","0","0","1","1.7","1.7","35.9%"
"35","Zach Ertz (WAS)","6","4","16","4.0","5","0","0","0","0","0","0","1","1.6","1.6","69.8%"
"36","Jackson Hawes (BUF)","3","2","15","7.5","12","0","0","0","0","0","0","1","1.5","1.5","0.6%"
"37","Dawson Knox (BUF)","1","1","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","1.3%"
"38","Pat Freiermuth (PIT)","4","3","13","4.3","6","0","0","0","0","0","0","1","1.3","1.3","8.8%"
"39","Taysom Hill (NO)","1","1","6","6.0","6","0","0","2","6","0","0","1","1.2","1.2","2.8%"
"40","Brevyn Spann-Ford (DAL)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"41","Andrew Beck (NYJ)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"42","Tanner Hudson (CIN)","2","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","2.3%"
"43","Isaiah Likely (BAL)","2","2","8","4.0","5","0","0","0","0","0","0","1","0.8","0.8","16.7%"
"44","Tanner Conner (MIA)","2","2","6","3.0","5","0","0","0","0","0","0","1","0.6","0.6","0.6%"
"45","Ben Yurosek (MIN)","2","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"46","Luke Musgrave (GB)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","1.0%"
"47","John FitzPatrick (GB)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"48","Tommy Tremble (CAR)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.7%"
"49","Quintin Morris (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"50","Kylen Granson (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"51","Kenny Yeboah (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Hunter Long (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"53","Jake Ferguson (DAL)","1","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","88.3%"
"54","Jalin Conyers (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"55","Elijah Arroyo (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.2%"
"56","Sam LaPorta (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.0%"
"57","Luke Lachey (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"58","Darnell Washington (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"59","Brock Bowers (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.0%"
"60","Trey McBride (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.7%"
"61","Jake Briningstool (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Josh Whyle (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"63","Harrison Bryant (HOU)","1","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"64","Josiah Deguara (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Adam Trautman (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"66","Colby Parkinson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"67","Cole Kmet (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.8%"
"68","Luke Farrell (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"69","Sean McKeon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Dalton Keene (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
