"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jonathan Taylor (IND)","12","153","12.8","80","1","2","2","2","21","10.5","1","0","1","35.4","35.4","99.6%"
"2","James Cook III (BUF)","19","216","11.4","64","3","2","0","0","0","0","0","0","1","33.6","33.6","99.4%"
"3","Breece Hall (NYJ)","18","133","7.4","35","2","2","3","2","14","7.0","0","0","1","30.9","30.9","97.4%"
"4","Saquon Barkley (PHI)","14","150","10.7","65","2","1","5","4","24","6.0","1","0","1","29.4","29.4","99.8%"
"5","RJ Harvey (DEN)","7","46","6.6","40","1","2","1","1","5","5.0","1","0","1","23.1","23.1","73.3%"
"6","Chase Brown (CIN)","12","73","6.1","22","1","1","3","3","32","10.7","1","0","1","22.5","22.5","97.8%"
"7","Derrick Henry (BAL)","21","71","3.4","10","0","2","1","0","0","0","0","0","1","19.1","19.1","99.7%"
"8","Kimani Vidal (LAC)","23","117","5.1","21","1","1","2","1","10","10.0","0","0","1","18.7","18.7","88.6%"
"9","Javonte Williams (DAL)","13","41","3.2","9","0","2","2","1","8","8.0","0","0","1","16.9","16.9","97.5%"
"10","Kareem Hunt (KC)","9","40","4.4","11","0","1","1","1","2","2.0","1","0","1","16.2","16.2","49.6%"
"11","Samaje Perine (CIN)","9","94","10.4","32","2","1","1","1","6","6.0","0","0","1","16.0","16.0","10.6%"
"12","De'Von Achane (MIA)","18","67","3.7","12","0","0","7","5","24","4.8","1","0","1","15.1","15.1","99.7%"
"13","Tyjae Spears (TEN)","9","59","6.6","41","1","1","3","3","23","7.7","0","0","1","14.2","14.2","47.8%"
"14","D'Andre Swift (CHI)","11","45","4.1","13","0","1","2","2","26","13.0","0","0","1","13.1","13.1","93.8%"
"15","Isaiah Davis (NYJ)","7","65","9.3","50","1","0","5","5","44","8.8","0","0","1","12.9","12.9","18.9%"
"16","Ollie Gordon II (MIA)","10","46","4.6","13","0","0","1","1","20","20.0","1","0","1","12.6","12.6","14.0%"
"17","J.K. Dobbins (DEN)","15","111","7.4","25","2","0","2","2","10","5.0","0","0","1","12.1","12.1","89.0%"
"18","Woody Marks (HOU)","11","62","5.6","23","1","0","4","4","49","12.3","0","0","1","11.1","11.1","68.4%"
"19","Josh Jacobs (GB)","13","33","2.5","6","0","1","3","3","12","4.0","0","0","1","10.5","10.5","99.7%"
"20","Tank Bigsby (PHI)","9","104","11.6","29","1","0","0","0","0","0","0","0","1","10.4","10.4","38.2%"
"21","Sean Tucker (TB)","12","42","3.5","15","0","1","0","0","0","0","0","0","1","10.2","10.2","5.4%"
"22","Chuba Hubbard (CAR)","12","34","2.8","5","0","1","1","0","0","0","0","0","1","9.4","9.4","86.6%"
"23","Cam Skattebo (NYG)","3","12","4.0","5","0","0","2","1","18","18.0","1","0","1","9.0","9.0","46.1%"
"24","Emanuel Wilson (GB)","11","61","5.5","15","0","0","4","3","26","8.7","0","0","1","8.7","8.7","13.6%"
"25","Tyler Allgeier (ATL)","4","4","1.0","6","0","1","2","2","10","5.0","0","0","1","7.4","7.4","35.0%"
"26","Jaylen Warren (PIT)","13","62","4.8","17","0","0","3","2","11","5.5","0","0","1","7.3","7.3","91.5%"
"27","Nick Chubb (HOU)","17","56","3.3","9","0","0","2","2","13","6.5","0","0","1","6.9","6.9","59.5%"
"28","Jeremy McNichols (WAS)","1","4","4.0","4","0","0","6","5","64","12.8","0","0","1","6.8","6.8","3.4%"
"29","Christian McCaffrey (SF)","8","25","3.1","9","0","0","6","3","43","14.3","0","0","1","6.8","6.8","99.8%"
"30","Rachaad White (TB)","13","35","2.7","9","0","0","2","2","26","13.0","0","0","1","6.1","6.1","74.9%"
"31","Isiah Pacheco (KC)","12","58","4.8","13","0","0","0","0","0","0","0","0","1","5.8","5.8","81.5%"
"32","TreVeyon Henderson (NE)","10","75","7.5","27","1","0","0","0","0","0","0","1","1","5.5","5.5","83.6%"
"33","Rico Dowdle (CAR)","8","54","6.8","24","1","0","0","0","0","0","0","0","1","5.4","5.4","67.7%"
"34","Tyrone Tracy Jr. (NYG)","10","39","3.9","6","0","0","3","2","14","7.0","0","0","1","5.3","5.3","87.9%"
"35","Tony Pollard (TEN)","11","44","4.0","11","0","0","2","1","9","9.0","0","0","1","5.3","5.3","86.6%"
"36","Rhamondre Stevenson (NE)","14","34","2.4","9","0","0","2","1","15","15.0","0","0","1","4.9","4.9","81.4%"
"37","Alvin Kamara (NO)","6","21","3.5","5","0","0","2","2","24","12.0","0","0","1","4.5","4.5","96.2%"
"38","Keaton Mitchell (BAL)","4","43","10.8","25","1","0","0","0","0","0","0","0","1","4.3","4.3","4.6%"
"39","Aaron Jones Sr. (MIN)","5","15","3.0","5","0","0","4","2","15","7.5","0","0","1","3.0","3.0","82.9%"
"40","Jaret Patterson (LAC)","11","30","2.7","7","0","0","0","0","0","0","0","0","1","3.0","3.0","0.4%"
"41","Jaydon Blue (DAL)","8","29","3.6","14","0","0","0","0","0","0","0","0","1","2.9","2.9","12.1%"
"42","Dylan Sampson (CLE)","3","0","0.0","1","0","0","6","5","29","5.8","0","0","1","2.9","2.9","15.7%"
"43","Bijan Robinson (ATL)","9","25","2.8","7","0","0","3","3","23","7.7","0","1","1","2.8","2.8","99.8%"
"44","Devin Singletary (NYG)","2","0","0.0","3","0","0","1","1","28","28.0","0","0","1","2.8","2.8","12.3%"
"45","Jaylen Wright (MIA)","9","28","3.1","7","0","0","1","1","0","0.0","0","0","1","2.8","2.8","2.8%"
"46","Jacory Croskey-Merritt (WAS)","9","25","2.8","5","0","0","1","0","0","0","0","0","1","2.5","2.5","83.8%"
"47","Zavier Scott (MIN)","2","16","8.0","10","0","0","2","2","8","4.0","0","0","1","2.4","2.4","0.9%"
"48","Kyle Monangai (CHI)","7","24","3.4","15","0","0","0","0","0","0","0","0","1","2.4","2.4","71.5%"
"49","Dare Ogunbowale (HOU)","1","9","9.0","9","0","0","1","1","8","8.0","0","0","1","1.7","1.7","0.6%"
"50","Quinshon Judkins (CLE)","9","19","2.1","6","0","0","3","3","-2","-0.7","0","0","1","1.7","1.7","91.9%"
"51","Trevor Etienne (CAR)","4","16","4.0","8","0","0","0","0","0","0","0","0","1","1.6","1.6","1.3%"
"52","Ray Davis (BUF)","9","16","1.8","5","0","0","1","0","0","0","0","0","1","1.6","1.6","8.2%"
"53","Kenneth Gainwell (PIT)","5","31","6.2","14","0","0","2","2","4","2.0","0","1","1","1.5","1.5","43.1%"
"54","Terrell Jennings (NE)","2","15","7.5","11","0","0","0","0","0","0","0","0","1","1.5","1.5","2.8%"
"55","Nathan Carter (ATL)","2","14","7.0","12","0","0","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"56","Josh Williams (TB)","4","11","2.8","4","0","0","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"57","Devin Neal (NO)","0","0","0","0","0","0","3","3","11","3.7","0","0","1","1.1","1.1","5.4%"
"58","Ameer Abdullah (IND)","2","5","2.5","3","0","0","1","1","3","3.0","0","0","1","0.8","0.8","0.7%"
"59","Brashard Smith (KC)","3","8","2.7","4","0","0","0","0","0","0","0","0","1","0.8","0.8","22.3%"
"60","Ty Johnson (BUF)","4","6","1.5","4","0","0","0","0","0","0","0","0","1","0.6","0.6","1.1%"
"61","Tyler Badie (DEN)","1","6","6.0","6","0","0","0","0","0","0","0","0","1","0.6","0.6","0.7%"
"62","Jordan Mason (MIN)","4","3","0.8","4","0","0","1","1","3","3.0","0","0","1","0.6","0.6","78.2%"
"63","Julius Chestnut (TEN)","2","5","2.5","5","0","0","0","0","0","0","0","0","1","0.5","0.5","1.1%"
"64","Kyle Juszczyk (SF)","0","0","0","0","0","0","2","1","4","4.0","0","0","1","0.4","0.4","0.8%"
"65","Malik Davis (DAL)","2","3","1.5","2","0","0","0","0","0","0","0","0","1","0.3","0.3","1.1%"
"66","Chris Rodriguez Jr. (WAS)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","3.0%"
"67","Hunter Luepke (DAL)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.6%"
"68","Will Shipley (PHI)","3","2","0.7","3","0","0","0","0","0","0","0","0","1","0.2","0.2","3.3%"
"69","Tyler Goodson (IND)","2","2","1.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.7%"
"70","Justice Hill (BAL)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","15.1%"
"71","Keilan Robinson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Elijah Mitchell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"73","Khalil Herbert (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"74","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Michael Carter (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.4%"
"76","Antonio Gibson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"77","JaMycal Hasty (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"78","Patrick Taylor Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"79","Jonathan Ward (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Jermar Jefferson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"81","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"82","Najee Harris (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.2%"
"83","Cam Akers (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"84","Travis Etienne Jr. (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.4%"
"85","D'Ernest Johnson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"86","Craig Reynolds (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
