"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Troy Franklin (DEN)","8","6","89","14.8","26","2","2","0","0","0","0","1","20.9","20.9","51.4%"
"2","Rashee Rice (KC)","9","9","93","10.3","25","1","1","2","12","0","0","1","16.5","16.5","97.8%"
"3","Jaylen Waddle (MIA)","6","5","99","19.8","43","2","1","0","0","0","0","1","15.9","15.9","95.0%"
"4","Michael Pittman Jr. (IND)","9","8","95","11.9","21","1","1","0","0","0","0","1","15.5","15.5","87.6%"
"5","Khalil Shakir (BUF)","7","6","88","14.7","54","1","1","0","0","0","0","1","14.8","14.8","81.9%"
"6","Ladd McConkey (LAC)","10","6","88","14.7","27","1","1","0","0","0","0","1","14.8","14.8","98.1%"
"7","Kayshon Boutte (NE)","5","3","75","25.0","39","2","1","0","0","0","0","1","13.5","13.5","32.6%"
"8","Roman Wilson (PIT)","5","4","74","18.5","45","2","1","0","0","0","0","1","13.4","13.4","1.8%"
"9","Xavier Hutchinson (HOU)","6","5","69","13.8","30","1","1","0","0","0","0","1","12.9","12.9","3.5%"
"10","Tyler Johnson (NYJ)","5","3","64","21.3","34","1","1","0","0","0","0","1","12.4","12.4","0.6%"
"11","DK Metcalf (PIT)","7","5","55","11.0","24","1","1","0","0","0","0","1","11.5","11.5","97.8%"
"12","Rome Odunze (CHI)","10","7","114","16.3","27","3","0","0","0","0","0","1","11.4","11.4","95.0%"
"13","Terry McLaurin (WAS)","4","3","54","18.0","25","1","1","0","0","0","0","1","11.4","11.4","92.3%"
"14","Jalen Tolbert (DAL)","2","2","47","23.5","35","1","1","0","0","0","0","1","10.7","10.7","1.9%"
"15","Tee Higgins (CIN)","2","1","44","44.0","44","1","1","0","0","0","0","1","10.4","10.4","97.7%"
"16","Pat Bryant (DEN)","4","2","40","20.0","24","1","1","0","0","0","0","1","10.0","10.0","2.1%"
"17","Jahan Dotson (PHI)","2","1","40","40.0","40","1","1","0","0","0","0","1","10.0","10.0","1.1%"
"18","Tetairoa McMillan (CAR)","10","7","99","14.1","19","0","0","0","0","0","0","1","9.9","9.9","94.7%"
"19","Josh Downs (IND)","3","3","39","13.0","18","0","1","0","0","0","0","1","9.9","9.9","62.3%"
"20","Malik Washington (MIA)","5","4","36","9.0","17","0","1","0","0","0","0","1","9.6","9.6","19.6%"
"21","Jayden Higgins (HOU)","8","4","34","8.5","12","0","1","0","0","0","0","1","9.4","9.4","19.3%"
"22","Chimere Dike (TEN)","8","7","93","13.3","21","1","0","1","1","0","0","1","9.4","9.4","30.3%"
"23","Ja'Marr Chase (CIN)","19","12","91","7.6","17","0","0","0","0","0","0","1","9.1","9.1","99.6%"
"24","Mack Hollins (NE)","7","7","89","12.7","21","1","0","0","0","0","0","1","8.9","8.9","1.1%"
"25","Jordan Addison (MIN)","4","3","26","8.7","15","0","1","0","0","0","0","1","8.6","8.6","87.7%"
"26","Christian Watson (GB)","4","4","85","21.3","33","2","0","0","0","0","0","1","8.5","8.5","19.7%"
"27","DeVonta Smith (PHI)","9","6","84","14.0","26","1","0","0","0","0","0","1","8.4","8.4","95.2%"
"28","George Pickens (DAL)","9","7","78","11.1","17","0","0","0","0","0","0","1","7.8","7.8","97.3%"
"29","CeeDee Lamb (DAL)","10","7","74","10.6","29","1","0","1","2","0","0","1","7.6","7.6","99.8%"
"30","DJ Moore (CHI)","7","4","73","18.3","42","1","0","2","3","0","0","1","7.6","7.6","85.1%"
"31","Stefon Diggs (NE)","5","3","14","4.7","8","0","1","0","0","0","0","1","7.4","7.4","91.1%"
"32","Justin Jefferson (MIN)","11","7","74","10.6","17","0","0","0","0","0","0","1","7.4","7.4","99.8%"
"33","Zay Flowers (BAL)","9","7","63","9.0","20","1","0","1","8","0","0","1","7.1","7.1","96.1%"
"34","Alec Pierce (IND)","5","2","69","34.5","50","1","0","0","0","0","0","1","6.9","6.9","16.7%"
"35","Savion Williams (GB)","1","1","8","8.0","8","0","1","1","1","0","0","1","6.9","6.9","0.7%"
"36","Tre Harris (LAC)","2","2","8","4.0","6","0","1","0","0","0","0","1","6.8","6.8","5.1%"
"37","Courtland Sutton (DEN)","6","4","67","16.8","39","1","0","0","0","0","0","1","6.7","6.7","95.4%"
"38","Romeo Doubs (GB)","6","3","44","14.7","24","1","0","0","0","0","0","1","6.4","6.4","55.8%"
"39","Jaylin Noel (HOU)","6","5","63","12.6","44","1","0","0","0","0","0","1","6.3","6.3","7.2%"
"40","Chris Olave (NO)","12","8","63","7.9","28","1","0","1","-3","0","0","1","6.0","6.0","92.5%"
