"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Mike Gesicki (CIN)","5","6","100","20.0","47","2","2","0","0","0","0","1","22.0","22.0","15.2%"
"2","Cade Otton (TB)","8","11","77","9.6","18","0","1","0","0","0","0","1","13.7","13.7","16.9%"
"3","Taysom Hill (NO)","4","5","41","10.3","15","0","0","5","19","1","0","1","12.0","12.0","4.7%"
"4","Josh Oliver (MIN)","5","5","58","11.6","14","0","1","0","0","0","0","1","11.8","11.8","0.7%"
"5","Theo Johnson (NYG)","3","6","51","17.0","35","1","1","0","0","0","0","1","11.1","11.1","6.6%"
"6","Brock Bowers (LV)","5","8","45","9.0","22","1","1","0","0","0","0","1","10.5","10.5","99.6%"
"7","Trey McBride (ARI)","3","4","35","11.7","15","0","0","1","2","1","0","1","9.7","9.7","99.4%"
"8","Nick Vannett (MIN)","2","2","33","16.5","24","1","1","0","0","0","0","1","9.3","9.3","0.0%"
"9","Ja'Tavion Sanders (CAR)","4","5","87","21.8","46","2","0","0","0","0","0","1","8.7","8.7","6.8%"
"10","Travis Kelce (KC)","14","16","100","7.1","20","1","0","0","0","0","1","1","8.0","8.0","97.0%"
"11","Foster Moreau (NO)","1","2","17","17.0","17","0","1","0","0","0","0","1","7.7","7.7","0.7%"
"12","Drew Sample (CIN)","4","4","14","3.5","5","0","1","0","0","0","0","1","7.4","7.4","0.6%"
"13","Jake Ferguson (DAL)","7","10","71","10.1","27","1","0","0","0","0","0","1","7.1","7.1","69.2%"
"14","Evan Engram (DEN)","5","10","45","9.0","24","1","0","0","0","0","0","1","6.5","6.5","90.0%"
"15","Chris Manhertz (NYG)","1","1","2","2.0","2","0","1","0","0","0","0","1","6.2","6.2","0.0%"
"16","Quintin Morris (JAC)","1","1","2","2.0","2","0","1","0","0","0","0","1","6.2","6.2","1.4%"
"17","Hunter Henry (NE)","7","8","56","8.0","13","0","0","0","0","0","0","1","5.6","5.6","45.3%"
"18","Jonnu Smith (PIT)","5","6","46","9.2","15","0","0","0","0","0","0","1","4.6","4.6","54.3%"
"19","Juwan Johnson (NO)","2","2","41","20.5","25","1","0","0","0","0","0","1","4.1","4.1","6.2%"
"20","Chig Okonkwo (TEN)","3","4","38","12.7","21","1","0","0","0","0","0","1","3.8","3.8","19.0%"
"21","Tucker Kraft (GB)","4","6","34","8.5","13","0","0","1","2","0","0","1","3.6","3.6","83.6%"
"22","Elijah Higgins (ARI)","2","2","34","17.0","23","1","0","0","0","0","0","1","3.4","3.4","0.6%"
"23","Dalton Kincaid (BUF)","4","10","32","8.0","15","0","0","0","0","0","0","1","3.2","3.2","78.3%"
"24","Jordan Akins (FA)","3","4","32","10.7","21","1","0","0","0","0","0","1","3.2","3.2","1.0%"
"25","Grant Calcaterra (PHI)","5","5","30","6.0","10","0","0","0","0","0","0","1","3.0","3.0","0.6%"
"26","David Njoku (CLE)","5","7","29","5.8","11","0","0","0","0","0","0","1","2.9","2.9","91.8%"
"27","Sam LaPorta (DET)","2","3","28","14.0","19","0","0","0","0","0","0","1","2.8","2.8","98.7%"
"28","AJ Barner (SEA)","4","7","27","6.8","10","0","0","0","0","0","0","1","2.7","2.7","2.6%"
"29","T.J. Hockenson (MIN)","3","4","27","9.0","19","0","0","0","0","0","0","1","2.7","2.7","96.3%"
"30","Mark Andrews (BAL)","2","2","26","13.0","16","0","0","0","0","0","0","1","2.6","2.6","94.8%"
"31","Erick All Jr. (CIN)","2","2","24","12.0","18","0","0","0","0","0","0","1","2.4","2.4","0.6%"
"32","Harrison Bryant (HOU)","2","2","22","11.0","18","0","0","0","0","0","0","1","2.2","2.2","0.0%"
