"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Saquon Barkley (PHI)","27","159","5.9","21","1","1","3","4","40","13.3","1","1","1","29.9","29.9","99.7%"
"2","Derrick Henry (BAL)","23","106","4.6","20","1","2","1","1","27","27.0","0","0","1","25.3","25.3","99.5%"
"3","De'Von Achane (MIA)","12","63","5.3","12","0","1","8","8","58","7.3","1","0","1","24.1","24.1","99.3%"
"4","J.K. Dobbins (DEN)","14","85","6.1","34","1","2","2","2","20","10.0","0","0","1","22.5","22.5","77.8%"
"5","Chase Brown (CIN)","27","120","4.4","21","1","0","5","5","37","7.4","1","0","1","21.7","21.7","97.9%"
"6","Alvin Kamara (NO)","29","155","5.3","20","1","0","6","9","60","10.0","0","0","1","21.5","21.5","96.9%"
"7","Chuba Hubbard (CAR)","15","72","4.8","16","0","2","2","3","0","0.0","0","0","1","19.2","19.2","96.4%"
"8","Kareem Hunt (KC)","27","106","3.9","15","0","1","1","1","11","11.0","0","0","1","17.7","17.7","16.8%"
"9","Rhamondre Stevenson (NE)","10","16","1.6","5","0","1","5","5","38","7.6","1","0","1","17.4","17.4","73.9%"
"10","Rico Dowdle (CAR)","12","75","6.3","15","0","0","5","6","32","6.4","1","0","1","16.7","16.7","20.2%"
"11","Joe Mixon (HOU)","24","106","4.4","29","1","1","0","0","0","0","0","0","1","16.6","16.6","89.9%"
"12","Tony Pollard (TEN)","28","128","4.6","32","1","0","3","3","26","8.7","0","0","1","15.4","15.4","88.9%"
"13","Ray Davis (BUF)","4","20","5.0","8","0","0","2","2","70","35.0","1","0","1","15.0","15.0","30.9%"
"14","Bijan Robinson (ATL)","19","86","4.5","16","0","0","7","7","59","8.4","0","0","1","14.5","14.5","99.6%"
"15","Austin Ekeler (WAS)","11","42","3.8","20","1","1","3","4","41","13.7","0","0","1","14.3","14.3","54.3%"
"16","Emari Demercado (ARI)","4","59","14.8","53","1","1","2","2","21","10.5","0","0","1","14.0","14.0","0.7%"
"17","Jahmyr Gibbs (DET)","11","65","5.9","18","0","1","1","2","11","11.0","0","0","1","13.6","13.6","99.6%"
"18","James Conner (ARI)","18","107","5.9","16","0","0","3","3","12","4.0","0","0","1","11.9","11.9","94.5%"
"19","Trey Benson (ARI)","8","37","4.6","17","0","1","1","1","18","18.0","0","0","1","11.5","11.5","41.1%"
"20","Josh Jacobs (GB)","13","95","7.3","37","1","0","2","3","13","6.5","0","0","1","10.8","10.8","99.4%"
"21","Kenneth Walker III (SEA)","25","83","3.3","10","0","0","3","3","24","8.0","0","0","1","10.7","10.7","96.5%"
"22","David Montgomery (DET)","17","73","4.3","12","0","0","3","3","23","7.7","0","0","1","9.6","9.6","94.0%"
"23","Rachaad White (TB)","3","19","6.3","9","0","1","3","3","16","5.3","0","0","1","9.5","9.5","54.2%"
"24","Samaje Perine (CIN)","1","10","10.0","10","0","0","4","5","25","6.3","1","0","1","9.5","9.5","2.0%"
"25","Kyren Williams (LAR)","22","69","3.1","9","0","0","1","3","26","26.0","0","0","1","9.5","9.5","98.9%"
"26","Emanuel Wilson (GB)","4","28","7.0","19","0","1","1","1","1","1.0","0","0","1","8.9","8.9","1.8%"
"27","Breece Hall (NYJ)","15","74","4.9","16","0","0","2","4","11","5.5","0","0","1","8.5","8.5","96.5%"
"28","Javonte Williams (DAL)","12","42","3.5","7","0","0","2","3","42","21.0","0","0","1","8.4","8.4","71.3%"
"29","Aaron Jones Sr. (MIN)","21","64","3.0","13","0","0","4","4","18","4.5","0","0","1","8.2","8.2","89.7%"
"30","D'Andre Swift (CHI)","16","51","3.2","13","0","0","6","6","31","5.2","0","0","1","8.2","8.2","90.5%"
"31","Tyler Allgeier (ATL)","6","18","3.0","6","0","1","0","0","0","0","0","0","1","7.8","7.8","33.2%"
"32","Zamir White (LV)","6","10","1.7","4","0","1","0","0","0","0","0","0","1","7.0","7.0","1.3%"
"33","Tyrone Tracy Jr. (NYG)","16","66","4.1","10","0","0","1","1","3","3.0","0","0","1","6.9","6.9","85.0%"
"34","James Cook (BUF)","10","44","4.4","13","0","0","5","6","25","5.0","0","0","1","6.9","6.9","98.4%"
"35","Raheem Mostert (LV)","10","56","5.6","16","0","0","2","2","32","16.0","0","1","1","6.8","6.8","6.3%"
"36","Patrick Ricard (BAL)","0","0","0","0","0","0","1","1","3","3.0","1","0","1","6.3","6.3","0.8%"
"37","Jonathan Taylor (IND)","13","48","3.7","13","0","0","3","5","11","3.7","0","0","1","5.9","5.9","99.2%"
"38","Justice Hill (BAL)","5","15","3.0","8","0","0","3","3","43","14.3","0","0","1","5.8","5.8","12.4%"
"39","Cam Akers (NO)","6","46","7.7","13","0","0","2","2","7","3.5","0","0","1","5.3","5.3","0.7%"
"40","Chris Rodriguez Jr. (WAS)","11","52","4.7","17","0","0","0","0","0","0","0","0","1","5.2","5.2","2.4%"
"41","Chris Brooks (GB)","2","13","6.5","9","0","0","3","4","28","9.3","0","0","1","4.1","4.1","0.8%"
"42","Jordan Mims (TEN)","5","13","2.6","6","0","0","1","1","25","25.0","0","0","1","3.8","3.8","0.0%"
"43","Alexander Mattison (MIA)","9","36","4.0","7","0","0","0","0","0","0","0","0","1","3.6","3.6","1.3%"
"44","Nick Chubb (HOU)","15","39","2.6","11","0","0","1","1","-4","-4.0","0","0","1","3.5","3.5","49.1%"
"45","Audric Estime (DEN)","5","35","7.0","21","1","0","0","0","0","0","0","0","1","3.5","3.5","2.6%"
"46","Bucky Irving (TB)","7","24","3.4","8","0","0","3","3","10","3.3","0","0","1","3.4","3.4","99.4%"
"47","Devin Singletary (NYG)","7","33","4.7","15","0","0","0","0","0","0","0","0","1","3.3","3.3","2.4%"
"48","Zach Charbonnet (SEA)","2","8","4.0","6","0","0","2","3","25","12.5","0","0","1","3.3","3.3","70.9%"
"49","Travis Etienne Jr. (JAC)","3","24","8.0","16","0","0","2","3","6","3.0","0","0","1","3.0","3.0","81.0%"
"50","Ameer Abdullah (FA)","4","12","3.0","6","0","0","3","3","14","4.7","0","0","1","2.6","2.6","0.6%"
"51","Ty Johnson (BUF)","3","23","7.7","17","0","0","0","0","0","0","0","0","1","2.3","2.3","2.0%"
"52","J.J. Taylor (FA)","3","23","7.7","9","0","0","0","0","0","0","0","0","1","2.3","2.3","0.6%"
"53","Julius Chestnut (TEN)","5","22","4.4","12","0","0","0","0","0","0","0","0","1","2.2","2.2","1.1%"
"54","Tank Bigsby (JAC)","8","22","2.8","10","0","0","0","0","0","0","0","0","1","2.2","2.2","64.5%"
"55","Roschon Johnson (CHI)","3","13","4.3","7","0","0","2","3","8","4.0","0","0","1","2.1","2.1","13.6%"
"56","Jaleel McLaughlin (DEN)","5","10","2.0","3","0","0","3","3","10","3.3","0","0","1","2.0","2.0","3.9%"
"57","Jeremy McNichols (WAS)","8","20","2.5","8","0","0","0","1","0","0","0","0","1","2.0","2.0","0.7%"
"58","Jaylen Wright (MIA)","6","18","3.0","7","0","0","0","0","0","0","0","0","1","1.8","1.8","23.2%"
"59","Sean Tucker (TB)","3","11","3.7","5","0","0","1","1","6","6.0","0","0","1","1.7","1.7","5.1%"
"60","Trey Sermon (PIT)","2","4","2.0","4","0","0","1","2","9","9.0","0","0","1","1.3","1.3","0.6%"
"61","Antonio Gibson (NE)","1","-1","-1.0","0","0","0","1","1","12","12.0","0","0","1","1.1","1.1","2.4%"
"62","Kenneth Gainwell (PIT)","5","9","1.8","3","0","0","1","1","1","1.0","0","0","1","1.0","1.0","1.5%"
"63","Hunter Luepke (DAL)","1","5","5.0","5","0","0","2","2","4","2.0","0","0","1","0.9","0.9","0.7%"
"64","Carson Steele (KC)","3","9","3.0","5","0","0","0","0","0","0","0","0","1","0.9","0.9","0.6%"
"65","Braelon Allen (NYJ)","4","9","2.3","5","0","0","0","1","0","0","0","0","1","0.9","0.9","29.4%"
"66","Pierre Strong Jr. (CLE)","2","8","4.0","7","0","0","0","0","0","0","0","0","1","0.8","0.8","0.7%"
"67","Dalvin Cook (FA)","2","8","4.0","4","0","0","0","0","0","0","0","0","1","0.8","0.8","0.6%"
"68","Kimani Vidal (LAC)","5","7","1.4","7","0","0","0","0","0","0","0","0","1","0.7","0.7","1.6%"
"69","Jerome Ford (CLE)","2","5","2.5","6","0","0","1","3","2","2.0","0","0","1","0.7","0.7","40.1%"
"70","D'Ernest Johnson (BAL)","2","6","3.0","6","0","0","0","1","0","0","0","0","1","0.6","0.6","1.0%"
"71","DeeJay Dallas (ARI)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.1%"
"72","Najee Harris (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54.3%"
"73","Clyde Edwards-Helaire (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"74","Michael Carter (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"75","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Craig Reynolds (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"77","Khalil Herbert (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"78","George Holani (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"79","Keilan Robinson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Jase McClellan (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"81","Elijah Mitchell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.2%"
"82","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","Demetric Felton Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Raheem Blackshear (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"85","Deon Jackson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Brian Robinson Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84.9%"
"87","Patrick Taylor Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"88","Jermar Jefferson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"89","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Jonathan Ward (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","A.J. Dillon (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4%"
"92","Darrynton Evans (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Ke'Shawn Vaughn (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"94","Salvon Ahmed (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Ty Chandler (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"96","Deuce Vaughn (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"97","Phil Mafah (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"98","Jonathon Brooks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"99","Tahj Brooks (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.3%"
"100","Ashton Jeanty (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.4%"
"101","Ollie Gordon II (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.2%"
"102","Rasheen Ali (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"103","Frank Gore Jr. (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"104","Dylan Laube (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"105","Cody Schrader (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"106","Chris Collier (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"107","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"108","Dante Miller (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Jordan Waters (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","Isaac Guerendo (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34.0%"
"111","Blake Watson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
