"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jaxon Smith-Njigba (SEA)","7","13","180","25.7","46","5","2","0","0","0","0","1","30.0","30.0","98.2%"
"2","Zay Flowers (BAL)","5","6","127","25.4","53","3","2","0","0","0","0","1","24.7","24.7","94.6%"
"3","Demarcus Robinson (SF)","6","9","94","15.7","39","2","2","0","0","0","0","1","21.4","21.4","2.1%"
"4","Garrett Wilson (NYJ)","9","10","90","10.0","26","2","2","0","0","0","0","1","21.0","21.0","97.7%"
"5","DeAndre Hopkins (BAL)","8","9","86","10.8","35","1","2","0","0","0","0","1","20.6","20.6","14.9%"
"6","Quentin Johnston (LAC)","4","5","118","29.5","66","3","1","1","2","0","0","1","18.0","18.0","14.4%"
"7","Courtland Sutton (DEN)","7","10","122","17.4","33","3","0","0","0","0","0","1","16.3","16.3","93.4%"
"8","Davante Adams (LAR)","7","11","91","13.0","37","1","1","0","0","0","0","1","15.1","15.1","97.3%"
"9","Darnell Mooney (ATL)","5","9","88","17.6","36","2","1","0","0","0","0","1","14.8","14.8","57.0%"
"10","DeVonta Smith (PHI)","4","6","87","21.8","46","2","1","0","0","0","0","1","14.7","14.7","94.0%"
"11","Justin Jefferson (MIN)","7","9","137","19.6","41","5","0","0","0","0","0","1","14.6","14.6","99.7%"
"12","Terry McLaurin (WAS)","2","3","19","9.5","18","0","2","0","0","0","0","1","13.9","13.9","97.1%"
"13","Cedric Tillman (CLE)","6","11","75","12.5","17","0","1","0","0","0","0","1","13.5","13.5","25.4%"
"14","Tank Dell (HOU)","6","9","126","21.0","50","2","0","0","0","0","0","1","12.6","12.6","3.9%"
"15","Tyler Lockett (TEN)","3","4","63","21.0","30","2","1","0","0","0","0","1","12.3","12.3","9.4%"
"16","Joshua Palmer (BUF)","2","4","63","31.5","28","2","1","0","0","0","0","1","12.3","12.3","17.6%"
"17","Amon-Ra St. Brown (DET)","7","7","56","8.0","26","1","1","0","0","0","0","1","11.6","11.6","99.7%"
"18","Jayden Reed (GB)","5","6","113","22.6","41","3","0","0","0","0","0","1","11.3","11.3","76.8%"
"19","Jordan Addison (MIN)","5","5","42","8.4","21","1","1","1","9","0","0","1","11.1","11.1","83.2%"
"20","Nick Westbrook-Ikhine (MIA)","5","6","50","10.0","14","0","1","0","0","0","0","1","11.0","11.0","2.5%"
"21","Jakobi Meyers (LV)","8","11","105","13.1","23","3","0","0","0","0","0","1","10.5","10.5","84.5%"
"22","Cooper Kupp (SEA)","11","14","104","9.5","23","1","0","0","0","0","0","1","10.4","10.4","84.6%"
"23","Rome Odunze (CHI)","5","7","104","20.8","44","1","0","0","0","0","0","1","10.4","10.4","87.2%"
