"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jonathan Taylor (IND)","32","244","7.6","83","2","3","3","3","42","14.0","0","0","1","46.6","46.6","99.6%"
"2","Jahmyr Gibbs (DET)","15","142","9.5","43","2","2","4","3","30","10.0","1","0","1","35.2","35.2","99.8%"
"3","De'Von Achane (MIA)","22","174","7.9","59","2","2","6","6","51","8.5","0","0","1","34.5","34.5","99.7%"
"4","TreVeyon Henderson (NE)","14","147","10.5","69","2","2","1","1","3","3.0","0","0","1","27.0","27.0","86.8%"
"5","Kyren Williams (LAR)","14","73","5.2","12","0","2","3","2","11","5.5","0","0","1","20.4","20.4","99.4%"
"6","Breece Hall (NYJ)","21","83","4.0","30","2","0","1","1","42","42.0","1","0","1","18.5","18.5","97.5%"
"7","Tyler Allgeier (ATL)","11","57","5.2","13","0","2","0","0","0","0","0","0","1","17.7","17.7","33.1%"
"8","Kimani Vidal (LAC)","25","95","3.8","12","0","1","1","1","13","13.0","0","0","1","16.8","16.8","84.5%"
"9","Josh Jacobs (GB)","21","74","3.5","11","0","1","6","5","33","6.6","0","1","1","14.7","14.7","99.7%"
"10","Zach Charbonnet (SEA)","14","83","5.9","30","1","1","0","0","0","0","0","0","1","14.3","14.3","76.6%"
"11","Woody Marks (HOU)","14","63","4.5","21","1","1","3","2","18","9.0","0","0","1","14.1","14.1","68.1%"
"12","Travis Etienne Jr. (JAC)","16","58","3.6","13","0","1","4","2","19","9.5","0","0","1","13.7","13.7","90.7%"
"13","Aaron Jones Sr. (MIN)","9","47","5.2","17","0","1","6","3","22","7.3","0","0","1","12.9","12.9","85.0%"
"14","Rico Dowdle (CAR)","18","53","2.9","14","0","1","3","3","10","3.3","0","0","1","12.3","12.3","71.7%"
"15","Ashton Jeanty (LV)","19","60","3.2","10","0","1","5","3","3","1.0","0","0","1","12.3","12.3","99.0%"
"16","Alvin Kamara (NO)","22","83","3.8","16","0","0","3","3","32","10.7","0","0","1","11.5","11.5","95.3%"
"17","Brian Robinson Jr. (SF)","8","41","5.1","13","0","1","1","1","4","4.0","0","0","1","10.5","10.5","44.0%"
"18","Emari Demercado (ARI)","4","64","16.0","55","1","0","4","3","40","13.3","0","0","1","10.4","10.4","31.5%"
"19","Saquon Barkley (PHI)","22","60","2.7","15","0","0","3","3","41","13.7","0","0","1","10.1","10.1","99.8%"
"20","D'Andre Swift (CHI)","13","80","6.2","25","1","0","8","5","18","3.6","0","0","1","9.8","9.8","93.9%"
"21","Christian McCaffrey (SF)","12","30","2.5","5","0","0","10","8","66","8.3","0","0","1","9.6","9.6","99.8%"
"22","David Montgomery (DET)","15","71","4.7","12","0","0","1","1","0","0.0","0","0","1","9.1","9.1","94.7%"
"23","Jaylen Warren (PIT)","14","70","5.0","14","0","0","2","2","21","10.5","0","0","1","9.1","9.1","91.6%"
"24","George Holani (SEA)","7","31","4.4","9","0","1","0","0","0","0","0","0","1","9.1","9.1","0.1%"
"25","Kyle Monangai (CHI)","7","28","4.0","9","0","1","1","0","0","0","0","0","1","8.8","8.8","75.1%"
"26","Bijan Robinson (ATL)","17","84","4.9","16","0","0","2","2","4","2.0","0","0","1","8.8","8.8","99.8%"
"27","Quinshon Judkins (CLE)","22","75","3.4","11","0","0","3","2","10","5.0","0","0","1","8.5","8.5","92.6%"
"28","Derrick Henry (BAL)","20","75","3.8","14","0","0","3","3","9","3.0","0","0","1","8.4","8.4","99.7%"
"29","J.K. Dobbins (DEN)","18","77","4.3","13","0","0","1","1","7","7.0","0","0","1","8.4","8.4","88.5%"
"30","Chris Rodriguez Jr. (WAS)","6","16","2.7","9","0","1","0","0","0","0","0","0","1","7.6","7.6","9.0%"
"31","Justice Hill (BAL)","1","1","1.0","1","0","1","2","1","12","12.0","0","0","1","7.3","7.3","13.1%"
"32","Devin Singletary (NYG)","8","20","2.5","6","0","0","3","3","53","17.7","0","0","1","7.3","7.3","35.9%"
"33","Tyrone Tracy Jr. (NYG)","14","71","5.1","16","0","0","2","1","0","0.0","0","0","1","7.1","7.1","83.6%"
