"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Davis Mills (HOU)","27","45","60.0","292","6.5","2","1","2","3","20","1","0","1","28.7","28.7","3.2%"
"2","Matthew Stafford (LAR)","24","36","66.7","280","7.8","4","0","1","3","-3","0","0","1","26.9","26.9","85.0%"
"3","Jaxson Dart (NYG)","19","29","65.5","242","8.3","0","0","2","6","66","2","1","1","26.3","26.3","85.0%"
"4","Caleb Williams (CHI)","20","36","55.6","220","6.1","1","0","0","8","63","1","0","1","25.1","25.1","83.3%"
"5","Jared Goff (DET)","25","33","75.8","320","9.7","3","0","0","0","0","0","0","1","24.8","24.8","87.0%"
"6","Mac Jones (SF)","33","39","84.6","319","8.2","3","1","0","1","3","0","0","1","24.1","24.1","8.1%"
"7","Baker Mayfield (TB)","28","43","65.1","273","6.3","3","0","2","0","0","0","0","1","22.9","22.9","95.7%"
"8","Josh Allen (BUF)","28","40","70.0","306","7.7","2","1","3","4","31","0","1","1","20.3","20.3","99.6%"
"9","Dillon Gabriel (CLE)","17","32","53.1","167","5.2","2","0","6","5","54","0","0","1","20.1","20.1","4.3%"
"10","Jacoby Brissett (ARI)","22","44","50.0","258","5.9","2","0","5","4","31","0","2","1","19.4","19.4","13.0%"
"11","Drake Maye (NE)","16","31","51.6","270","8.7","2","1","1","7","13","0","0","1","19.1","19.1","95.1%"
"12","Tyler Shough (NO)","19","27","70.4","282","10.4","2","0","2","4","-3","0","0","1","19.0","19.0","4.0%"
"13","Marcus Mariota (WAS)","16","22","72.7","213","9.7","2","0","2","5","22","0","0","1","18.7","18.7","17.9%"
"14","J.J. McCarthy (MIN)","20","42","47.6","248","5.9","1","2","1","5","48","0","0","1","16.7","16.7","48.2%"
"15","Lamar Jackson (BAL)","17","29","58.6","176","6.1","1","0","1","9","36","0","0","1","16.6","16.6","99.8%"
"16","Daniel Jones (IND)","19","26","73.1","255","9.8","1","1","7","7","53","0","1","1","16.5","16.5","64.7%"
"17","Justin Herbert (LAC)","20","33","60.6","220","6.7","1","0","5","5","19","0","0","1","14.7","14.7","93.9%"
"18","Tua Tagovailoa (MIA)","15","21","71.4","173","8.2","2","2","0","2","-1","0","0","1","12.8","12.8","21.3%"
"19","Jalen Hurts (PHI)","15","26","57.7","183","7.0","1","0","0","5","27","0","1","1","12.0","12.0","99.7%"
