"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jalen Nailor (MIN)","6","5","124","24.8","62","2","1","0","0","0","0","1","18.4","18.4","2.2%"
"2","Drake London (ATL)","8","6","104","17.3","30","1","1","0","0","0","0","1","18.4","18.4","99.6%"
"3","Jameson Williams (DET)","7","6","119","19.8","41","2","1","0","0","0","0","1","17.9","17.9","89.0%"
"4","Emeka Egbuka (TB)","13","6","115","19.2","31","4","1","0","0","0","0","1","17.5","17.5","97.6%"
"5","Ladd McConkey (LAC)","6","4","107","26.8","58","1","1","0","0","0","0","1","16.7","16.7","98.2%"
"6","Chris Olave (NO)","8","5","104","20.8","62","1","1","0","0","0","0","1","16.4","16.4","92.5%"
"7","Tez Johnson (TB)","5","4","42","10.5","12","0","2","0","0","0","0","1","16.2","16.2","38.6%"
"8","Nico Collins (HOU)","15","7","136","19.4","54","2","0","0","0","0","0","1","15.6","15.6","99.0%"
"9","Jaxon Smith-Njigba (SEA)","6","5","93","18.6","43","1","1","0","0","0","0","1","15.3","15.3","99.5%"
"10","Parker Washington (JAC)","7","3","33","11.0","17","0","1","2","-4","0","0","1","14.9","14.9","20.4%"
"11","Rome Odunze (CHI)","10","6","86","14.3","27","1","1","0","0","0","0","1","14.6","14.6","94.4%"
"12","Alec Pierce (IND)","7","4","84","21.0","37","2","1","0","0","0","0","1","14.4","14.4","30.8%"
"13","Jaylen Waddle (MIA)","7","5","84","16.8","38","2","1","0","0","0","0","1","14.4","14.4","95.5%"
"14","Jerry Jeudy (CLE)","12","6","78","13.0","22","1","1","0","0","0","0","1","13.8","13.8","70.0%"
"15","Davante Adams (LAR)","8","6","77","12.8","23","1","1","0","0","0","0","1","13.7","13.7","98.5%"
"16","Kyle Williams (NE)","2","1","72","72.0","72","1","1","0","0","0","0","1","13.2","13.2","3.0%"
"17","DeVonta Smith (PHI)","7","4","69","17.3","36","1","1","0","0","0","0","1","12.9","12.9","96.0%"
"18","Puka Nacua (LAR)","6","5","64","12.8","22","1","1","0","0","0","0","1","12.4","12.4","99.8%"
"19","Amon-Ra St. Brown (DET)","8","5","58","11.6","16","0","1","0","0","0","0","1","11.8","11.8","99.6%"
"20","Marvin Harrison Jr. (ARI)","12","3","33","11.0","14","0","1","0","0","0","0","1","11.3","11.3","95.5%"
"21","Jauan Jennings (SF)","9","6","71","11.8","22","1","1","0","0","0","1","1","11.1","11.1","81.5%"
"22","Stefon Diggs (NE)","8","5","46","9.2","19","0","1","0","0","0","0","1","10.6","10.6","91.9%"
"23","Mack Hollins (NE)","10","6","106","17.7","54","1","0","0","0","0","0","1","10.6","10.6","1.1%"
"24","Keon Coleman (BUF)","8","3","46","15.3","35","1","1","0","0","0","0","1","10.6","10.6","54.4%"
"25","Jayden Higgins (HOU)","7","5","42","8.4","12","0","1","0","0","0","0","1","10.2","10.2","15.8%"
"26","Troy Franklin (DEN)","9","5","40","8.0","18","0","1","0","0","0","0","1","10.0","10.0","58.0%"
"27","Roman Wilson (PIT)","3","2","35","17.5","27","1","1","0","0","0","0","1","9.5","9.5","1.5%"
"28","Darius Slayton (NYG)","4","4","89","22.3","38","2","0","0","0","0","0","1","8.9","8.9","44.6%"
"29","Deebo Samuel Sr. (WAS)","5","4","29","7.3","19","0","1","0","0","0","0","1","8.9","8.9","92.1%"
"30","Zay Flowers (BAL)","6","4","75","18.8","27","2","0","1","6","0","0","1","8.1","8.1","96.5%"
"31","Cooper Kupp (SEA)","2","2","74","37.0","67","1","0","0","0","0","0","1","7.4","7.4","64.4%"
"32","Malik Washington (MIA)","3","2","9","4.5","9","0","1","1","4","0","0","1","7.3","7.3","18.0%"
