"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Pat Freiermuth (PIT)","6","5","111","22.2","68","1","2","0","0","0","0","1","23.1","23.1","8.8%"
"2","Oronde Gadsden II (LAC)","9","7","164","23.4","53","4","1","0","0","0","0","1","22.4","22.4","82.5%"
"3","Trey McBride (ARI)","13","10","74","7.4","15","0","2","0","0","0","0","1","19.4","19.4","99.7%"
"4","Jake Ferguson (DAL)","7","7","29","4.1","15","0","2","0","0","0","0","1","14.9","14.9","88.3%"
"5","Daniel Bellinger (NYG)","4","3","88","29.3","44","2","1","0","0","0","0","1","14.8","14.8","0.6%"
"6","Tyler Warren (IND)","5","4","69","17.3","29","2","1","0","0","0","0","1","12.9","12.9","97.6%"
"7","Theo Johnson (NYG)","7","3","66","22.0","41","1","1","0","0","0","0","1","12.6","12.6","29.2%"
"8","Tucker Kraft (GB)","10","5","58","11.6","22","1","1","0","0","0","0","1","11.8","11.8","90.6%"
"9","Noah Fant (CIN)","4","4","44","11.0","25","1","1","0","0","0","0","1","10.4","10.4","4.2%"
"10","Dalton Schultz (HOU)","10","9","98","10.9","22","1","0","0","0","0","0","1","9.8","9.8","25.3%"
"11","Zach Ertz (WAS)","7","3","37","12.3","27","1","1","0","0","0","0","1","9.7","9.7","69.8%"
"12","Terrance Ferguson (LAR)","3","1","31","31.0","31","1","1","0","0","0","0","1","9.1","9.1","1.6%"
"13","Jonnu Smith (PIT)","6","3","28","9.3","10","0","1","0","0","0","0","1","8.8","8.8","35.9%"
"14","Juwan Johnson (NO)","7","5","79","15.8","29","2","0","0","0","0","0","1","7.9","7.9","25.2%"
"15","Austin Hooper (NE)","2","2","11","5.5","8","0","1","0","0","0","0","1","7.1","7.1","0.6%"
"16","Cade Otton (TB)","9","7","65","9.3","20","1","0","0","0","0","0","1","6.5","6.5","29.9%"
"17","Darnell Washington (PIT)","5","3","2","0.7","8","0","1","0","0","0","0","1","6.2","6.2","1.1%"
"18","Kyle Pitts Sr. (ATL)","10","7","62","8.9","19","0","0","0","0","0","0","1","6.2","6.2","77.2%"
"19","Travis Kelce (KC)","3","3","54","18.0","44","1","0","0","0","0","0","1","5.4","5.4","97.2%"
"20","Colby Parkinson (LAR)","3","3","47","15.7","23","1","0","0","0","0","0","1","4.7","4.7","1.0%"
"21","T.J. Hockenson (MIN)","9","6","43","7.2","10","0","0","0","0","0","0","1","4.3","4.3","85.9%"
"22","Evan Engram (DEN)","8","5","42","8.4","20","1","0","0","0","0","0","1","4.2","4.2","67.3%"
"23","Harold Fannin Jr. (CLE)","5","4","36","9.0","19","0","0","0","0","0","0","1","3.6","3.6","51.9%"
"24","Gunnar Helm (TEN)","5","4","36","9.0","13","0","0","0","0","0","0","1","3.6","3.6","1.2%"
"25","Hunter Henry (NE)","5","4","33","8.3","12","0","0","0","0","0","0","1","3.3","3.3","61.7%"
"26","Mason Taylor (NYJ)","5","3","31","10.3","13","0","0","0","0","0","0","1","3.1","3.1","19.5%"
"27","Tanner Conner (MIA)","3","1","28","28.0","28","1","0","0","0","0","0","1","2.8","2.8","0.6%"
"28","Noah Gray (KC)","1","1","28","28.0","28","1","0","0","0","0","0","1","2.8","2.8","1.3%"
"29","Mitchell Evans (CAR)","3","2","24","12.0","13","0","0","0","0","0","0","1","2.4","2.4","0.6%"
"30","Colston Loveland (CHI)","4","3","24","8.0","9","0","0","0","0","0","0","1","2.4","2.4","24.6%"
"31","Brock Wright (DET)","3","3","23","7.7","14","0","0","0","0","0","0","1","2.3","2.3","0.6%"
"32","Elijah Arroyo (SEA)","5","4","42","10.5","27","1","0","0","0","0","1","1","2.2","2.2","2.2%"
"33","Nate Adkins (DEN)","3","2","20","10.0","15","0","0","0","0","0","0","1","2.0","2.0","1.0%"
"34","Tyler Higbee (LAR)","6","3","19","6.3","9","0","0","0","0","0","0","1","1.9","1.9","3.6%"
"35","Dallas Goedert (PHI)","3","3","18","6.0","11","0","0","0","0","0","0","1","1.8","1.8","87.7%"
"36","Hunter Long (JAC)","3","2","16","8.0","9","0","0","0","0","0","0","1","1.6","1.6","0.6%"
"37","Cole Kmet (CHI)","1","1","16","16.0","16","0","0","0","0","0","0","1","1.6","1.6","3.8%"
"38","Sam LaPorta (DET)","3","3","15","5.0","9","0","0","0","0","0","0","1","1.5","1.5","98.0%"
"39","Luke Farrell (SF)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.6%"
"40","Michael Mayer (LV)","2","1","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","3.3%"
"41","Josh Oliver (MIN)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.7%"
"42","AJ Barner (SEA)","3","1","7","7.0","7","0","0","1","2","0","0","1","0.9","0.9","15.4%"
"43","Johnny Mundt (JAC)","4","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"44","Taysom Hill (NO)","2","2","12","6.0","7","0","0","2","-4","0","0","1","0.8","0.8","2.8%"
"45","Mo Alie-Cox (IND)","2","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.6%"
"46","John FitzPatrick (GB)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"47","John Bates (WAS)","2","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.6%"
"48","Blake Whiteheart (CLE)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"49","Davis Allen (LAR)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.6%"
"50","Carter Runyon (LV)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"51","Elijah Higgins (ARI)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.6%"
"52","Julian Hill (MIA)","2","1","1","1.0","1","0","0","0","0","0","0","1","0.1","0.1","0.6%"
"53","Kenny Yeboah (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Kylen Granson (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"55","Quintin Morris (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"56","Tommy Tremble (CAR)","1","1","0","0.0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"57","Charlie Kolar (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"58","Brock Bowers (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.0%"
"59","Luke Lachey (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"60","Jalin Conyers (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"61","Jake Briningstool (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Josh Whyle (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
