"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","DeVonta Smith (PHI)","11","9","183","20.3","79","3","1","0","0","0","0","1","24.3","24.3","95.2%"
"2","A.J. Brown (PHI)","6","4","121","30.3","45","3","2","0","0","0","0","1","24.1","24.1","98.4%"
"3","Ja'Marr Chase (CIN)","23","16","161","10.1","18","0","1","0","0","0","0","1","22.1","22.1","99.6%"
"4","Chris Olave (NO)","7","5","98","19.6","57","2","2","0","0","0","0","1","21.8","21.8","92.5%"
"5","Davante Adams (LAR)","8","5","35","7.0","16","0","3","0","0","0","0","1","21.5","21.5","98.5%"
"6","Jaxon Smith-Njigba (SEA)","14","8","123","15.4","26","1","1","0","0","0","0","1","18.3","18.3","99.5%"
"7","Keenan Allen (LAC)","14","11","119","10.8","30","1","1","0","0","0","0","1","17.9","17.9","89.7%"
"8","CeeDee Lamb (DAL)","8","5","110","22.0","74","1","1","0","0","0","0","1","17.0","17.0","99.8%"
"9","Rashee Rice (KC)","10","7","42","6.0","12","0","2","0","0","0","0","1","16.2","16.2","97.8%"
"10","Travis Hunter (JAC)","14","8","101","12.6","34","2","1","1","0","0","0","1","16.1","16.1","86.4%"
"11","Tee Higgins (CIN)","10","6","96","16.0","29","2","1","0","0","0","0","1","15.6","15.6","97.7%"
"12","Xavier Legette (CAR)","11","9","92","10.2","33","1","1","0","0","0","0","1","15.2","15.2","18.0%"
"13","Amon-Ra St. Brown (DET)","10","6","86","14.3","27","2","1","0","0","0","0","1","14.6","14.6","99.6%"
"14","Michael Pittman Jr. (IND)","9","7","58","8.3","16","0","1","0","0","0","0","1","13.8","13.8","87.6%"
"15","Chimere Dike (TEN)","4","4","70","17.5","38","1","1","1","-1","0","0","1","12.9","12.9","30.3%"
"16","Jordan Addison (MIN)","12","9","128","14.2","34","3","0","0","0","0","0","1","12.8","12.8","87.7%"
"17","Tez Johnson (TB)","9","4","58","14.5","22","1","1","0","0","0","0","1","11.8","11.8","38.0%"
"18","Kayshon Boutte (NE)","2","2","55","27.5","39","1","1","0","0","0","0","1","11.5","11.5","32.6%"
"19","Courtland Sutton (DEN)","10","6","87","14.5","32","2","0","0","0","0","0","1","10.7","10.7","95.4%"
"20","Troy Franklin (DEN)","10","3","19","6.3","12","0","1","0","0","0","0","1","9.9","9.9","51.4%"
"21","Alec Pierce (IND)","10","5","98","19.6","48","1","0","0","0","0","0","1","9.8","9.8","16.7%"
"22","Marvin Mims Jr. (DEN)","7","6","85","14.2","31","2","0","1","13","0","0","1","9.8","9.8","33.5%"
"23","Wan'Dale Robinson (NYG)","12","6","95","15.8","23","1","0","0","0","0","0","1","9.5","9.5","60.6%"
"24","Quentin Johnston (LAC)","6","2","30","15.0","23","1","1","0","0","0","0","1","9.0","9.0","62.1%"
"25","George Pickens (DAL)","6","4","82","20.5","44","2","0","0","0","0","0","1","8.2","8.2","97.3%"
"26","Justin Jefferson (MIN)","10","5","79","15.8","40","1","0","0","0","0","0","1","7.9","7.9","99.8%"
