"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"52","Dylan Sampson (CLE)","3","8","2.7","4","0","0","1","1","9","9.0","0","0","1","1.7","1.7","15.7%"
"53","Tyler Allgeier (ATL)","4","16","4.0","7","0","0","0","0","0","0","0","0","1","1.6","1.6","35.0%"
"54","Kenneth Gainwell (PIT)","3","14","4.7","11","0","0","2","2","1","0.5","0","0","1","1.5","1.5","43.1%"
"55","Emanuel Wilson (GB)","6","17","2.8","8","0","0","1","1","-2","-2.0","0","0","1","1.5","1.5","13.6%"
"56","Ollie Gordon II (MIA)","5","11","2.2","8","0","0","2","1","2","2.0","0","0","1","1.3","1.3","14.0%"
"57","Nick Chubb (HOU)","5","16","3.2","5","0","0","3","1","-5","-5.0","0","0","1","1.1","1.1","59.5%"
"58","Roschon Johnson (CHI)","1","11","11.0","11","0","0","0","0","0","0","0","0","1","1.1","1.1","1.9%"
"59","Tank Bigsby (PHI)","1","11","11.0","11","0","0","1","1","-1","-1.0","0","0","1","1.0","1.0","38.2%"
"60","Jerome Ford (CLE)","1","0","0.0","0","0","0","2","2","10","5.0","0","0","1","1.0","1.0","22.8%"
"61","Kyle Juszczyk (SF)","1","-2","-2.0","0","0","0","1","1","10","10.0","0","0","1","0.8","0.8","0.8%"
"62","Kendre Miller (NO)","1","7","7.0","7","0","0","0","0","0","0","0","0","1","0.7","0.7","4.8%"
"63","Will Shipley (PHI)","0","0","0","0","0","0","1","1","7","7.0","0","0","1","0.7","0.7","3.3%"
"64","Sean Tucker (TB)","1","4","4.0","4","0","0","1","1","2","2.0","0","0","1","0.6","0.6","5.4%"
"65","Zavier Scott (MIN)","4","4","1.0","5","0","0","1","1","2","2.0","0","0","1","0.6","0.6","0.9%"
"66","TreVeyon Henderson (NE)","2","5","2.5","3","0","0","0","0","0","0","0","0","1","0.5","0.5","83.6%"
"67","Hassan Haskins (LAC)","1","3","3.0","3","0","0","2","2","2","1.0","0","0","1","0.5","0.5","4.1%"
"68","C.J. Ham (MIN)","0","0","0","0","0","0","1","1","5","5.0","0","0","1","0.5","0.5","0.6%"
"69","Dylan Laube (LV)","2","3","1.5","2","0","0","1","1","1","1.0","0","0","1","0.4","0.4","0.6%"
"70","LeQuint Allen Jr. (JAC)","0","0","0","0","0","0","1","1","4","4.0","0","0","1","0.4","0.4","0.6%"
"71","Hunter Luepke (DAL)","0","0","0","0","0","0","1","1","3","3.0","0","0","1","0.3","0.3","0.6%"
"72","Raheem Mostert (LV)","0","0","0","0","0","0","1","1","2","2.0","0","0","1","0.2","0.2","1.7%"
"73","Devin Singletary (NYG)","2","2","1.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","12.3%"
"74","Devin Neal (NO)","1","1","1.0","1","0","0","0","0","0","0","0","0","1","0.1","0.1","5.4%"
"75","Keilan Robinson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Khalil Herbert (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"78","Elijah Mitchell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"79","JaMycal Hasty (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"80","Antonio Gibson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"81","Patrick Taylor Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"82","Jermar Jefferson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"83","Jonathan Ward (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","Zamir White (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"86","Craig Reynolds (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"87","Najee Harris (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.2%"
"88","Cam Akers (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"89","D'Ernest Johnson (NE)","1","0","0.0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"90","Clyde Edwards-Helaire (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"91","Ty Chandler (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"92","Salvon Ahmed (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Trey Sermon (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"94","A.J. Dillon (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"95","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"96","George Holani (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"97","Jaylen Wright (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.8%"
"98","Rasheen Ali (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"99","Bucky Irving (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.6%"
"100","Frank Gore Jr. (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"101","Jonathon Brooks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"102","Carson Steele (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"103","Dante Miller (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","Jack Westover (NE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"105","Isaac Guerendo (SF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","3.1%"
"106","Blake Watson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"107","Michael Wiley (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Ray Davis (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.2%"
"109","Sione Vaki (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"110","Cody Schrader (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"111","Tahj Brooks (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.5%"
"112","Lew Nichols III (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"113","Omarion Hampton (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91.0%"
"114","Scott Matlock (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","4.9%"
"115","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"116","Jaleel McLaughlin (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"117","Owen Wright (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Chris Brooks (GB)","0","0","0","0","0","0","1","0","0","0","0","0","1","0.0","0.0","0.8%"
"119","Jordan Mims (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Deneric Prince (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Ben VanSumeren (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"122","Jacob Saylors (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"123","Emari Demercado (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.3%"
"124","Carlos Washington Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"126","Lan Larison (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"127","Robbie Ouzts (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Josh Williams (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Ahmani Marshall (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Lucas Scott (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Max Hurleman (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Rushawn Baker (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Nathan Carter (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Deion Hankins (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Jacardia Wright (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Brock Lampe (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","Kye Robichaux (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"138","Anthony Tyus III (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Amar Johnson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","DJ Giddens (IND)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.1%"
"141","British Brooks (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"142","Chris Collier (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Kalel Mullings (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"144","Kaleb Johnson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.2%"
