"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Amon-Ra St. Brown (DET)","11","9","115","12.8","34","2","3","2","7","0","0","1","30.2","30.2","99.6%"
"2","Malik Nabers (NYG)","13","9","167","18.6","48","3","2","0","0","0","0","1","28.7","28.7","33.4%"
"3","Rome Odunze (CHI)","11","7","128","18.3","37","3","2","0","0","0","0","1","24.8","24.8","95.0%"
"4","Ja'Marr Chase (CIN)","16","14","165","11.8","25","2","1","0","0","0","0","1","22.5","22.5","99.6%"
"5","Wan'Dale Robinson (NYG)","10","8","142","17.8","50","3","1","0","0","0","0","1","20.2","20.2","60.6%"
"6","Puka Nacua (LAR)","9","8","91","11.4","24","2","0","1","45","1","0","1","19.6","19.6","99.8%"
"7","Jameson Williams (DET)","4","2","108","54.0","64","2","1","0","0","0","0","1","16.8","16.8","86.5%"
"8","Hunter Renfrow (CAR)","9","7","48","6.9","15","0","2","0","0","0","0","1","16.8","16.8","1.1%"
"9","Davante Adams (LAR)","13","6","106","17.7","33","2","1","0","0","0","0","1","16.6","16.6","98.5%"
"10","Troy Franklin (DEN)","9","8","89","11.1","42","1","1","1","11","0","0","1","16.0","16.0","51.4%"
"11","Jauan Jennings (SF)","10","5","89","17.8","42","2","1","0","0","0","0","1","14.9","14.9","77.8%"
"12","Devontez Walker (BAL)","2","2","26","13.0","24","1","2","0","0","0","0","1","14.6","14.6","0.6%"
"13","Quentin Johnston (LAC)","7","3","71","23.7","60","1","1","1","-2","0","0","1","12.9","12.9","62.1%"
"14","George Pickens (DAL)","9","5","68","13.6","27","1","1","0","0","0","0","1","12.8","12.8","97.3%"
"15","Jaylen Waddle (MIA)","6","5","68","13.6","23","1","1","0","0","0","0","1","12.8","12.8","95.0%"
"16","Dyami Brown (JAC)","7","5","57","11.4","18","0","1","1","9","0","0","1","12.6","12.6","3.6%"
"17","DeAndre Hopkins (BAL)","2","2","64","32.0","41","2","1","0","0","0","0","1","12.4","12.4","5.5%"
"18","Keenan Allen (LAC)","7","5","61","12.2","25","1","1","0","0","0","0","1","12.1","12.1","89.7%"
"19","Tyquan Thornton (KC)","5","2","59","29.5","49","1","1","0","0","0","0","1","11.9","11.9","2.8%"
"20","Elic Ayomanor (TEN)","6","4","56","14.0","23","1","1","0","0","0","0","1","11.6","11.6","28.0%"
"21","Tee Higgins (CIN)","8","3","56","18.7","42","1","1","0","0","0","0","1","11.6","11.6","97.7%"
"22","KaVontae Turpin (DAL)","4","4","47","11.8","16","0","1","2","6","0","0","1","11.3","11.3","4.5%"
