"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jared Goff (DET)","23","28","82.1","334","11.9","5","0","0","1","6","0","0","1","34.0","34.0","83.7%"
"2","Russell Wilson (NYG)","30","41","73.2","450","11.0","3","1","3","3","23","0","0","1","31.3","31.3","2.1%"
"3","Drake Maye (NE)","19","23","82.6","230","10.0","2","0","3","10","31","1","0","1","26.3","26.3","94.2%"
"4","Lamar Jackson (BAL)","19","29","65.5","225","7.8","4","0","3","2","13","0","0","1","26.3","26.3","99.8%"
"5","Patrick Mahomes II (KC)","16","29","55.2","187","6.4","1","1","2","7","66","1","0","1","23.1","23.1","99.2%"
"6","Dak Prescott (DAL)","38","52","73.1","361","6.9","2","1","3","3","17","0","0","1","23.1","23.1","90.8%"
"7","Daniel Jones (IND)","23","34","67.6","316","9.3","1","0","1","6","2","1","0","1","22.8","22.8","65.8%"
"8","Bryce Young (CAR)","35","55","63.6","328","6.0","3","1","3","2","2","0","1","1","22.3","22.3","18.4%"
"9","Mac Jones (SF)","26","39","66.7","279","7.2","3","0","3","6","6","0","1","1","21.8","21.8","8.1%"
"10","Spencer Rattler (NO)","25","34","73.5","207","6.1","3","0","3","4","14","0","0","1","21.7","21.7","4.2%"
"11","Bo Nix (DEN)","22","30","73.3","206","6.9","3","1","0","3","20","0","0","1","21.2","21.2","92.8%"
"12","Trevor Lawrence (JAC)","24","42","57.1","271","6.5","3","2","1","2","4","0","0","1","21.2","21.2","38.9%"
"13","Jordan Love (GB)","19","31","61.3","292","9.4","2","0","2","3","12","0","0","1","20.9","20.9","79.2%"
"14","Jake Browning (CIN)","21","32","65.6","241","7.5","2","3","1","1","1","1","0","1","20.7","20.7","1.2%"
"15","Baker Mayfield (TB)","25","38","65.8","215","5.7","2","0","4","3","33","0","0","1","19.9","19.9","95.9%"
"16","Jayden Daniels (WAS)","24","42","57.1","200","4.8","2","0","4","7","17","0","0","1","19.7","19.7","96.0%"
"17","Tua Tagovailoa (MIA)","26","32","81.3","315","9.8","2","1","5","0","0","0","0","1","19.6","19.6","23.2%"
"18","Justin Herbert (LAC)","19","27","70.4","242","9.0","2","0","2","9","31","0","1","1","18.8","18.8","93.4%"
"19","Matthew Stafford (LAR)","23","33","69.7","298","9.0","2","1","1","2","-6","0","0","1","18.3","18.3","79.7%"
"20","Caleb Williams (CHI)","19","30","63.3","207","6.9","2","1","4","5","27","0","0","1","18.0","18.0","78.0%"
"21","Sam Darnold (SEA)","22","33","66.7","295","8.9","2","2","2","0","0","0","0","1","17.8","17.8","38.9%"
"22","C.J. Stroud (HOU)","13","24","54.2","207","8.6","1","0","3","4","27","0","0","1","15.0","15.0","64.6%"
"23","Kyler Murray (ARI)","17","25","68.0","220","8.8","1","1","1","7","32","0","0","1","15.0","15.0","71.2%"
"24","Aaron Rodgers (PIT)","18","33","54.5","203","6.2","1","2","3","1","3","0","0","1","12.4","12.4","41.5%"
"25","Josh Allen (BUF)","14","25","56.0","148","5.9","0","0","1","6","59","0","0","1","11.8","11.8","99.7%"
"26","Jalen Hurts (PHI)","15","22","68.2","101","4.6","0","0","2","9","15","1","0","1","11.5","11.5","99.7%"
"27","Joe Flacco (CIN)","25","45","55.6","199","4.4","1","1","2","1","8","0","1","1","9.8","9.8","45.6%"
"28","Cam Ward (TEN)","19","33","57.6","175","5.3","1","0","5","4","8","0","1","1","9.8","9.8","10.9%"
"29","Tyrod Taylor (NYJ)","7","11","63.6","56","5.1","1","0","2","3","21","0","0","1","8.3","8.3","1.5%"
"30","Joe Burrow (CIN)","7","13","53.8","76","5.8","1","0","2","0","0","0","0","1","7.0","7.0","72.3%"
"31","Geno Smith (LV)","24","43","55.8","180","4.2","0","3","3","5","20","0","0","1","6.2","6.2","12.5%"
"32","Michael Penix Jr. (ATL)","13","21","61.9","135","6.4","0","0","3","1","-1","0","0","1","5.3","5.3","16.9%"
"33","J.J. McCarthy (MIN)","11","21","52.4","158","7.5","0","2","6","5","25","0","1","1","4.8","4.8","26.2%"
"34","Dillon Gabriel (CLE)","3","3","100.0","19","6.3","1","0","0","0","0","0","0","1","4.8","4.8","3.4%"
"35","Justin Fields (NYJ)","3","11","27.3","27","2.5","0","0","2","5","49","0","1","1","4.0","4.0","40.3%"
"36","Tyson Bagent (CHI)","2","3","66.7","27","9.0","0","0","0","2","7","0","0","1","1.8","1.8","0.6%"
