"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jonathan Taylor (IND)","25","165","6.6","68","1","0","2","2","50","25.0","1","0","1","27.5","27.5","99.6%"
"2","James Cook III (BUF)","21","132","6.3","44","1","2","1","1","3","3.0","0","0","1","25.5","25.5","99.4%"
"3","Javonte Williams (DAL)","18","97","5.4","30","1","1","7","6","33","5.5","0","0","1","19.0","19.0","97.5%"
"4","De'Von Achane (MIA)","11","30","2.7","9","0","0","10","8","92","11.5","1","0","1","18.2","18.2","99.7%"
"5","Kenneth Walker III (SEA)","13","105","8.1","20","1","1","1","1","13","13.0","0","0","1","17.8","17.8","95.4%"
"6","Bijan Robinson (ATL)","22","143","6.5","25","1","0","5","3","25","8.3","0","0","1","16.8","16.8","99.8%"
"7","Christian McCaffrey (SF)","13","55","4.2","10","0","0","7","6","52","8.7","1","0","1","16.7","16.7","99.8%"
"8","Jahmyr Gibbs (DET)","12","94","7.8","42","2","1","3","3","10","3.3","0","0","1","16.4","16.4","99.8%"
"9","Rhamondre Stevenson (NE)","11","54","4.9","21","1","0","5","5","88","17.6","0","0","1","16.2","16.2","81.4%"
"10","Saquon Barkley (PHI)","22","88","4.0","13","0","1","2","2","6","3.0","0","0","1","15.4","15.4","99.8%"
"11","Travis Etienne Jr. (JAC)","14","71","5.1","30","1","0","3","2","18","9.0","1","0","1","14.9","14.9","90.4%"
"12","J.K. Dobbins (DEN)","14","76","5.4","23","1","1","2","1","9","9.0","0","0","1","14.5","14.5","89.0%"
"13","Josh Jacobs (GB)","23","84","3.7","10","0","1","0","0","0","0","0","0","1","14.4","14.4","99.7%"
"14","Tyler Allgeier (ATL)","16","76","4.8","17","0","1","1","1","4","4.0","0","0","1","14.0","14.0","35.0%"
"15","Chuba Hubbard (CAR)","10","38","3.8","14","0","0","6","5","39","7.8","1","0","1","13.7","13.7","86.6%"
"16","Jaylen Warren (PIT)","14","48","3.4","9","0","0","4","4","86","21.5","0","0","1","13.4","13.4","91.5%"
"17","Bhayshul Tuten (JAC)","8","42","5.3","9","0","0","2","2","32","16.0","1","0","1","13.4","13.4","25.5%"
"18","Nick Chubb (HOU)","12","43","3.6","25","1","1","2","2","29","14.5","0","0","1","13.2","13.2","59.5%"
"19","Rachaad White (TB)","10","65","6.5","16","0","1","2","2","1","0.5","0","0","1","12.6","12.6","74.9%"
"20","Bucky Irving (TB)","17","71","4.2","10","0","0","6","6","50","8.3","0","0","1","12.1","12.1","96.6%"
"21","David Montgomery (DET)","11","57","5.2","18","0","1","1","1","4","4.0","0","0","1","12.1","12.1","94.5%"
"22","Cam Skattebo (NYG)","11","45","4.1","24","1","1","3","2","14","7.0","0","0","1","11.9","11.9","46.1%"
"23","James Conner (ARI)","11","34","3.1","8","0","1","1","1","18","18.0","0","0","1","11.2","11.2","48.6%"
"24","D'Andre Swift (CHI)","12","63","5.3","20","1","1","3","3","6","2.0","0","1","1","10.9","10.9","93.8%"
"25","Blake Corum (LAR)","5","44","8.8","15","0","1","0","0","0","0","0","0","1","10.4","10.4","9.7%"
"26","Alvin Kamara (NO)","21","99","4.7","15","0","0","6","6","21","3.5","0","1","1","10.0","10.0","96.2%"
"27","Tony Pollard (TEN)","20","92","4.6","10","0","0","1","0","0","0","0","0","1","9.2","9.2","86.6%"
"28","Antonio Gibson (NE)","5","27","5.4","15","0","0","1","1","1","1.0","0","0","1","8.8","8.8","1.4%"
"29","Kyren Williams (LAR)","17","66","3.9","15","0","0","2","2","14","7.0","0","0","1","8.0","8.0","99.4%"
"30","Miles Sanders (DAL)","5","15","3.0","6","0","1","2","2","4","2.0","0","0","1","7.9","7.9","1.8%"
"31","Dylan Sampson (CLE)","4","6","1.5","3","0","0","3","3","13","4.3","1","0","1","7.9","7.9","15.7%"
"32","Quinshon Judkins (CLE)","10","61","6.1","31","1","0","3","3","10","3.3","0","0","1","7.1","7.1","91.9%"
"33","Chase Brown (CIN)","16","47","2.9","11","0","0","3","2","18","9.0","0","0","1","6.5","6.5","97.8%"
"34","George Holani (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","6.0","6.0","0.1%"
"35","Jerome Ford (CLE)","6","31","5.2","8","0","0","6","5","23","4.6","0","0","1","5.4","5.4","22.8%"
"36","Woody Marks (HOU)","3","14","4.7","7","0","0","1","1","37","37.0","0","0","1","5.1","5.1","68.4%"
"37","Tyrone Tracy Jr. (NYG)","5","15","3.0","9","0","0","5","4","36","9.0","0","0","1","5.1","5.1","87.9%"
"38","Najee Harris (LAC)","8","28","3.5","7","0","0","2","2","20","10.0","0","0","1","4.8","4.8","8.2%"
"39","Ashton Jeanty (LV)","11","43","3.9","13","0","0","4","3","1","0.3","0","0","1","4.4","4.4","99.2%"
"40","Trey Benson (ARI)","3","14","4.7","11","0","0","6","4","30","7.5","0","0","1","4.4","4.4","56.9%"
"41","TreVeyon Henderson (NE)","3","10","3.3","6","0","0","2","2","30","15.0","0","0","1","4.0","4.0","83.6%"
"42","Breece Hall (NYJ)","10","29","2.9","12","0","0","3","2","9","4.5","0","0","1","3.8","3.8","97.4%"
"43","Jordan Mason (MIN)","9","30","3.3","8","0","0","3","2","8","4.0","0","0","1","3.8","3.8","78.2%"
"44","Kenneth Gainwell (PIT)","5","20","4.0","13","0","0","5","3","16","5.3","0","0","1","3.6","3.6","43.1%"
"45","Kyle Monangai (CHI)","7","28","4.0","10","0","0","3","1","8","8.0","0","0","1","3.6","3.6","71.5%"
"46","Kareem Hunt (KC)","8","31","3.9","11","0","0","1","1","3","3.0","0","0","1","3.4","3.4","49.6%"
"47","Isiah Pacheco (KC)","10","22","2.2","7","0","0","2","1","7","7.0","0","0","1","2.9","2.9","81.5%"
"48","Chris Brooks (GB)","0","0","0","0","0","0","4","3","27","9.0","0","0","1","2.7","2.7","0.8%"
"49","Justice Hill (BAL)","3","7","2.3","6","0","0","3","3","18","6.0","0","0","1","2.5","2.5","15.1%"
"50","Omarion Hampton (LAC)","8","24","3.0","15","0","0","2","1","1","1.0","0","0","1","2.5","2.5","91.0%"
"51","Austin Ekeler (WAS)","8","17","2.1","5","0","0","4","2","7","3.5","0","0","1","2.4","2.4","33.9%"
"52","Ray Davis (BUF)","9","24","2.7","8","0","0","0","0","0","0","0","0","1","2.4","2.4","8.2%"
"53","RJ Harvey (DEN)","5","8","1.6","3","0","0","2","1","16","16.0","0","0","1","2.4","2.4","73.3%"
"54","Derrick Henry (BAL)","11","23","2.1","8","0","0","0","0","0","0","0","0","1","2.3","2.3","99.7%"
"55","Aaron Jones Sr. (MIN)","5","23","4.6","8","0","0","1","0","0","0","0","0","1","2.3","2.3","82.9%"
"56","Tyler Badie (DEN)","1","3","3.0","3","0","0","2","2","19","9.5","0","0","1","2.2","2.2","0.7%"
"57","Rico Dowdle (CAR)","6","9","1.5","5","0","0","1","1","10","10.0","0","0","1","1.9","1.9","67.7%"
"58","Brian Robinson Jr. (SF)","6","20","3.3","7","0","0","1","1","-1","-1.0","0","0","1","1.9","1.9","44.2%"
"59","A.J. Dillon (PHI)","3","19","6.3","8","0","0","0","0","0","0","0","0","1","1.9","1.9","1.3%"
"60","Jacory Croskey-Merritt (WAS)","4","17","4.3","5","0","0","1","0","0","0","0","0","1","1.7","1.7","83.8%"
"61","Dylan Laube (LV)","0","0","0","0","0","0","2","2","17","8.5","0","0","1","1.7","1.7","0.6%"
"62","Zamir White (LV)","2","-2","-1.0","3","0","0","3","2","15","7.5","0","0","1","1.3","1.3","0.9%"
"63","Ollie Gordon II (MIA)","1","8","8.0","8","0","0","1","1","5","5.0","0","0","1","1.3","1.3","14.0%"
"64","LeQuint Allen Jr. (JAC)","2","13","6.5","9","0","0","0","0","0","0","0","0","1","1.3","1.3","0.6%"
"65","Alec Ingold (MIA)","0","0","0","0","0","0","2","2","13","6.5","0","0","1","1.3","1.3","0.6%"
"66","Braelon Allen (NYJ)","2","11","5.5","8","0","0","1","0","0","0","0","0","1","1.1","1.1","12.8%"
"67","Kendre Miller (NO)","5","8","1.6","6","0","0","1","1","2","2.0","0","0","1","1.0","1.0","4.8%"
"68","Zach Charbonnet (SEA)","15","10","0.7","6","0","0","0","0","0","0","0","0","1","1.0","1.0","77.6%"
"69","Ty Johnson (BUF)","2","6","3.0","3","0","0","1","0","0","0","0","0","1","0.6","0.6","1.1%"
"70","Isaiah Davis (NYJ)","0","0","0","0","0","0","3","1","6","6.0","0","0","1","0.6","0.6","18.9%"
"71","Kyle Juszczyk (SF)","0","0","0","0","0","0","1","1","5","5.0","0","0","1","0.5","0.5","0.8%"
"72","Craig Reynolds (DET)","3","4","1.3","3","0","0","0","0","0","0","0","0","1","0.4","0.4","0.6%"
"73","Brashard Smith (KC)","1","2","2.0","2","0","0","1","0","0","0","0","0","1","0.2","0.2","22.3%"
"74","Trevor Etienne (CAR)","0","0","0","0","0","0","1","1","2","2.0","0","0","1","0.2","0.2","1.3%"
"75","Kaleb Johnson (PIT)","1","1","1.0","1","0","0","0","0","0","0","0","0","1","0.1","0.1","18.2%"
"76","Tank Bigsby (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38.2%"
"77","Keilan Robinson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Elijah Mitchell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"79","Khalil Herbert (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"80","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Michael Carter (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.4%"
"82","JaMycal Hasty (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"83","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"84","Patrick Taylor Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"85","Jermar Jefferson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"86","Jonathan Ward (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","Clyde Edwards-Helaire (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"88","Cam Akers (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"89","D'Ernest Johnson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"90","Ty Chandler (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"91","Salvon Ahmed (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Trey Sermon (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"93","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"94","Jaylen Wright (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.8%"
"95","Rasheen Ali (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"96","Frank Gore Jr. (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
