"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tucker Kraft (GB)","7","6","124","20.7","57","1","1","0","0","0","0","1","18.4","18.4","90.6%"
"2","Zach Ertz (WAS)","8","6","64","10.7","20","1","1","0","0","0","0","1","12.4","12.4","69.8%"
"3","Juwan Johnson (NO)","9","5","49","9.8","18","0","1","0","0","0","0","1","10.9","10.9","25.2%"
"4","AJ Barner (SEA)","3","2","26","13.0","19","0","1","1","2","0","0","1","8.8","8.8","15.4%"
"5","Brock Wright (DET)","3","3","28","9.3","12","0","1","0","0","0","0","1","8.8","8.8","0.6%"
"6","Tyler Warren (IND)","7","4","79","19.8","41","1","0","1","0","0","0","1","7.9","7.9","97.6%"
"7","Trey McBride (ARI)","7","6","78","13.0","31","1","0","0","0","0","0","1","7.8","7.8","99.7%"
"8","Jake Ferguson (DAL)","12","9","78","8.7","19","0","0","0","0","0","0","1","7.8","7.8","88.3%"
"9","Luke Farrell (SF)","3","2","15","7.5","11","0","1","0","0","0","0","1","7.5","7.5","0.6%"
"10","Adam Trautman (DEN)","3","3","10","3.3","7","0","1","0","0","0","0","1","7.0","7.0","0.7%"
"11","Davis Allen (LAR)","1","1","8","8.0","8","0","1","0","0","0","0","1","6.8","6.8","0.6%"
"12","Jeremy Ruckert (NYJ)","1","1","5","5.0","5","0","1","0","0","0","0","1","6.5","6.5","0.7%"
"13","Travis Kelce (KC)","6","4","61","15.3","23","1","0","0","0","0","0","1","6.1","6.1","97.2%"
"14","Ja'Tavion Sanders (CAR)","9","7","54","7.7","12","0","0","0","0","0","0","1","5.4","5.4","2.1%"
"15","Harold Fannin Jr. (CLE)","5","5","48","9.6","20","1","0","0","0","0","0","1","4.8","4.8","51.9%"
"16","Elijah Higgins (ARI)","3","2","45","22.5","27","1","0","0","0","0","0","1","4.5","4.5","0.6%"
"17","David Njoku (CLE)","5","4","40","10.0","23","1","0","0","0","0","0","1","4.0","4.0","71.2%"
"18","Brock Bowers (LV)","8","5","38","7.6","9","0","0","0","0","0","0","1","3.8","3.8","97.0%"
"19","Austin Hooper (NE)","3","3","38","12.7","22","1","0","0","0","0","0","1","3.8","3.8","0.6%"
"20","Dalton Kincaid (BUF)","6","4","37","9.3","18","0","0","0","0","0","0","1","3.7","3.7","78.2%"
"21","Kyle Pitts Sr. (ATL)","5","4","37","9.3","14","0","0","0","0","0","0","1","3.7","3.7","77.2%"
"22","Tyler Higbee (LAR)","4","4","37","9.3","20","1","0","0","0","0","0","1","3.7","3.7","3.6%"
"23","Chig Okonkwo (TEN)","6","4","35","8.8","14","0","0","0","0","0","0","1","3.5","3.5","17.3%"
"24","Theo Johnson (NYG)","5","4","34","8.5","14","0","0","0","0","0","0","1","3.4","3.4","29.2%"
"25","Luke Musgrave (GB)","2","2","32","16.0","23","1","0","0","0","0","0","1","3.2","3.2","1.0%"
"26","Elijah Arroyo (SEA)","3","2","31","15.5","24","1","0","0","0","0","0","1","3.1","3.1","2.2%"
"27","Pat Freiermuth (PIT)","4","3","31","10.3","20","1","0","0","0","0","0","1","3.1","3.1","8.8%"
"28","Jake Tonges (SF)","5","4","31","7.8","11","0","0","0","0","0","0","1","3.1","3.1","2.8%"
"29","Cole Kmet (CHI)","2","2","29","14.5","22","1","0","0","0","0","0","1","2.9","2.9","3.8%"
"30","Dalton Schultz (HOU)","4","3","29","9.7","16","0","0","0","0","0","0","1","2.9","2.9","25.3%"
"31","Noah Fant (CIN)","4","3","28","9.3","25","1","0","0","0","0","0","1","2.8","2.8","4.2%"
"32","Jonnu Smith (PIT)","4","4","27","6.8","10","0","0","0","0","0","0","1","2.7","2.7","35.9%"
"33","Sam LaPorta (DET)","4","3","26","8.7","10","0","0","0","0","0","0","1","2.6","2.6","98.0%"
"34","Cade Otton (TB)","4","3","25","8.3","12","0","0","0","0","0","0","1","2.5","2.5","29.9%"
"35","Darnell Washington (PIT)","1","0","0","0","0","0","0","0","0","0","0","1","2.0","2.0","1.1%"
"36","Tommy Tremble (CAR)","3","3","20","6.7","9","0","0","0","0","0","0","1","2.0","2.0","0.7%"
"37","Dawson Knox (BUF)","5","2","19","9.5","12","0","0","0","0","0","0","1","1.9","1.9","1.3%"
"38","Mike Gesicki (CIN)","4","3","18","6.0","10","0","0","0","0","0","0","1","1.8","1.8","2.5%"
"39","Brenton Strange (JAC)","5","3","17","5.7","10","0","0","0","0","0","0","1","1.7","1.7","18.4%"
"40","T.J. Hockenson (MIN)","3","1","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","85.9%"
"41","Evan Engram (DEN)","2","1","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","67.3%"
"42","Michael Mayer (LV)","2","2","9","4.5","6","0","0","0","0","0","0","1","0.9","0.9","3.3%"
"43","Gunnar Helm (TEN)","2","2","9","4.5","7","0","0","0","0","0","0","1","0.9","0.9","1.2%"
"44","Mitchell Evans (CAR)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.6%"
"45","Hunter Henry (NE)","3","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","61.7%"
"46","Mo Alie-Cox (IND)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.6%"
"47","Ben Sinnott (WAS)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","1.0%"
"48","Drew Sample (CIN)","2","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","1.0%"
"49","Will Dissly (LAC)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.6%"
"50","Connor Heyward (PIT)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"51","Grant Calcaterra (PHI)","2","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.6%"
"52","Mason Taylor (NYJ)","2","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","19.5%"
"53","Kylen Granson (PHI)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.7%"
"54","Jackson Hawes (BUF)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.6%"
"55","Mark Andrews (BAL)","3","1","2","2.0","2","0","0","1","2","0","0","1","0.4","0.4","78.0%"
"56","Brevyn Spann-Ford (DAL)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"57","Noah Gray (KC)","5","1","1","1.0","1","0","0","0","0","0","0","1","0.1","0.1","1.3%"
"58","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"59","John Bates (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"60","Jalin Conyers (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"61","Josh Whyle (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"62","Kenny Yeboah (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Jake Briningstool (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Stephen Carlson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Andrew Beck (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"66","Luke Lachey (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"67","Quintin Morris (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.4%"
"68","Donald Parham Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"69","Charlie Kolar (BAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"70","Hunter Long (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"71","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Brevin Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"73","Dalton Keene (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Harrison Bryant (HOU)","1","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"75","Josiah Deguara (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","Charlie Woerner (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"77","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Chris Myarick (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Sean McKeon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Matt Sokol (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Colby Parkinson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"82","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","Jared Wiley (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"84","Cam Grandy (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","Caden Prieskorn (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"86","Mason Pline (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","Treyton Welch (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
