"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Ja'Marr Chase (CIN)","11","17","264","24.0","70","4","3","0","0","0","0","1","44.4","44.4","99.7%"
"2","Marquez Valdes-Scantling (SEA)","3","3","109","36.3","67","2","2","0","0","0","0","1","22.9","22.9","2.4%"
"3","Calvin Ridley (TEN)","5","9","84","16.8","41","1","2","0","0","0","0","1","20.4","20.4","89.9%"
"4","Tylan Wallace (BAL)","3","3","115","38.3","84","2","1","0","0","0","0","1","17.5","17.5","0.6%"
"5","George Pickens (DAL)","5","7","91","18.2","34","2","1","1","4","0","0","1","15.5","15.5","92.8%"
"6","Alec Pierce (IND)","4","7","81","20.3","32","2","1","0","0","0","0","1","14.1","14.1","8.8%"
"7","John Metchie III (PHI)","5","6","74","14.8","25","1","1","0","0","0","0","1","13.4","13.4","1.0%"
"8","Ricky Pearsall (SF)","4","6","73","18.3","46","1","1","0","0","0","0","1","13.3","13.3","80.8%"
"9","Courtland Sutton (DEN)","6","9","70","11.7","32","1","1","0","0","0","0","1","13.0","13.0","93.4%"
"10","Amon-Ra St. Brown (DET)","6","8","60","10.0","15","0","1","0","0","0","0","1","12.0","12.0","99.7%"
"11","Marvin Harrison Jr. (ARI)","5","5","54","10.8","18","0","1","0","0","0","0","1","11.4","11.4","97.5%"
"12","Rashod Bateman (BAL)","6","8","54","9.0","15","0","1","0","0","0","0","1","11.4","11.4","33.3%"
"13","Terry McLaurin (WAS)","5","6","113","22.6","54","2","0","0","0","0","0","1","11.3","11.3","97.1%"
"14","A.J. Brown (PHI)","5","7","109","21.8","44","2","0","0","0","0","0","1","10.9","10.9","99.5%"
"15","Devaughn Vele (NO)","4","4","39","9.8","13","0","1","0","0","0","0","1","9.9","9.9","2.3%"
"16","Puka Nacua (LAR)","9","14","98","10.9","21","1","0","0","0","0","0","1","9.8","9.8","99.6%"
"17","Drake London (ATL)","8","13","97","12.1","20","1","0","0","0","0","0","1","9.7","9.7","99.2%"
"18","Darnell Mooney (ATL)","5","9","96","19.2","33","2","0","0","0","0","0","1","9.6","9.6","57.0%"
"19","Malik Washington (MIA)","1","2","17","17.0","17","0","0","1","18","1","0","1","9.5","9.5","2.2%"
"20","Jauan Jennings (SF)","7","11","93","13.3","30","1","0","0","0","0","0","1","9.3","9.3","80.0%"
"21","Mike Williams (FA)","1","1","32","32.0","32","1","1","0","0","0","0","1","9.2","9.2","2.0%"
"22","Tyreek Hill (MIA)","3","4","16","5.3","12","0","1","2","11","0","0","1","8.7","8.7","98.6%"
"23","Mack Hollins (NE)","4","4","86","21.5","44","1","0","0","0","0","0","1","8.6","8.6","0.9%"
"24","Quentin Johnston (LAC)","2","2","24","12.0","16","0","1","0","0","0","0","1","8.4","8.4","14.4%"
"25","Cooper Kupp (SEA)","7","7","80","11.4","19","0","0","0","0","0","0","1","8.0","8.0","84.6%"
"26","Deebo Samuel Sr. (WAS)","5","6","62","12.4","32","1","0","3","14","0","0","1","7.6","7.6","85.1%"
"27","Josh Downs (IND)","7","10","72","10.3","21","1","0","0","0","0","0","1","7.2","7.2","64.8%"
