"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Noah Gray (KC)","4","4","66","16.5","35","1","2","0","0","0","0","1","18.6","18.6","4.8%"
"2","Jonnu Smith (PIT)","9","11","87","9.7","14","0","1","1","0","0","0","1","14.7","14.7","54.3%"
"3","George Kittle (SF)","6","6","82","13.7","31","2","1","0","0","0","0","1","14.2","14.2","99.4%"
"4","Trey McBride (ARI)","12","15","133","11.1","20","1","0","0","0","0","0","1","13.3","13.3","99.4%"
"5","Chig Okonkwo (TEN)","1","1","70","70.0","70","1","1","0","0","0","0","1","13.0","13.0","19.0%"
"6","Austin Hooper (NE)","4","4","59","14.8","38","1","1","0","0","0","0","1","11.9","11.9","1.5%"
"7","Luke Schoonmaker (DAL)","3","4","55","18.3","24","2","1","0","0","0","0","1","11.5","11.5","1.4%"
"8","T.J. Hockenson (MIN)","7","9","114","16.3","34","3","0","0","0","0","0","1","11.4","11.4","96.3%"
"9","Mark Andrews (BAL)","5","5","44","8.8","16","0","1","1","2","0","0","1","10.6","10.6","94.8%"
"10","Zach Ertz (WAS)","6","8","38","6.3","13","0","1","0","0","0","0","1","9.8","9.8","43.6%"
"11","Tucker Kraft (GB)","2","2","26","13.0","15","0","1","0","0","0","0","1","8.6","8.6","83.6%"
"12","Cade Stover (HOU)","3","4","26","8.7","19","0","1","0","0","0","0","1","8.6","8.6","1.2%"
"13","Cole Kmet (CHI)","7","10","64","9.1","20","1","0","0","0","0","0","1","6.4","6.4","7.2%"
"14","Travis Kelce (KC)","6","8","62","10.3","27","1","0","0","0","0","0","1","6.2","6.2","97.0%"
"15","Pat Freiermuth (PIT)","4","4","59","14.8","22","1","0","0","0","0","0","1","5.9","5.9","18.8%"
"16","Ja'Tavion Sanders (CAR)","3","3","49","16.3","28","1","0","0","0","0","0","1","4.9","4.9","6.8%"
"17","Will Dissly (LAC)","4","4","47","11.8","18","0","0","0","0","0","0","1","4.7","4.7","2.2%"
"18","Hunter Henry (NE)","5","8","44","8.8","16","0","0","0","0","0","0","1","4.4","4.4","45.3%"
"19","Theo Johnson (NYG)","3","6","39","13.0","23","1","0","0","0","0","0","1","3.9","3.9","6.6%"
"20","Jordan Akins (FA)","3","4","38","12.7","18","0","0","0","0","0","0","1","3.8","3.8","1.0%"
"21","Brock Bowers (LV)","4","10","38","9.5","13","0","0","0","0","0","0","1","3.8","3.8","99.6%"
"22","Cade Otton (TB)","1","3","30","30.0","30","1","0","0","0","0","0","1","3.0","3.0","16.9%"
"23","David Njoku (CLE)","1","5","9","9.0","9","0","0","0","0","0","0","1","2.9","2.9","91.8%"
"24","Blake Whiteheart (CLE)","1","1","29","29.0","29","1","0","0","0","0","0","1","2.9","2.9","0.0%"
"25","Payne Durham (TB)","1","1","26","26.0","26","1","0","0","0","0","0","1","2.6","2.6","0.6%"
"26","Brevyn Spann-Ford (DAL)","2","2","24","12.0","18","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"27","Brock Wright (DET)","2","2","24","12.0","16","0","0","0","0","0","0","1","2.4","2.4","0.6%"
"28","Dalton Schultz (HOU)","2","2","20","10.0","16","0","0","0","0","0","0","1","2.0","2.0","9.8%"
"29","Sam LaPorta (DET)","3","6","19","6.3","9","0","0","0","0","0","0","1","1.9","1.9","98.7%"
"30","Dallas Goedert (PHI)","4","5","19","4.8","7","0","0","0","0","0","0","1","1.9","1.9","77.1%"
"31","Pharaoh Brown (MIA)","2","2","19","9.5","13","0","0","0","0","0","0","1","1.9","1.9","0.1%"
"32","AJ Barner (SEA)","3","4","19","6.3","11","0","0","0","0","0","0","1","1.9","1.9","2.6%"
"33","Darnell Washington (PIT)","3","3","14","4.7","6","0","0","0","0","0","0","1","1.4","1.4","1.1%"
"34","Michael Mayer (LV)","2","2","11","5.5","9","0","0","0","0","0","0","1","1.1","1.1","3.2%"
"35","Colby Parkinson (LAR)","1","2","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","0.6%"
"36","Durham Smythe (CHI)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.6%"
"37","Julian Hill (MIA)","1","2","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.6%"
"38","Tucker Fisk (LAC)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","1.0%"
"39","Johnny Mundt (JAC)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.1%"
"40","Charlie Kolar (BAL)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.1%"
"41","Elijah Higgins (ARI)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.6%"
"42","Tommy Tremble (CAR)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.6%"
"43","Adam Trautman (DEN)","1","2","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.7%"
"44","John FitzPatrick (GB)","1","1","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"45","Elijah Arroyo (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.1%"
"46","Luke Lachey (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"47","Thomas Fidone II (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"48","Dominique Dafney (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"49","Jake Ferguson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69.2%"
"50","Hunter Long (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Kylen Granson (PHI)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.2%"
"52","Kenny Yeboah (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Quintin Morris (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"54","Jake Briningstool (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Josh Whyle (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"56","Jalin Conyers (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"57","Josiah Deguara (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Mitchell Wilcox (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Luke Farrell (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"60","Dalton Keene (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Harrison Bryant (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Juwan Johnson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.2%"
"63","Tyler Mabry (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Giovanni Ricci (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Sean McKeon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Charlie Woerner (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"68","Donald Parham Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"69","Stephen Carlson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Andrew Beck (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Chris Myarick (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
