"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Saquon Barkley (PHI)","26","255","9.8","72","2","2","4","4","47","11.8","0","0","1","42.2","42.2","99.7%"
"2","Josh Jacobs (GB)","26","106","4.1","18","0","3","0","1","0","0","0","0","1","28.6","28.6","99.4%"
"3","Jahmyr Gibbs (DET)","21","90","4.3","17","0","2","3","3","9","3.0","0","0","1","21.9","21.9","99.6%"
"4","Bucky Irving (TB)","12","88","7.3","56","1","1","6","6","64","10.7","0","0","1","21.2","21.2","99.4%"
"5","Tony Pollard (TEN)","24","119","5.0","27","1","1","3","5","10","3.3","0","0","1","18.9","18.9","88.9%"
"6","Nick Chubb (HOU)","20","59","3.0","7","0","2","1","1","1","1.0","0","0","1","18.0","18.0","49.1%"
"7","De'Von Achane (MIA)","10","32","3.2","9","0","0","3","4","24","8.0","2","0","1","17.6","17.6","99.3%"
"8","Aaron Jones Sr. (MIN)","22","106","4.8","41","1","1","3","4","23","7.7","0","1","1","16.9","16.9","89.7%"
"9","Derrick Henry (BAL)","24","140","5.8","27","1","0","0","0","0","0","0","0","1","14.0","14.0","99.5%"
"10","Chuba Hubbard (CAR)","16","58","3.6","13","0","1","1","5","2","2.0","0","0","1","14.0","14.0","96.4%"
"11","David Montgomery (DET)","8","37","4.6","13","0","1","3","3","36","12.0","0","0","1","13.3","13.3","94.0%"
"12","Ameer Abdullah (FA)","8","28","3.5","5","0","0","5","6","37","7.4","1","0","1","12.5","12.5","0.6%"
"13","Jaylen Warren (PIT)","11","45","4.1","15","0","1","3","4","19","6.3","0","0","1","12.4","12.4","83.3%"
"14","Justice Hill (BAL)","4","55","13.8","51","1","1","2","2","7","3.5","0","0","1","12.2","12.2","12.4%"
"15","Kyren Williams (LAR)","16","72","4.5","27","1","1","0","0","0","0","0","1","1","11.2","11.2","98.9%"
"16","Rachaad White (TB)","12","37","3.1","9","0","1","1","1","10","10.0","0","0","1","10.7","10.7","54.2%"
"17","Kenneth Walker III (SEA)","16","41","2.6","14","0","0","4","6","52","13.0","0","0","1","9.3","9.3","96.5%"
"18","Kareem Hunt (KC)","16","68","4.3","13","0","0","3","4","19","6.3","0","0","1","8.7","8.7","16.8%"
"19","Kenneth Gainwell (PIT)","5","22","4.4","13","0","1","0","0","0","0","0","0","1","8.2","8.2","1.5%"
"20","Rico Dowdle (CAR)","19","86","4.5","9","0","0","3","3","12","4.0","0","1","1","7.8","7.8","20.2%"
"21","Roschon Johnson (CHI)","2","2","1.0","1","0","1","1","1","10","10.0","0","0","1","7.2","7.2","13.6%"
"22","Gus Edwards (FA)","9","11","1.2","8","0","1","0","1","0","0","0","0","1","7.1","7.1","0.6%"
