"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jerry Jeudy (CLE)","9","13","235","26.1","70","3","1","0","0","0","0","1","31.5","31.5","88.6%"
"2","Keenan Allen (LAC)","5","8","73","14.6","31","1","2","0","0","0","0","1","19.3","19.3","47.4%"
"3","Terry McLaurin (WAS)","8","8","73","9.1","16","0","2","0","0","0","0","1","19.3","19.3","97.1%"
"4","Parker Washington (JAC)","6","12","103","17.2","30","3","1","0","0","0","0","1","18.3","18.3","1.6%"
"5","Nick Westbrook-Ikhine (MIA)","3","8","61","20.3","27","1","2","0","0","0","0","1","18.1","18.1","2.5%"
"6","Mike Evans (TB)","8","12","118","14.8","27","2","1","0","0","0","0","1","17.8","17.8","98.0%"
"7","Marvin Mims Jr. (DEN)","3","4","105","35.0","93","1","1","1","4","0","0","1","16.9","16.9","40.4%"
"8","Jayden Reed (GB)","3","6","24","8.0","12","0","2","1","23","0","0","1","16.7","16.7","76.8%"
"9","Adam Thielen (CAR)","8","10","99","12.4","25","1","1","0","0","0","0","1","15.9","15.9","36.0%"
"10","DJ Moore (CHI)","8","16","97","12.1","31","2","1","0","0","0","0","1","15.7","15.7","94.6%"
"11","Brian Thomas Jr. (JAC)","4","10","76","19.0","56","1","1","1","11","0","0","1","14.7","14.7","99.5%"
"12","Ja'Marr Chase (CIN)","6","9","86","14.3","49","1","1","0","0","0","0","1","14.6","14.6","99.7%"
"13","Tyreek Hill (MIA)","6","9","83","13.8","30","2","1","0","0","0","0","1","14.3","14.3","98.6%"
"14","George Pickens (DAL)","3","6","74","24.7","36","2","1","0","0","0","0","1","13.4","13.4","92.8%"
"15","Tee Higgins (CIN)","5","10","69","13.8","31","1","1","0","0","0","0","1","12.9","12.9","99.0%"
"16","Tre Tucker (LV)","1","1","58","58.0","58","1","1","1","11","0","0","1","12.9","12.9","2.1%"
"17","Davante Adams (LAR)","5","12","66","13.2","24","1","1","0","0","0","0","1","12.6","12.6","97.3%"
"18","Puka Nacua (LAR)","5","8","56","11.2","19","0","1","1","7","0","0","1","12.3","12.3","99.6%"
"19","Marvin Harrison Jr. (ARI)","5","12","60","12.0","16","0","1","0","0","0","0","1","12.0","12.0","97.5%"
"20","Nico Collins (HOU)","8","11","119","14.9","40","2","0","0","0","0","0","1","11.9","11.9","99.6%"
"21","Ladd McConkey (LAC)","9","12","117","13.0","48","2","0","0","0","0","0","1","11.7","11.7","99.2%"
"22","Elijah Moore (BUF)","8","14","111","13.9","44","1","0","1","1","0","0","1","11.2","11.2","2.2%"
"23","Demarcus Robinson (SF)","2","3","49","24.5","46","1","1","0","0","0","0","1","10.9","10.9","2.1%"
"24","Courtland Sutton (DEN)","6","9","102","17.0","32","1","0","0","0","0","0","1","10.2","10.2","93.4%"
"25","Justin Jefferson (MIN)","7","9","99","14.1","30","2","0","0","0","0","0","1","9.9","9.9","99.7%"
"26","Jakobi Meyers (LV)","6","11","97","16.2","43","2","0","0","0","0","0","1","9.7","9.7","84.5%"
"27","Marquez Valdes-Scantling (SEA)","2","3","36","18.0","28","1","1","0","0","0","0","1","9.6","9.6","2.4%"
"28","Andrei Iosivas (CIN)","3","4","35","11.7","17","0","1","0","0","0","0","1","9.5","9.5","4.0%"
"29","Ray-Ray McCloud III (ATL)","4","6","95","23.8","60","2","0","1","-2","0","0","1","9.3","9.3","2.6%"
"30","DeAndre Hopkins (BAL)","4","9","90","22.5","34","2","0","0","0","0","0","1","9.0","9.0","14.9%"
"31","Calvin Austin III (PIT)","2","2","29","14.5","23","1","1","0","0","0","0","1","8.9","8.9","6.8%"
"32","Drake London (ATL)","9","16","86","9.6","17","0","0","1","-3","0","0","1","8.3","8.3","99.2%"
"33","Jaxon Smith-Njigba (SEA)","4","4","74","18.5","25","3","0","1","5","0","0","1","7.9","7.9","98.2%"
"34","Alec Pierce (IND)","2","6","16","8.0","13","0","1","0","0","0","0","1","7.6","7.6","8.8%"
"35","Brandin Cooks (NO)","3","7","16","5.3","11","0","1","0","0","0","0","1","7.6","7.6","3.9%"
"36","Malik Nabers (NYG)","8","13","69","8.6","18","0","0","1","4","0","0","1","7.3","7.3","99.6%"
"37","Amon-Ra St. Brown (DET)","5","7","73","14.6","29","1","0","0","0","0","0","1","7.3","7.3","99.7%"
"38","Jaylen Waddle (MIA)","4","4","53","13.3","16","0","0","0","0","0","0","1","7.3","7.3","91.0%"
"39","Zay Flowers (BAL)","3","7","74","24.7","40","2","0","1","-3","0","0","1","7.1","7.1","94.6%"
"40","Christian Watson (GB)","2","4","67","33.5","46","2","0","0","0","0","0","1","6.7","6.7","5.5%"
"41","Mack Hollins (NE)","1","1","7","7.0","7","0","1","0","0","0","0","1","6.7","6.7","0.9%"
"42","DK Metcalf (PIT)","4","9","66","16.5","30","2","0","0","0","0","0","1","6.6","6.6","96.5%"
