"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Bucky Irving (TB)","25","152","6.1","43","1","1","3","3","33","11.0","0","0","1","24.5","24.5","99.4%"
"2","Bijan Robinson (ATL)","26","102","3.9","15","0","1","6","6","33","5.5","0","0","1","19.5","19.5","99.6%"
"3","Najee Harris (LAC)","16","75","4.7","20","1","1","6","6","54","9.0","0","0","1","18.9","18.9","54.3%"
"4","Rico Dowdle (CAR)","22","112","5.1","22","1","1","3","3","11","3.7","0","0","1","18.3","18.3","20.2%"
"5","James Cook (BUF)","14","107","7.6","65","1","1","1","1","13","13.0","0","0","1","18.0","18.0","98.4%"
"6","Joe Mixon (HOU)","20","101","5.1","30","1","1","4","6","18","4.5","0","0","1","17.9","17.9","89.9%"
"7","Saquon Barkley (PHI)","23","107","4.7","25","1","1","2","4","10","5.0","0","0","1","17.7","17.7","99.7%"
"8","Josh Jacobs (GB)","19","43","2.3","11","0","1","4","4","74","18.5","0","0","1","17.7","17.7","99.4%"
"9","Kyren Williams (LAR)","15","104","6.9","17","0","1","1","1","9","9.0","0","0","1","17.3","17.3","98.9%"
"10","Brian Robinson Jr. (WAS)","16","103","6.4","40","1","1","1","1","6","6.0","0","0","1","16.9","16.9","84.9%"
"11","Jonathan Taylor (IND)","25","96","3.8","9","0","0","1","1","7","7.0","1","0","1","16.3","16.3","99.2%"
"12","Chase Brown (CIN)","12","70","5.8","40","1","1","3","3","30","10.0","0","0","1","16.0","16.0","97.9%"
"13","Chris Rodriguez Jr. (WAS)","13","94","7.2","25","1","1","0","0","0","0","0","0","1","15.4","15.4","2.4%"
"14","De'Von Achane (MIA)","7","14","2.0","13","0","0","8","9","56","7.0","1","0","1","13.0","13.0","99.3%"
"15","Ray Davis (BUF)","11","63","5.7","13","0","1","1","1","4","4.0","0","0","1","12.7","12.7","30.9%"
"16","Tyrone Tracy Jr. (NYG)","9","32","3.6","7","0","1","2","3","33","16.5","0","0","1","12.5","12.5","85.0%"
"17","David Montgomery (DET)","21","88","4.2","13","0","0","3","3","36","12.0","0","0","1","12.4","12.4","94.0%"
"18","Antonio Gibson (NE)","7","62","8.9","15","0","1","0","0","0","0","0","0","1","12.2","12.2","2.4%"
"19","Alvin Kamara (NO)","23","112","4.9","13","0","0","4","6","7","1.8","0","0","1","11.9","11.9","96.9%"
"20","Derrick Henry (BAL)","19","82","4.3","19","0","0","3","3","29","9.7","0","0","1","11.1","11.1","99.5%"
"21","Nick Chubb (HOU)","9","21","2.3","10","0","0","2","2","24","12.0","1","0","1","10.5","10.5","49.1%"
"22","Zach Charbonnet (SEA)","4","28","7.0","11","0","1","2","3","13","6.5","0","0","1","10.1","10.1","70.9%"
"23","Rhamondre Stevenson (NE)","18","73","4.1","32","1","0","3","3","21","7.0","0","0","1","9.4","9.4","73.9%"
"24","Isaiah Davis (NYJ)","1","4","4.0","4","0","0","3","3","28","9.3","1","0","1","9.2","9.2","2.0%"
"25","Jahmyr Gibbs (DET)","9","87","9.7","28","1","0","2","4","17","8.5","0","1","1","8.4","8.4","99.6%"
"26","Jaleel McLaughlin (DEN)","14","84","6.0","18","0","0","1","2","0","0.0","0","0","1","8.4","8.4","3.9%"
"27","James Conner (ARI)","17","68","4.0","16","0","0","3","4","13","4.3","0","0","1","8.1","8.1","94.5%"
"28","Jordan Mason (MIN)","13","78","6.0","28","1","0","0","0","0","0","0","0","1","7.8","7.8","74.3%"
"29","Rachaad White (TB)","11","76","6.9","38","1","0","1","1","2","2.0","0","0","1","7.8","7.8","54.2%"
"30","Isaac Guerendo (SF)","4","19","4.8","15","0","1","1","1","-3","-3.0","0","0","1","7.6","7.6","34.0%"
"31","D'Andre Swift (CHI)","11","39","3.5","12","0","0","2","3","35","17.5","0","0","1","7.4","7.4","90.5%"
"32","Aaron Jones Sr. (MIN)","5","22","4.4","8","0","0","3","4","6","2.0","1","1","1","6.8","6.8","89.7%"
