"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Joe Mixon (HOU)","20","109","5.5","45","1","3","2","4","44","22.0","0","0","1","33.3","33.3","89.9%"
"2","Saquon Barkley (PHI)","26","146","5.6","39","2","2","2","3","52","26.0","0","0","1","31.8","31.8","99.7%"
"3","Breece Hall (NYJ)","16","78","4.9","18","0","1","7","7","43","6.1","1","0","1","24.1","24.1","96.5%"
"4","David Montgomery (DET)","15","75","5.0","11","0","2","3","3","20","6.7","0","0","1","21.5","21.5","94.0%"
"5","Josh Jacobs (GB)","18","76","4.2","12","0","1","4","5","58","14.5","0","0","1","19.4","19.4","99.4%"
"6","Jahmyr Gibbs (DET)","11","69","6.3","23","1","1","1","1","54","54.0","0","0","1","18.3","18.3","99.6%"
"7","J.K. Dobbins (DEN)","11","56","5.1","29","1","2","1","1","3","3.0","0","0","1","17.9","17.9","77.8%"
"8","De'Von Achane (MIA)","17","73","4.3","30","1","1","4","4","32","8.0","0","0","1","16.5","16.5","99.3%"
"9","James Cook (BUF)","9","20","2.2","6","0","2","5","6","7","1.4","0","0","1","14.7","14.7","98.4%"
"10","Javonte Williams (DAL)","9","59","6.6","14","0","1","4","5","28","7.0","0","0","1","14.7","14.7","71.3%"
"11","D'Andre Swift (CHI)","14","71","5.1","39","1","1","2","2","13","6.5","0","0","1","14.4","14.4","90.5%"
"12","Chase Brown (CIN)","22","86","3.9","27","1","0","5","7","57","11.4","0","0","1","14.3","14.3","97.9%"
"13","Brian Robinson Jr. (WAS)","16","63","3.9","18","0","1","1","1","9","9.0","0","0","1","13.2","13.2","84.9%"
"14","Kenneth Walker III (SEA)","14","54","3.9","11","0","1","2","2","5","2.5","0","0","1","11.9","11.9","96.5%"
"15","Christian McCaffrey (SF)","19","79","4.2","11","0","0","4","5","27","6.8","0","0","1","10.6","10.6","99.5%"
"16","Derrick Henry (BAL)","13","65","5.0","31","1","1","0","0","0","0","0","1","1","10.5","10.5","99.5%"
"17","Roschon Johnson (CHI)","10","33","3.3","7","0","1","1","1","8","8.0","0","0","1","10.1","10.1","13.6%"
"18","Cam Akers (NO)","10","25","2.5","12","0","0","2","2","11","5.5","1","0","1","9.6","9.6","0.7%"
"19","Austin Ekeler (WAS)","2","7","3.5","6","0","0","8","9","89","11.1","0","0","1","9.6","9.6","54.3%"
"20","Najee Harris (LAC)","18","63","3.5","13","0","0","4","5","30","7.5","0","0","1","9.3","9.3","54.3%"
"21","Alvin Kamara (NO)","16","67","4.2","18","0","0","4","4","22","5.5","0","0","1","8.9","8.9","96.9%"
"22","Rhamondre Stevenson (NE)","20","73","3.7","12","0","0","4","4","16","4.0","0","0","1","8.9","8.9","73.9%"
"23","Kyren Williams (LAR)","15","86","5.7","18","0","0","0","0","0","0","0","0","1","8.6","8.6","98.9%"
