"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jayden Daniels (WAS)","24","39","61.5","258","6.6","5","2","1","9","81","0","0","1","36.4","36.4","99.6%"
"2","Bryce Young (CAR)","17","26","65.4","158","6.1","2","0","3","5","68","1","0","1","27.1","27.1","26.6%"
"3","Jared Goff (DET)","23","32","71.9","336","10.5","3","0","1","1","-1","0","0","1","25.3","25.3","81.5%"
"4","Patrick Mahomes II (KC)","28","41","68.3","260","6.3","1","0","1","5","33","1","0","1","23.7","23.7","97.6%"
"5","Geno Smith (LV)","31","43","72.1","314","7.3","3","2","2","1","8","0","0","1","23.4","23.4","18.3%"
"6","Baker Mayfield (TB)","31","43","72.1","303","7.0","2","1","4","3","42","0","0","1","23.3","23.3","95.5%"
"7","Justin Herbert (LAC)","23","31","74.2","284","9.2","2","1","2","8","28","0","0","1","23.2","23.2","84.6%"
"8","Sam Darnold (SEA)","22","35","62.9","246","7.0","3","0","3","5","11","0","0","1","22.9","22.9","17.8%"
"9","Caleb Williams (CHI)","26","40","65.0","334","8.4","2","0","2","6","34","0","1","1","22.8","22.8","75.6%"
"10","Brock Purdy (SF)","26","40","65.0","313","7.8","2","1","3","4","26","0","0","1","22.1","22.1","88.3%"
"11","Joe Burrow (CIN)","23","30","76.7","252","8.4","3","0","4","2","19","0","1","1","22.0","22.0","99.4%"
"12","Lamar Jackson (BAL)","15","23","65.2","207","9.0","3","1","1","9","22","0","0","1","21.5","21.5","99.6%"
"13","Kyler Murray (ARI)","20","32","62.5","202","6.3","1","1","3","8","63","1","1","1","21.4","21.4","88.8%"
"14","Anthony Richardson Sr. (IND)","7","11","63.6","131","11.9","1","1","1","9","70","1","0","1","21.2","21.2","16.1%"
"15","Bo Nix (DEN)","29","40","72.5","263","6.6","2","0","2","3","25","0","0","1","21.0","21.0","93.5%"
"16","Drake Maye (NE)","22","36","61.1","261","7.3","2","1","2","6","30","0","1","1","18.4","18.4","71.0%"
"17","C.J. Stroud (HOU)","23","39","59.0","244","6.3","2","2","2","2","23","0","0","1","18.1","18.1","69.5%"
"18","Mason Rudolph (PIT)","23","34","67.6","252","7.4","2","3","1","4","3","0","0","1","17.4","17.4","1.7%"
"19","Russell Wilson (NYG)","22","33","66.7","217","6.6","2","1","3","3","27","0","1","1","16.4","16.4","9.8%"
"20","Cooper Rush (BAL)","26","35","74.3","292","8.3","1","0","1","3","-4","0","0","1","15.3","15.3","0.7%"
"21","Mac Jones (SF)","25","39","64.1","247","6.3","1","0","1","0","0","0","0","1","13.9","13.9","1.3%"
"22","Aaron Rodgers (PIT)","28","42","66.7","256","6.1","1","0","1","1","6","0","1","1","12.8","12.8","15.4%"
"23","Tua Tagovailoa (MIA)","22","34","64.7","215","6.3","1","0","0","2","-1","0","0","1","12.5","12.5","28.9%"
"24","Josh Allen (BUF)","16","29","55.2","154","5.3","1","1","1","6","30","0","0","1","12.2","12.2","99.7%"
"25","Jordan Love (GB)","16","28","57.1","182","6.5","1","0","0","1","2","0","0","1","11.5","11.5","69.0%"
"26","Aidan O'Connell (LV)","24","38","63.2","257","6.8","0","0","2","7","12","0","0","1","11.5","11.5","1.0%"
"27","Kenny Pickett (CLE)","14","24","58.3","143","6.0","1","1","3","3","13","0","0","1","10.0","10.0","3.6%"
