"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","George Kittle (SF)","8","9","106","13.3","28","2","0","0","0","0","0","1","10.6","10.6","99.4%"
"2","Dalton Schultz (HOU)","5","8","45","9.0","24","1","1","0","0","0","0","1","10.5","10.5","9.8%"
"3","Sam LaPorta (DET)","4","7","43","10.8","21","1","1","0","0","0","0","1","10.3","10.3","98.7%"
"4","Chig Okonkwo (TEN)","9","11","81","9.0","22","1","0","0","0","0","0","1","10.1","10.1","19.0%"
"5","Brock Bowers (LV)","11","13","99","9.0","32","1","0","0","0","0","0","1","9.9","9.9","99.6%"
"6","Hunter Henry (NE)","4","8","39","9.8","12","0","1","0","0","0","0","1","9.9","9.9","45.3%"
"7","Mark Andrews (BAL)","4","6","37","9.3","16","0","1","1","1","0","0","1","9.8","9.8","94.8%"
"8","Isaiah Likely (BAL)","3","3","29","9.7","19","0","1","0","0","0","0","1","8.9","8.9","27.6%"
"9","AJ Barner (SEA)","2","2","13","6.5","9","0","1","0","0","0","0","1","7.3","7.3","2.6%"
"10","Tyler Higbee (LAR)","1","2","11","11.0","11","0","1","0","0","0","0","1","7.1","7.1","6.4%"
"11","Cole Kmet (CHI)","2","2","9","4.5","8","0","1","0","0","0","0","1","6.9","6.9","7.2%"
"12","David Njoku (CLE)","8","10","66","8.3","29","1","0","0","0","0","0","1","6.6","6.6","91.8%"
"13","Tucker Kraft (GB)","3","4","63","21.0","30","2","0","1","2","0","0","1","6.5","6.5","83.6%"
"14","Eric Saubert (SEA)","1","1","2","2.0","2","0","1","0","0","0","0","1","6.2","6.2","1.8%"
"15","Jonnu Smith (PIT)","6","6","62","10.3","22","1","0","0","0","0","0","1","6.2","6.2","54.3%"
"16","MyCole Pruitt (FA)","1","2","1","1.0","1","0","1","0","0","0","0","1","6.1","6.1","1.0%"
"17","Tyler Conklin (LAC)","5","7","59","11.8","20","1","0","0","0","0","0","1","5.9","5.9","3.5%"
"18","Austin Hooper (NE)","4","5","55","13.8","26","1","0","0","0","0","0","1","5.5","5.5","1.5%"
"19","Noah Fant (CIN)","3","6","50","16.7","18","0","0","0","0","0","0","1","5.0","5.0","4.2%"
"20","Jake Ferguson (DAL)","6","9","40","6.7","21","1","0","0","0","0","0","1","4.0","4.0","69.2%"
"21","Stone Smartt (NYJ)","3","3","37","12.3","19","0","0","0","0","0","0","1","3.7","3.7","1.0%"
"22","Foster Moreau (NO)","2","3","33","16.5","21","1","0","0","0","0","0","1","3.3","3.3","0.7%"
"23","Tommy Tremble (CAR)","3","3","32","10.7","15","0","0","0","0","0","0","1","3.2","3.2","0.6%"
"24","Travis Kelce (KC)","5","7","30","6.0","14","0","0","0","0","0","0","1","3.0","3.0","97.0%"
"25","Payne Durham (TB)","5","7","29","5.8","7","0","0","0","0","0","0","1","2.9","2.9","0.6%"
"26","T.J. Hockenson (MIN)","2","5","27","13.5","19","0","0","0","0","0","0","1","2.7","2.7","96.3%"
"27","Juwan Johnson (NO)","2","2","27","13.5","17","0","0","0","0","0","0","1","2.7","2.7","6.2%"
"28","Dawson Knox (BUF)","2","2","22","11.0","13","0","0","0","0","0","0","1","2.2","2.2","2.1%"
"29","Lucas Krull (DEN)","3","3","21","7.0","10","0","0","0","0","0","0","1","2.1","2.1","1.8%"
"30","Trey McBride (ARI)","3","4","20","6.7","11","0","0","0","0","0","0","1","2.0","2.0","99.4%"
"31","Nate Adkins (DEN)","2","2","18","9.0","13","0","0","0","0","0","0","1","1.8","1.8","1.0%"
"32","Pharaoh Brown (MIA)","1","1","17","17.0","17","0","0","0","0","0","0","1","1.7","1.7","0.1%"
"33","Pat Freiermuth (PIT)","3","3","16","5.3","7","0","0","0","0","0","0","1","1.6","1.6","18.8%"
"34","Mo Alie-Cox (IND)","1","2","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","0.6%"
"35","Dalton Kincaid (BUF)","4","7","15","3.8","7","0","0","0","0","0","0","1","1.5","1.5","78.3%"
"36","Mike Gesicki (CIN)","2","2","14","7.0","9","0","0","0","0","0","0","1","1.4","1.4","15.2%"
"37","Jeremy Ruckert (NYJ)","2","2","12","6.0","7","0","0","0","0","0","0","1","1.2","1.2","0.7%"
"38","Zach Ertz (WAS)","1","2","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","43.6%"
"39","Drew Sample (CIN)","1","1","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","0.6%"
"40","Noah Gray (KC)","1","1","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","4.8%"
"41","Tucker Fisk (LAC)","1","1","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","1.0%"
"42","Jordan Akins (FA)","1","2","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","1.0%"
"43","Luke Farrell (SF)","2","3","8","4.0","6","0","0","0","0","0","0","1","0.8","0.8","0.6%"
"44","Hayden Hurst (FA)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","1.3%"
"45","Kyle Pitts Sr. (ATL)","1","2","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","68.2%"
"46","David Martin-Robinson (TEN)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"47","Gerald Everett (FA)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","1.4%"
"48","Durham Smythe (CHI)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.6%"
"49","Adam Trautman (DEN)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.7%"
"50","Daniel Bellinger (NYG)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.6%"
"51","Josiah Deguara (ARI)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"52","Luke Schoonmaker (DAL)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","1.4%"
"53","Connor Heyward (PIT)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"54","Brenton Strange (JAC)","2","4","22","11.0","13","0","0","0","0","0","1","1","0.2","0.2","22.6%"
"55","Quintin Morris (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.4%"
"56","Kylen Granson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"57","John Bates (WAS)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"58","Kenny Yeboah (DET)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"59","Hunter Long (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"60","Charlie Kolar (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"61","Dominique Dafney (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Darnell Washington (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"63","Elijah Arroyo (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.1%"
"64","Luke Lachey (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"65","Jalin Conyers (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"66","Jake Briningstool (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Josh Whyle (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"68","Dalton Keene (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Mitchell Wilcox (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Harrison Bryant (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Colby Parkinson (LAR)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"72","Scotty Washington (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Charlie Woerner (ATL)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"74","Giovanni Ricci (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Sean McKeon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Tyler Mabry (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Donald Parham Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"80","Chris Myarick (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Matt Sokol (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","Brevin Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"84","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","Thomas Fidone II (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"86","Ben Sinnott (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","3.8%"
"87","Cam Grandy (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"88","McCallan Castles (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Tanner McLachlan (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"90","Jared Wiley (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"91","Tip Reiman (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"92","Steven Stilianos (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
