"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jonathan Taylor (IND)","29","218","7.5","70","2","3","0","0","0","0","0","0","1","39.8","39.8","99.2%"
"2","Chuba Hubbard (CAR)","25","152","6.1","28","2","2","4","5","13","3.3","0","0","1","28.5","28.5","96.4%"
"3","Saquon Barkley (PHI)","29","150","5.2","68","1","2","0","1","0","0","0","0","1","27.0","27.0","99.7%"
"4","De'Von Achane (MIA)","17","120","7.1","50","1","1","6","7","70","11.7","0","0","1","25.0","25.0","99.3%"
"5","James Cook (BUF)","11","100","9.1","46","2","1","3","3","26","8.7","1","0","1","24.6","24.6","98.4%"
"6","James Conner (ARI)","15","117","7.8","40","1","1","4","4","49","12.3","0","0","1","22.6","22.6","94.5%"
"7","Bijan Robinson (ATL)","22","94","4.3","14","0","2","2","2","9","4.5","0","0","1","22.3","22.3","99.6%"
"8","Jahmyr Gibbs (DET)","23","109","4.7","12","0","1","4","5","45","11.3","0","0","1","21.4","21.4","99.6%"
"9","Jerome Ford (CLE)","11","92","8.4","66","1","1","5","5","39","7.8","0","0","1","19.1","19.1","40.1%"
"10","Gus Edwards (FA)","14","68","4.9","43","1","2","1","2","3","3.0","0","0","1","19.1","19.1","0.6%"
"11","Kyren Williams (LAR)","23","122","5.3","13","0","1","1","1","7","7.0","0","0","1","18.9","18.9","98.9%"
"12","Derrick Henry (BAL)","24","162","6.8","44","1","0","2","2","27","13.5","0","0","1","18.9","18.9","99.5%"
"13","Tyjae Spears (TEN)","10","27","2.7","11","0","2","3","4","39","13.0","0","0","1","18.6","18.6","54.0%"
"14","Josh Jacobs (GB)","13","69","5.3","20","1","1","4","4","38","9.5","0","0","1","16.7","16.7","99.4%"
"15","Bucky Irving (TB)","16","68","4.3","15","0","1","3","3","24","8.0","0","0","1","15.2","15.2","99.4%"
"16","Ameer Abdullah (FA)","7","38","5.4","10","0","1","5","6","47","9.4","0","0","1","14.5","14.5","0.6%"
"17","Kareem Hunt (KC)","11","55","5.0","20","1","1","2","3","24","12.0","0","0","1","13.9","13.9","16.8%"
"18","Tyrone Tracy Jr. (NYG)","7","26","3.7","5","0","0","4","4","43","10.8","1","0","1","12.9","12.9","85.0%"
"19","Alexander Mattison (MIA)","12","27","2.3","6","0","1","4","7","29","7.3","0","0","1","11.6","11.6","1.3%"
"20","Emanuel Wilson (GB)","11","52","4.7","17","0","1","1","1","4","4.0","0","0","1","11.6","11.6","1.8%"
"21","Rhamondre Stevenson (NE)","12","60","5.0","14","0","1","1","1","13","13.0","0","1","1","11.3","11.3","73.9%"
"22","Chase Brown (CIN)","18","91","5.1","22","2","0","3","3","18","6.0","0","0","1","10.9","10.9","97.9%"
"23","Audric Estime (DEN)","9","48","5.3","9","0","1","0","0","0","0","0","0","1","10.8","10.8","2.6%"
"24","Hassan Haskins (LAC)","0","0","0","0","0","0","2","2","39","19.5","1","0","1","9.9","9.9","1.1%"
"25","Aaron Jones Sr. (MIN)","18","67","3.7","14","0","0","3","5","26","8.7","0","0","1","9.3","9.3","89.7%"
"26","Jaylen Warren (PIT)","12","48","4.0","11","0","0","5","5","44","8.8","0","0","1","9.2","9.2","83.3%"
"27","Tank Bigsby (JAC)","12","50","4.2","10","0","1","1","1","1","1.0","0","1","1","9.1","9.1","64.5%"
