"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Jefferson (MIN)","10","13","144","14.4","39","2","2","0","0","0","0","1","26.4","26.4","99.7%"
"2","Jameson Williams (DET)","5","7","143","28.6","82","2","1","1","7","0","0","1","21.0","21.0","91.6%"
"3","Keenan Allen (LAC)","9","13","141","15.7","45","3","1","0","0","0","0","1","20.1","20.1","47.4%"
"4","Brian Thomas Jr. (JAC)","9","13","132","14.7","62","2","1","0","0","0","0","1","19.2","19.2","99.5%"
"5","Olamide Zaccheaus (CHI)","5","8","70","14.0","49","1","2","0","0","0","0","1","19.0","19.0","1.1%"
"6","Deebo Samuel Sr. (WAS)","7","9","96","13.7","27","1","1","5","25","0","0","1","18.1","18.1","85.1%"
"7","Ja'Marr Chase (CIN)","6","8","97","16.2","32","1","1","1","7","0","0","1","16.4","16.4","99.7%"
"8","Jaxon Smith-Njigba (SEA)","8","12","95","11.9","25","1","1","1","5","0","0","1","16.0","16.0","98.2%"
"9","Tank Dell (HOU)","6","7","98","16.3","30","2","1","0","0","0","0","1","15.8","15.8","3.9%"
"10","A.J. Brown (PHI)","8","15","97","12.1","45","1","1","0","0","0","0","1","15.7","15.7","99.5%"
"11","Kayshon Boutte (NE)","5","7","95","19.0","31","3","1","0","0","0","0","1","15.5","15.5","3.8%"
"12","Calvin Ridley (TEN)","3","5","78","26.0","38","2","1","0","0","0","0","1","13.8","13.8","89.9%"
"13","Jamison Crowder (FA)","2","4","15","7.5","9","0","2","0","0","0","0","1","13.5","13.5","1.0%"
"14","Xavier Worthy (KC)","7","11","65","9.3","19","0","1","3","10","0","0","1","13.5","13.5","95.5%"
"15","Amon-Ra St. Brown (DET)","6","8","70","11.7","28","1","1","0","0","0","0","1","13.0","13.0","99.7%"
"16","Davante Adams (LAR)","7","13","68","9.7","13","0","1","0","0","0","0","1","12.8","12.8","97.3%"
"17","Josh Downs (IND)","3","4","61","20.3","31","2","1","0","0","0","0","1","12.1","12.1","64.8%"
"18","Terry McLaurin (WAS)","5","6","60","12.0","32","1","1","0","0","0","0","1","12.0","12.0","97.1%"
"19","Tee Higgins (CIN)","8","11","58","7.3","21","1","1","0","0","0","0","1","11.8","11.8","99.0%"
"20","Jalen McMillan (TB)","5","7","57","11.4","16","0","1","0","0","0","0","1","11.7","11.7","19.2%"
"21","DK Metcalf (PIT)","3","7","57","19.0","25","2","1","0","0","0","0","1","11.7","11.7","96.5%"
"22","Andrei Iosivas (CIN)","3","3","53","17.7","32","1","1","0","0","0","0","1","11.3","11.3","4.0%"
"23","CeeDee Lamb (DAL)","7","8","105","15.0","52","2","0","0","0","0","0","1","10.5","10.5","99.6%"
"24","Adam Thielen (CAR)","5","6","43","8.6","20","1","1","0","0","0","0","1","10.3","10.3","36.0%"
"25","Zay Flowers (BAL)","5","8","100","20.0","49","1","0","1","3","0","0","1","10.3","10.3","94.6%"
"26","David Moore (CAR)","2","3","39","19.5","21","1","1","1","0","0","0","1","9.9","9.9","0.8%"
"27","Jordan Addison (MIN)","5","8","35","7.0","12","0","1","0","0","0","0","1","9.5","9.5","83.2%"
"28","Tyreek Hill (MIA)","3","7","29","9.7","24","1","1","0","0","0","0","1","8.9","8.9","98.6%"
"29","Derius Davis (LAC)","2","2","31","15.5","19","0","1","1","-3","0","0","1","8.8","8.8","0.6%"
"30","Ladd McConkey (LAC)","6","6","87","14.5","27","2","0","0","0","0","0","1","8.7","8.7","99.2%"
"31","Darnell Mooney (ATL)","5","6","82","16.4","22","1","0","0","0","0","0","1","8.2","8.2","57.0%"
"32","Jayden Reed (GB)","3","4","76","25.3","37","2","0","1","5","0","0","1","8.1","8.1","76.8%"
"33","Devaughn Vele (NO)","2","3","21","10.5","15","0","1","0","0","0","0","1","8.1","8.1","2.3%"
"34","Jalen Tolbert (DAL)","2","3","20","10.0","10","0","1","0","0","0","0","1","8.0","8.0","3.2%"
"35","Ryan Miller (TB)","2","2","17","8.5","13","0","1","0","0","0","0","1","7.7","7.7","1.0%"
"36","Nick Westbrook-Ikhine (MIA)","2","4","17","8.5","11","0","1","0","0","0","0","1","7.7","7.7","2.5%"
"37","Rashod Bateman (BAL)","1","3","14","14.0","14","0","1","0","0","0","0","1","7.4","7.4","33.3%"
"38","Dontayvion Wicks (GB)","3","7","13","4.3","12","0","1","0","0","0","0","1","7.3","7.3","5.3%"
"39","DJ Moore (CHI)","7","10","68","9.7","25","1","0","1","2","0","0","1","7.0","7.0","94.6%"
"40","Mike Evans (TB)","5","8","69","13.8","26","1","0","0","0","0","0","1","6.9","6.9","98.0%"
"41","Malik Nabers (NYG)","7","14","68","9.7","21","1","0","0","0","0","0","1","6.8","6.8","99.6%"
"42","Calvin Austin III (PIT)","4","5","65","16.3","44","1","0","0","0","0","0","1","6.5","6.5","6.8%"
"43","Marvin Mims Jr. (DEN)","3","5","62","20.7","53","1","0","1","3","0","0","1","6.5","6.5","40.4%"
"44","Wan'Dale Robinson (NYG)","7","12","62","8.9","15","0","0","0","0","0","0","1","6.2","6.2","19.3%"
"45","Joshua Palmer (BUF)","3","6","41","13.7","24","1","0","0","0","0","0","1","6.1","6.1","17.6%"
"46","Nico Collins (HOU)","7","10","60","8.6","30","1","0","0","0","0","0","1","6.0","6.0","99.6%"
"47","Drake London (ATL)","5","8","59","11.8","19","0","0","0","0","0","0","1","5.9","5.9","99.2%"
"48","Rome Odunze (CHI)","4","7","77","19.3","30","1","0","0","0","0","1","1","5.7","5.7","87.2%"
"49","Puka Nacua (LAR)","8","9","56","7.0","27","1","0","0","0","0","0","1","5.6","5.6","99.6%"
"50","Parker Washington (JAC)","6","6","54","9.0","17","0","0","0","0","0","0","1","5.4","5.4","1.6%"
"51","Garrett Wilson (NYJ)","6","7","54","9.0","19","0","0","0","0","0","0","1","5.4","5.4","97.7%"
"52","DeVonta Smith (PHI)","6","8","51","8.5","13","0","0","0","0","0","0","1","5.1","5.1","94.0%"
"53","Jauan Jennings (SF)","4","6","51","12.8","17","0","0","0","0","0","0","1","5.1","5.1","80.0%"
"54","Courtland Sutton (DEN)","5","6","50","10.0","18","0","0","0","0","0","0","1","5.0","5.0","93.4%"
"55","Brandin Cooks (NO)","3","3","48","16.0","29","1","0","0","0","0","0","1","4.8","4.8","3.9%"
"56","Marquise Brown (KC)","5","8","45","9.0","20","1","0","0","0","0","0","1","4.5","4.5","30.5%"
"57","Michael Wilson (ARI)","2","5","44","22.0","38","1","0","0","0","0","0","1","4.4","4.4","7.0%"
"58","Jakobi Meyers (LV)","2","5","41","20.5","24","1","0","0","0","0","0","1","4.1","4.1","84.5%"
"59","Ryan Flournoy (DAL)","3","3","41","13.7","26","1","0","0","0","0","0","1","4.1","4.1","0.7%"
"60","Marvin Harrison Jr. (ARI)","4","8","39","9.8","12","0","0","0","0","0","0","1","3.9","3.9","97.5%"
"61","DeMario Douglas (NE)","4","5","33","8.3","13","0","0","1","6","0","0","1","3.9","3.9","17.0%"
"62","Ricky Pearsall (SF)","4","4","37","9.3","21","1","0","0","0","0","0","1","3.7","3.7","80.8%"
"63","DeAndre Hopkins (BAL)","4","4","37","9.3","15","0","0","0","0","0","0","1","3.7","3.7","14.9%"
