"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"55","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"56","Trey Lance (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"57","Dorian Thompson-Robinson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"58","Mac Jones (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"59","Kyle Trask (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"60","Sam Ehlinger (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Ben DiNucci (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"62","Sean Clifford (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"63","Ben Wooldridge (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Tyler Shough (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"65","Will Howard (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.6%"
"66","Shedeur Sanders (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.6%"
"67","Austin Reed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Carter Bradley (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Jack Plummer (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Jason Bean (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","John Rhys Plumlee (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Joe Milton III (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.3%"
"73","Tyson Bagent (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"74","Seth Henigan (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Riley Leonard (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"76","Dresser Winn (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"77","Tommy DeVito (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"78","Taylor Elgersma (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Kurtis Rourke (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"80","Brady Cook (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"81","Cam Miller (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"82","Clayton Tune (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"83","Quinn Ewers (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.1%"
"84","Stetson Bennett IV (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"85","Bailey Zappe (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"86","Garrett Greene (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","Skylar Thompson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.8%"
"88","Kedon Slovis (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Dillon Gabriel (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"90","Jaxson Dart (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.3%"
"91","Graham Mertz (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Malik Willis (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"93","Michael Pratt (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"94","Tanner McKee (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"95","Cam Ward (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35.8%"
"96","Devin Leary (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"97","Payton Thorne (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Jake Haener (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"99","Aidan O'Connell (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"100","Hendon Hooker (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"101","Sam Hartman (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
