"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Derrick Henry (BAL)","24","199","8.3","87","3","1","3","3","10","3.3","1","0","1","32.9","32.9","99.5%"
"2","Kenneth Walker III (SEA)","12","80","6.7","28","3","3","4","5","36","9.0","0","0","1","29.6","29.6","96.5%"
"3","D'Andre Swift (CHI)","16","93","5.8","36","1","1","7","7","72","10.3","0","0","1","22.5","22.5","90.5%"
"4","Jordan Mason (MIN)","24","123","5.1","25","2","1","2","3","37","18.5","0","0","1","22.0","22.0","74.3%"
"5","Chase Brown (CIN)","15","80","5.3","20","1","2","2","3","12","6.0","0","0","1","21.2","21.2","97.9%"
"6","Jahmyr Gibbs (DET)","14","78","5.6","20","1","2","0","0","0","0","0","0","1","19.8","19.8","99.6%"
"7","Jeremy McNichols (WAS)","8","68","8.5","27","1","2","1","1","6","6.0","0","0","1","19.4","19.4","0.7%"
"8","Chuba Hubbard (CAR)","18","104","5.8","38","1","1","4","4","17","4.3","0","0","1","18.1","18.1","96.4%"
"9","Alvin Kamara (NO)","19","77","4.1","15","0","1","7","9","42","6.0","0","0","1","17.9","17.9","96.9%"
"10","James Conner (ARI)","18","104","5.8","20","1","1","1","1","9","9.0","0","0","1","17.3","17.3","94.5%"
"11","Brian Robinson Jr. (WAS)","21","101","4.8","18","0","1","3","3","12","4.0","0","0","1","17.3","17.3","84.9%"
"12","Jonathan Taylor (IND)","21","88","4.2","21","1","1","3","4","20","6.7","0","0","1","16.8","16.8","99.2%"
"13","Tony Pollard (TEN)","22","88","4.0","41","1","1","2","2","20","10.0","0","0","1","16.8","16.8","88.9%"
"14","Kyren Williams (LAR)","19","94","4.9","14","0","1","4","4","10","2.5","0","0","1","16.4","16.4","98.9%"
"15","Justice Hill (BAL)","4","18","4.5","11","0","0","6","6","78","13.0","1","0","1","15.6","15.6","12.4%"
"16","David Montgomery (DET)","12","40","3.3","13","0","1","1","1","40","40.0","0","0","1","14.0","14.0","94.0%"
"17","Aaron Jones Sr. (MIN)","22","93","4.2","17","0","0","4","5","46","11.5","0","0","1","13.9","13.9","89.7%"
"18","Zack Moss (FA)","15","51","3.4","13","0","0","4","4","27","6.8","1","0","1","13.8","13.8","3.4%"
"19","Rico Dowdle (CAR)","11","46","4.2","9","0","0","1","1","15","15.0","1","0","1","12.1","12.1","20.2%"
"20","Saquon Barkley (PHI)","10","84","8.4","59","1","0","2","4","32","16.0","0","0","1","11.6","11.6","99.7%"
"21","Bucky Irving (TB)","10","49","4.9","15","0","1","1","2","6","6.0","0","0","1","11.5","11.5","99.4%"
"22","Dare Ogunbowale (HOU)","2","7","3.5","6","0","0","4","4","47","11.8","1","0","1","11.4","11.4","0.7%"
"23","Tyjae Spears (TEN)","15","39","2.6","9","0","1","2","2","0","0.0","0","0","1","9.9","9.9","54.0%"
"24","Tank Bigsby (JAC)","7","90","12.9","58","2","0","0","0","0","0","0","0","1","9.0","9.0","64.5%"
"25","Roschon Johnson (CHI)","7","26","3.7","8","0","1","0","0","0","0","0","0","1","8.6","8.6","13.6%"
"26","Jerome Ford (CLE)","10","58","5.8","35","1","0","7","7","27","3.9","0","0","1","8.5","8.5","40.1%"
"27","Kareem Hunt (KC)","14","69","4.9","10","0","0","2","3","16","8.0","0","0","1","8.5","8.5","16.8%"
"28","Rachaad White (TB)","10","49","4.9","17","0","0","2","3","35","17.5","0","0","1","8.4","8.4","54.2%"
"29","Javonte Williams (DAL)","16","77","4.8","16","0","0","2","3","3","1.5","0","0","1","8.0","8.0","71.3%"
"30","Tyler Allgeier (ATL)","8","60","7.5","15","0","0","2","2","20","10.0","0","0","1","8.0","8.0","33.2%"
"31","Antonio Gibson (NE)","6","12","2.0","5","0","0","3","4","67","22.3","0","0","1","7.9","7.9","2.4%"
"32","Josh Jacobs (GB)","9","51","5.7","13","0","0","4","6","27","6.8","0","0","1","7.8","7.8","99.4%"
"33","Bijan Robinson (ATL)","7","28","4.0","9","0","0","4","4","46","11.5","0","0","1","7.4","7.4","99.6%"
"34","Samaje Perine (CIN)","5","14","2.8","4","0","1","0","0","0","0","0","0","1","7.4","7.4","2.0%"
"35","Najee Harris (LAC)","13","19","1.5","5","0","0","3","6","54","18.0","0","0","1","7.3","7.3","54.3%"
"36","Ty Johnson (BUF)","1","3","3.0","3","0","1","0","0","0","0","0","0","1","6.3","6.3","2.0%"
"37","Cordarrelle Patterson (FA)","6","43","7.2","12","0","0","2","2","19","9.5","0","0","1","6.2","6.2","0.6%"
"38","J.K. Dobbins (DEN)","14","32","2.3","12","0","0","3","4","30","10.0","0","0","1","6.2","6.2","77.8%"
"39","Alexander Mattison (MIA)","5","60","12.0","24","1","0","0","1","0","0","0","0","1","6.0","6.0","1.3%"
"40","Travis Etienne Jr. (JAC)","11","50","4.5","13","0","0","1","2","10","10.0","0","0","1","6.0","6.0","81.0%"
"41","Patrick Ricard (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","6.0","6.0","0.8%"
"42","Zach Charbonnet (SEA)","2","15","7.5","12","0","0","5","5","39","7.8","0","0","1","5.4","5.4","70.9%"
"43","Cam Akers (NO)","13","53","4.1","15","0","0","0","0","0","0","0","0","1","5.3","5.3","0.7%"
"44","Trey Benson (ARI)","9","50","5.6","13","0","0","0","0","0","0","0","0","1","5.0","5.0","41.1%"
"45","James Cook (BUF)","9","39","4.3","8","0","0","1","1","9","9.0","0","0","1","4.8","4.8","98.4%"
"46","Braelon Allen (NYJ)","8","34","4.3","9","0","0","1","1","12","12.0","0","0","1","4.6","4.6","29.4%"
