"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Nico Collins (HOU)","12","15","151","12.6","26","2","1","0","0","0","0","1","21.1","21.1","99.6%"
"2","Jayden Reed (GB)","7","8","139","19.9","42","3","1","1","2","0","0","1","20.1","20.1","76.8%"
"3","Jordan Addison (MIN)","3","4","72","24.0","29","2","1","1","7","1","0","1","19.9","19.9","83.2%"
"4","Dontayvion Wicks (GB)","5","13","78","15.6","36","1","2","0","0","0","0","1","19.8","19.8","5.3%"
"5","CeeDee Lamb (DAL)","7","8","98","14.0","55","1","1","3","8","0","0","1","16.6","16.6","99.6%"
"6","Brian Thomas Jr. (JAC)","6","9","86","14.3","32","1","1","1","13","0","0","1","15.9","15.9","99.5%"
"7","Mike Evans (TB)","8","14","94","11.8","21","1","1","0","0","0","0","1","15.4","15.4","98.0%"
"8","Amon-Ra St. Brown (DET)","6","6","45","7.5","17","0","1","0","0","0","0","1","14.8","14.8","99.7%"
"9","Ja'Marr Chase (CIN)","3","6","85","28.3","63","1","1","0","0","0","0","1","14.5","14.5","99.7%"
"10","Justin Jefferson (MIN)","6","8","85","14.2","27","1","1","0","0","0","0","1","14.5","14.5","99.7%"
"11","Diontae Johnson (CLE)","7","13","83","11.9","39","2","1","0","0","0","0","1","14.3","14.3","5.6%"
"12","Josh Downs (IND)","8","9","82","10.3","25","1","1","0","0","0","0","1","14.2","14.2","64.8%"
"13","Jameson Williams (DET)","2","2","80","40.0","70","1","1","0","0","0","0","1","14.0","14.0","91.6%"
"14","Xavier Legette (CAR)","6","10","66","11.0","17","0","1","2","10","0","0","1","13.6","13.6","25.9%"
"15","Stefon Diggs (NE)","5","9","69","13.8","28","2","0","1","6","1","0","1","13.5","13.5","85.2%"
"16","Xavier Worthy (KC)","3","4","73","24.3","54","1","1","0","0","0","0","1","13.3","13.3","95.5%"
"17","Ladd McConkey (LAC)","5","7","67","13.4","37","1","1","0","0","0","0","1","12.7","12.7","99.2%"
"18","Christian Kirk (HOU)","7","12","61","8.7","20","1","1","0","0","0","0","1","12.1","12.1","31.0%"
"19","Courtland Sutton (DEN)","3","9","60","20.0","29","2","1","0","0","0","0","1","12.0","12.0","93.4%"
"20","Michael Pittman Jr. (IND)","6","9","113","18.8","32","3","0","0","0","0","0","1","11.3","11.3","68.4%"
"21","Terry McLaurin (WAS)","7","10","52","7.4","15","0","1","0","0","0","0","1","11.2","11.2","97.1%"
"22","Malik Nabers (NYG)","12","15","115","9.6","39","1","0","1","-4","0","0","1","11.1","11.1","99.6%"
"23","Marvin Harrison Jr. (ARI)","5","6","45","9.0","19","0","1","0","0","0","0","1","10.5","10.5","97.5%"
"24","Tre Tucker (LV)","5","6","41","8.2","14","0","0","1","3","1","0","1","10.4","10.4","2.1%"
