"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Rico Dowdle (CAR)","23","206","9.0","53","3","1","4","3","28","9.3","0","0","1","29.4","29.4","67.7%"
"2","Jonathan Taylor (IND)","17","66","3.9","16","0","3","4","3","20","6.7","0","0","1","28.6","28.6","99.6%"
"3","Javonte Williams (DAL)","16","135","8.4","66","1","1","2","1","4","4.0","1","0","1","25.9","25.9","97.5%"
"4","Jacory Croskey-Merritt (WAS)","14","111","7.9","27","1","2","2","2","39","19.5","0","1","1","25.0","25.0","83.8%"
"5","Kyren Williams (LAR)","14","65","4.6","20","1","0","10","8","66","8.3","2","1","1","23.1","23.1","99.4%"
"6","Christian McCaffrey (SF)","22","57","2.6","8","0","0","9","8","82","10.3","1","0","1","19.9","19.9","99.8%"
"7","Rachaad White (TB)","14","41","2.9","12","0","2","4","4","30","7.5","0","0","1","19.1","19.1","74.9%"
"8","Kareem Hunt (KC)","7","49","7.0","33","1","2","1","1","8","8.0","0","0","1","17.7","17.7","49.6%"
"9","David Montgomery (DET)","18","65","3.6","19","0","1","1","1","6","6.0","0","0","1","17.2","17.2","94.5%"
"10","Saquon Barkley (PHI)","6","30","5.0","17","0","0","3","3","58","19.3","1","0","1","14.8","14.8","99.8%"
"11","Jahmyr Gibbs (DET)","12","54","4.5","9","0","0","2","2","33","16.5","1","0","1","14.7","14.7","99.8%"
"12","J.K. Dobbins (DEN)","20","79","4.0","17","0","1","1","1","5","5.0","0","0","1","14.4","14.4","89.0%"
"13","Breece Hall (NYJ)","14","113","8.1","22","2","0","5","4","42","10.5","0","1","1","13.5","13.5","97.4%"
"14","Michael Carter (ARI)","18","51","2.8","7","0","1","5","5","22","4.4","0","0","1","13.3","13.3","17.4%"
"15","Quinshon Judkins (CLE)","23","110","4.8","32","1","0","2","1","18","18.0","0","0","1","12.8","12.8","91.9%"
"16","Rhamondre Stevenson (NE)","7","14","2.0","7","0","2","2","2","13","6.5","0","1","1","12.7","12.7","81.4%"
"17","Nick Chubb (HOU)","11","61","5.5","27","1","1","1","0","0","0","0","0","1","12.1","12.1","59.5%"
"18","Tony Pollard (TEN)","14","67","4.8","14","0","1","3","3","11","3.7","0","1","1","11.8","11.8","86.6%"
"19","Ashton Jeanty (LV)","14","67","4.8","12","0","0","7","5","42","8.4","0","0","1","10.9","10.9","99.2%"
"20","Zach Charbonnet (SEA)","9","36","4.0","8","0","1","2","1","12","12.0","0","0","1","10.8","10.8","77.6%"
"21","De'Von Achane (MIA)","10","16","1.6","6","0","0","7","6","30","5.0","1","0","1","10.6","10.6","99.7%"
"22","Jordan Mason (MIN)","13","52","4.0","14","0","1","4","3","4","1.3","0","1","1","9.6","9.6","78.2%"
"23","Derrick Henry (BAL)","15","33","2.2","7","0","1","1","0","0","0","0","0","1","9.3","9.3","99.7%"
"24","Kenneth Walker III (SEA)","10","86","8.6","31","2","0","1","1","0","0.0","0","0","1","8.6","8.6","95.4%"
"25","Zonovan Knight (ARI)","4","11","2.8","10","0","1","1","1","13","13.0","0","0","1","8.4","8.4","56.3%"
"26","Cam Skattebo (NYG)","15","59","3.9","9","0","0","7","6","45","7.5","0","1","1","8.4","8.4","46.1%"
"27","Omarion Hampton (LAC)","12","44","3.7","8","0","0","6","6","26","4.3","0","0","1","7.0","7.0","91.0%"
"28","Ameer Abdullah (IND)","2","6","3.0","4","0","1","0","0","0","0","0","0","1","6.6","6.6","0.7%"
"29","Emari Demercado (ARI)","3","81","27.0","71","1","0","0","0","0","0","0","1","1","6.1","6.1","5.3%"
"30","Travis Etienne Jr. (JAC)","12","49","4.1","8","0","0","4","3","9","3.0","0","0","1","5.8","5.8","90.4%"
"31","Isiah Pacheco (KC)","7","36","5.1","16","0","0","3","3","20","6.7","0","0","1","5.6","5.6","81.5%"
"32","Alvin Kamara (NO)","8","27","3.4","11","0","0","6","4","28","7.0","0","0","1","5.5","5.5","96.2%"
"33","Cam Akers (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","5.3","5.3","0.7%"
"34","James Cook III (BUF)","15","49","3.3","9","0","0","1","0","0","0","0","0","1","4.9","4.9","99.4%"
"35","Kendre Miller (NO)","10","41","4.1","11","0","0","1","1","8","8.0","0","0","1","4.9","4.9","4.8%"
"36","Chase Brown (CIN)","8","27","3.4","6","0","0","8","7","21","3.0","0","0","1","4.8","4.8","97.8%"
"37","Jerome Ford (CLE)","5","18","3.6","10","0","0","2","2","20","10.0","0","0","1","3.8","3.8","22.8%"
"38","Brashard Smith (KC)","1","4","4.0","4","0","0","3","3","32","10.7","0","0","1","3.6","3.6","22.3%"
"39","Isaiah Davis (NYJ)","1","5","5.0","5","0","0","4","3","28","9.3","0","0","1","3.3","3.3","18.9%"
"40","RJ Harvey (DEN)","4","12","3.0","8","0","0","3","3","18","6.0","0","0","1","3.0","3.0","73.3%"
"41","Trevor Etienne (CAR)","4","22","5.5","12","0","0","1","1","7","7.0","0","0","1","2.9","2.9","1.3%"
"42","Samaje Perine (CIN)","4","27","6.8","10","0","0","2","2","2","1.0","0","0","1","2.9","2.9","10.6%"
"43","TreVeyon Henderson (NE)","6","24","4.0","13","0","0","3","2","3","1.5","0","0","1","2.7","2.7","83.6%"
"44","Antonio Gibson (NE)","6","21","3.5","8","0","0","1","1","5","5.0","0","0","1","2.6","2.6","1.4%"
"45","Woody Marks (HOU)","7","24","3.4","11","0","0","1","0","0","0","0","0","1","2.4","2.4","68.4%"
"46","Devin Singletary (NYG)","6","20","3.3","7","0","0","2","1","4","4.0","0","0","1","2.4","2.4","12.3%"
"47","Raheem Mostert (LV)","7","22","3.1","5","0","0","0","0","0","0","0","0","1","2.2","2.2","1.7%"
"48","DJ Giddens (IND)","5","22","4.4","9","0","0","1","0","0","0","0","0","1","2.2","2.2","2.1%"
"49","Dameon Pierce (HOU)","7","21","3.0","10","0","0","0","0","0","0","0","0","1","2.1","2.1","3.7%"
"50","Kyle Juszczyk (SF)","1","-1","-1.0","0","0","0","4","3","21","7.0","0","0","1","2.0","2.0","0.8%"
"51","Kimani Vidal (LAC)","4","18","4.5","11","0","0","1","1","1","1.0","0","0","1","1.9","1.9","88.6%"
"52","Jeremy McNichols (WAS)","1","6","6.0","6","0","0","2","1","12","12.0","0","0","1","1.8","1.8","3.4%"
"53","Tyler Badie (DEN)","0","0","0","0","0","0","2","1","16","16.0","0","0","1","1.6","1.6","0.7%"
"54","Hassan Haskins (LAC)","5","13","2.6","5","0","0","1","1","2","2.0","0","0","1","1.5","1.5","4.1%"
"55","British Brooks (HOU)","2","15","7.5","9","0","0","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"56","Tyjae Spears (TEN)","4","14","3.5","5","0","0","0","0","0","0","0","0","1","1.4","1.4","47.8%"
"57","Blake Corum (LAR)","1","13","13.0","13","0","0","2","0","0","0","0","0","1","1.3","1.3","9.7%"
"58","Keaton Mitchell (BAL)","3","8","2.7","6","0","0","1","1","5","5.0","0","0","1","1.3","1.3","4.6%"
"59","Justice Hill (BAL)","1","3","3.0","3","0","0","2","1","9","9.0","0","0","1","1.2","1.2","15.1%"
"60","Brian Robinson Jr. (SF)","5","12","2.4","5","0","0","0","0","0","0","0","0","1","1.2","1.2","44.2%"
"61","A.J. Dillon (PHI)","2","12","6.0","9","0","0","0","0","0","0","0","0","1","1.2","1.2","1.3%"
"62","Bhayshul Tuten (JAC)","4","6","1.5","4","0","0","1","1","5","5.0","0","0","1","1.1","1.1","25.5%"
"63","Ty Johnson (BUF)","2","10","5.0","7","0","0","0","0","0","0","0","0","1","1.0","1.0","1.1%"
"64","Hunter Luepke (DAL)","0","0","0","0","0","0","1","1","10","10.0","0","0","1","1.0","1.0","0.6%"
"65","Adam Prentice (DEN)","1","8","8.0","8","0","0","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"66","Jaydon Blue (DAL)","4","7","1.8","6","0","0","0","0","0","0","0","0","1","0.7","0.7","12.1%"
"67","Chris Rodriguez Jr. (WAS)","5","7","1.4","3","0","0","0","0","0","0","0","0","1","0.7","0.7","3.0%"
"68","Will Shipley (PHI)","1","0","0.0","0","0","0","2","1","4","4.0","0","0","1","0.4","0.4","3.3%"
"69","Julius Chestnut (TEN)","1","3","3.0","3","0","0","1","0","0","0","0","0","1","0.3","0.3","1.1%"
"70","Dylan Sampson (CLE)","1","-4","-4.0","0","0","0","2","1","6","6.0","0","0","1","0.2","0.2","15.7%"
