"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"56","Hunter Long (JAC)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.6%"
"57","Zaire Mitchell-Paden (NO)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","1.0%"
"58","Luke Lachey (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"59","Darnell Washington (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"60","Josh Whyle (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"61","Kenny Yeboah (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Quintin Morris (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.4%"
"63","Kylen Granson (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"64","Jalin Conyers (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"65","Brock Bowers (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.0%"
"66","Jake Briningstool (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Josiah Deguara (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Noah Gray (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.3%"
"69","Colby Parkinson (LAR)","1","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"70","Dalton Keene (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Sean McKeon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Charlie Woerner (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Cole Kmet (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.8%"
"75","Donald Parham Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"76","Stephen Carlson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Chris Myarick (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Matt Sokol (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Pat Freiermuth (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.8%"
"83","Brevin Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"84","Kyle Pitts Sr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","77.2%"
"85","Jared Wiley (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
