"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","CeeDee Lamb (DAL)","13","17","146","11.2","29","3","2","0","0","0","0","1","26.6","26.6","99.6%"
"2","Ladd McConkey (LAC)","6","6","111","18.5","60","1","2","0","0","0","0","1","23.1","23.1","99.2%"
"3","Cedric Tillman (CLE)","7","9","99","14.1","38","2","2","0","0","0","0","1","21.9","21.9","25.4%"
"4","Josh Downs (IND)","4","9","109","27.3","69","2","1","0","13","0","0","1","18.2","18.2","64.8%"
"5","Calvin Austin III (PIT)","3","4","54","18.0","29","1","1","0","0","0","0","1","17.4","17.4","6.8%"
"6","Marvin Harrison Jr. (ARI)","6","7","111","18.5","25","3","1","0","0","0","0","1","17.1","17.1","97.5%"
"7","Demarcus Robinson (SF)","2","3","35","17.5","25","1","2","0","0","0","0","1","15.5","15.5","2.1%"
"8","Darnell Mooney (ATL)","4","6","86","21.5","30","3","1","0","0","0","0","1","14.6","14.6","57.0%"
"9","DeVonta Smith (PHI)","6","7","85","14.2","45","1","1","0","0","0","0","1","14.5","14.5","94.0%"
"10","Jalen Coker (CAR)","4","6","78","19.5","29","2","1","0","0","0","0","1","13.8","13.8","6.0%"
"11","Kalif Raymond (DET)","2","2","14","7.0","7","0","1","0","0","0","0","1","13.4","13.4","0.6%"
"12","Noah Brown (WAS)","3","6","73","24.3","52","1","1","0","0","0","0","1","13.3","13.3","1.8%"
"13","Keon Coleman (BUF)","5","7","70","14.0","25","2","1","0","0","0","0","1","13.0","13.0","65.1%"
"14","Calvin Ridley (TEN)","10","15","143","14.3","47","2","0","1","3","0","1","1","12.6","12.6","89.9%"
"15","Terry McLaurin (WAS)","5","8","125","25.0","61","2","0","0","0","0","0","1","12.5","12.5","97.1%"
"16","Brian Thomas Jr. (JAC)","3","4","60","20.0","28","1","1","0","0","0","0","1","12.0","12.0","99.5%"
"17","Justin Jefferson (MIN)","8","9","115","14.4","27","1","0","0","0","0","0","1","11.5","11.5","99.7%"
"18","Zay Flowers (BAL)","7","12","115","16.4","29","4","0","0","0","0","0","1","11.5","11.5","94.6%"
"19","Ja'Marr Chase (CIN)","9","11","54","6.0","13","0","1","0","0","0","0","1","11.4","11.4","99.7%"
"20","Garrett Wilson (NYJ)","5","8","113","22.6","35","4","0","0","0","0","0","1","11.3","11.3","97.7%"
"21","Jakobi Meyers (LV)","6","7","52","8.7","17","0","1","0","0","0","0","1","11.2","11.2","84.5%"
"22","Cooper Kupp (SEA)","5","8","51","10.2","27","1","1","0","0","0","0","1","11.1","11.1","84.6%"
"23","Puka Nacua (LAR)","7","9","106","15.1","21","1","0","2","5","0","0","1","11.1","11.1","99.6%"
"24","Khalil Shakir (BUF)","9","10","107","11.9","35","1","0","1","2","0","0","1","10.9","10.9","78.1%"
"25","Darius Slayton (NYG)","4","7","108","27.0","43","2","0","0","0","0","0","1","10.8","10.8","5.5%"
"26","Chris Olave (NO)","8","14","107","13.4","28","2","0","0","0","0","0","1","10.7","10.7","86.4%"
"27","Nick Westbrook-Ikhine (MIA)","2","4","39","19.5","34","1","1","0","0","0","0","1","9.9","9.9","2.5%"
"28","Xavier Worthy (KC)","4","8","37","9.3","16","0","1","0","0","0","0","1","9.7","9.7","95.5%"
"29","Nelson Agholor (FA)","3","5","36","12.0","14","0","1","0","0","0","0","1","9.6","9.6","1.0%"
"30","Tank Dell (HOU)","4","4","35","8.8","12","0","1","0","0","0","0","1","9.5","9.5","3.9%"
"31","Xavier Legette (CAR)","4","7","34","8.5","23","1","1","1","0","0","0","1","9.4","9.4","25.9%"
"32","DJ Turner (FA)","4","4","28","7.0","11","0","1","1","4","0","0","1","9.2","9.2","1.0%"
"33","Michael Wilson (ARI)","5","6","31","6.2","12","0","1","0","0","0","0","1","9.1","9.1","7.0%"
"34","Courtland Sutton (DEN)","8","11","100","12.5","37","2","0","0","0","0","1","1","9.1","9.1","93.4%"
"35","Deebo Samuel Sr. (WAS)","4","7","71","17.8","47","1","0","4","15","0","0","1","8.6","8.6","85.1%"
"36","Elijah Moore (BUF)","8","12","85","10.6","19","0","0","0","0","0","0","1","8.5","8.5","2.2%"
"37","A.J. Brown (PHI)","5","6","84","16.8","29","2","0","0","0","0","0","1","8.4","8.4","99.5%"
"38","Jerry Jeudy (CLE)","5","8","79","15.8","30","1","0","0","0","0","0","1","7.9","7.9","88.6%"
"39","Ricky Pearsall (SF)","4","4","38","9.5","13","0","0","1","39","0","0","1","7.7","7.7","80.8%"
"40","Stefon Diggs (NE)","5","9","81","16.2","49","1","0","1","-4","0","0","1","7.7","7.7","85.2%"
