"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Drake London (ATL)","10","18","187","18.7","39","5","2","0","0","0","0","1","30.7","30.7","99.2%"
"2","Quentin Johnston (LAC)","13","14","186","14.3","39","3","0","0","0","0","0","1","18.6","18.6","14.4%"
"3","Jakobi Meyers (LV)","9","10","123","13.7","25","4","1","0","0","0","0","1","18.3","18.3","84.5%"
"4","Kayshon Boutte (NE)","7","7","117","16.7","48","2","1","0","0","0","0","1","17.7","17.7","3.8%"
"5","Greg Dortch (ARI)","4","4","47","11.8","23","1","2","1","7","0","0","1","17.4","17.4","1.6%"
"6","Marvin Mims Jr. (DEN)","5","5","51","10.2","32","1","2","0","0","0","0","1","17.1","17.1","40.4%"
"7","Courtland Sutton (DEN)","5","7","98","19.6","47","2","1","0","0","0","0","1","15.8","15.8","93.4%"
"8","Ja'Marr Chase (CIN)","10","14","96","9.6","19","0","1","0","0","0","0","1","15.6","15.6","99.7%"
"9","Davante Adams (LAR)","6","12","88","14.7","30","2","1","0","0","0","0","1","14.8","14.8","97.3%"
"10","Jalen McMillan (TB)","5","6","74","14.8","33","2","1","1","6","0","0","1","14.0","14.0","19.2%"
"11","Rashod Bateman (BAL)","5","8","76","15.2","24","2","1","0","0","0","0","1","13.6","13.6","33.3%"
"12","DJ Moore (CHI)","9","10","86","9.6","32","1","1","1","5","0","1","1","13.1","13.1","94.6%"
"13","Allen Lazard (NYJ)","3","3","71","23.7","43","1","1","0","0","0","0","1","13.1","13.1","1.8%"
"14","Ricky Pearsall (SF)","6","8","69","11.5","30","1","1","0","0","0","0","1","12.9","12.9","80.8%"
"15","Malik Nabers (NYG)","5","8","64","12.8","45","1","1","0","0","0","0","1","12.4","12.4","99.6%"
"16","Marvin Harrison Jr. (ARI)","5","6","63","12.6","20","1","1","0","0","0","0","1","12.3","12.3","97.5%"
"17","Terry McLaurin (WAS)","8","12","62","7.8","13","0","1","0","0","0","0","1","12.2","12.2","97.1%"
"18","Alec Pierce (IND)","2","2","57","28.5","40","1","1","0","0","0","0","1","11.7","11.7","8.8%"
"19","Ladd McConkey (LAC)","5","8","95","19.0","47","1","0","0","0","0","0","1","11.5","11.5","99.2%"
"20","DK Metcalf (PIT)","3","5","53","17.7","22","2","1","0","0","0","0","1","11.3","11.3","96.5%"
"21","Devaughn Vele (NO)","4","4","50","12.5","32","1","1","0","0","0","0","1","11.0","11.0","2.3%"
"22","Tay Martin (WAS)","1","2","49","49.0","49","1","1","0","0","0","0","1","10.9","10.9","0.0%"
"23","Brian Thomas Jr. (JAC)","7","11","103","14.7","41","2","0","0","0","0","0","1","10.3","10.3","99.5%"
"24","Ainias Smith (PHI)","4","6","35","8.8","15","0","1","1","4","0","0","1","9.9","9.9","0.6%"
"25","Jordan Whittington (LAR)","3","4","86","28.7","50","2","0","2","12","0","0","1","9.8","9.8","3.6%"
"26","Nico Collins (HOU)","5","5","38","7.6","14","0","1","0","0","0","0","1","9.8","9.8","99.6%"
"27","Jalen Tolbert (DAL)","4","6","98","24.5","32","3","0","0","0","0","0","1","9.8","9.8","3.2%"
"28","Tyler Johnson (NYJ)","4","7","35","8.8","20","1","1","0","0","0","0","1","9.5","9.5","1.1%"
"29","Josh Downs (IND)","10","13","94","9.4","18","0","0","0","0","0","0","1","9.4","9.4","64.8%"
"30","Jahan Dotson (PHI)","7","11","94","13.4","19","0","0","0","0","0","0","1","9.4","9.4","1.9%"
"31","Mike Evans (TB)","9","14","89","9.9","14","0","0","0","0","0","0","1","8.9","8.9","98.0%"
"32","Amon-Ra St. Brown (DET)","6","7","77","12.8","23","1","0","0","0","0","0","1","7.7","7.7","99.7%"
"33","Dante Pettis (NO)","2","6","16","8.0","11","0","1","0","0","0","0","1","7.6","7.6","1.0%"
"34","Parker Washington (JAC)","2","4","15","7.5","9","0","1","0","0","0","0","1","7.5","7.5","1.6%"
"35","Calvin Ridley (TEN)","3","5","76","25.3","39","2","0","2","-3","0","0","1","7.3","7.3","89.9%"
"36","Michael Pittman Jr. (IND)","6","10","72","12.0","26","1","0","0","0","0","0","1","7.2","7.2","68.4%"
"37","Demarcus Robinson (SF)","3","6","72","24.0","31","2","0","0","0","0","0","1","7.2","7.2","2.1%"
"38","Jalen Coker (CAR)","7","7","62","8.9","14","0","0","0","0","0","0","1","7.0","7.0","6.0%"
"39","David Moore (CAR)","1","3","9","9.0","9","0","1","0","0","0","0","1","6.9","6.9","0.8%"
"40","DJ Chark Jr. (FA)","1","3","6","6.0","6","0","1","0","0","0","0","1","6.6","6.6","0.7%"
"41","Ray-Ray McCloud III (ATL)","4","7","66","16.5","42","1","0","0","0","0","0","1","6.6","6.6","2.6%"
"42","Jake Bobo (SEA)","1","1","4","4.0","4","0","1","0","0","0","0","1","6.4","6.4","0.9%"
"43","Jerry Jeudy (CLE)","6","13","63","10.5","30","1","0","0","0","0","0","1","6.3","6.3","88.6%"
