"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Pat Freiermuth (PIT)","8","11","85","10.6","19","0","1","0","0","0","0","1","14.5","14.5","18.8%"
"2","Trey McBride (ARI)","7","11","65","9.3","28","1","1","0","0","0","0","1","12.5","12.5","99.4%"
"3","Noah Fant (CIN)","5","6","63","12.6","32","1","1","0","0","0","0","1","12.3","12.3","4.2%"
"4","Jordan Akins (FA)","6","8","60","10.0","21","1","1","0","0","0","0","1","12.0","12.0","1.0%"
"5","Mark Andrews (BAL)","4","8","54","13.5","30","1","1","1","0","0","0","1","11.4","11.4","94.8%"
"6","Brock Bowers (LV)","4","9","50","12.5","21","1","1","0","0","0","0","1","11.0","11.0","99.6%"
"7","Tyler Higbee (LAR)","5","7","46","9.2","17","0","1","0","0","0","0","1","10.6","10.6","6.4%"
"8","Zach Ertz (WAS)","5","5","44","8.8","11","0","1","0","0","0","0","1","10.4","10.4","43.6%"
"9","Will Dissly (LAC)","5","6","42","8.4","15","0","1","0","0","0","0","1","10.2","10.2","2.2%"
"10","Jonnu Smith (PIT)","9","12","56","6.2","15","0","1","0","0","0","1","1","9.6","9.6","54.3%"
"11","AJ Barner (SEA)","5","5","34","6.8","10","0","1","0","0","0","0","1","9.4","9.4","2.6%"
"12","Tommy Tremble (CAR)","2","3","30","15.0","18","0","1","0","0","0","0","1","9.0","9.0","0.6%"
"13","Juwan Johnson (NO)","6","7","80","13.3","26","1","0","0","0","0","0","1","8.0","8.0","6.2%"
"14","Tyler Conklin (LAC)","2","3","16","8.0","11","0","1","0","0","0","0","1","7.6","7.6","3.5%"
"15","Payne Durham (TB)","2","2","16","8.0","10","0","1","0","0","0","0","1","7.6","7.6","0.6%"
"16","Mike Gesicki (CIN)","8","10","68","8.5","16","0","0","0","0","0","0","1","6.8","6.8","15.2%"
"17","E.J. Jenkins (PHI)","1","1","7","7.0","7","0","1","0","0","0","0","1","6.7","6.7","1.0%"
"18","Sam LaPorta (DET)","7","7","63","9.0","17","0","0","0","0","0","0","1","6.3","6.3","98.7%"
"19","Brenton Strange (JAC)","4","4","60","15.0","26","1","0","0","0","0","0","1","6.0","6.0","22.6%"
"20","Dallas Goedert (PHI)","4","6","55","13.8","17","0","0","0","0","0","0","1","5.5","5.5","77.1%"
"21","Josh Whyle (TEN)","5","7","29","5.8","9","0","0","0","0","0","0","1","4.9","4.9","0.6%"
"22","Isaiah Likely (BAL)","3","5","38","12.7","19","0","0","0","0","0","0","1","3.8","3.8","27.6%"
"23","Devin Culp (TB)","2","2","36","18.0","20","1","0","0","0","0","0","1","3.6","3.6","1.2%"
"24","Tucker Kraft (GB)","4","7","36","9.0","20","1","0","0","0","0","0","1","3.6","3.6","83.6%"
"25","Ja'Tavion Sanders (CAR)","3","5","35","11.7","28","1","0","0","0","0","0","1","3.5","3.5","6.8%"
"26","Foster Moreau (NO)","4","4","31","7.8","11","0","0","0","0","0","0","1","3.1","3.1","0.7%"
"27","Dalton Schultz (HOU)","3","3","29","9.7","13","0","0","0","0","0","0","1","2.9","2.9","9.8%"
"28","George Kittle (SF)","2","3","27","13.5","21","1","0","0","0","0","0","1","2.7","2.7","99.4%"
"29","Austin Hooper (NE)","4","6","27","6.8","14","0","0","0","0","0","0","1","2.7","2.7","1.5%"
"30","Nick Vannett (MIN)","2","2","26","13.0","17","0","0","0","0","0","0","1","2.6","2.6","0.0%"
"31","Peyton Hendershot (FA)","2","2","25","12.5","15","0","0","0","0","0","0","1","2.5","2.5","0.0%"
"32","Nate Adkins (DEN)","3","3","25","8.3","12","0","0","0","0","0","0","1","2.5","2.5","1.0%"
"33","Michael Mayer (LV)","4","4","21","5.3","11","0","0","0","0","0","0","1","2.1","2.1","3.2%"
"34","Drew Ogletree (IND)","1","1","21","21.0","21","1","0","0","0","0","0","1","2.1","2.1","1.1%"
