"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jahmyr Gibbs (DET)","23","139","6.0","47","2","3","5","5","31","6.2","1","0","1","41.0","41.0","99.6%"
"2","Bijan Robinson (ATL)","28","170","6.1","20","1","2","2","5","3","1.5","0","0","1","29.3","29.3","99.6%"
"3","Derrick Henry (BAL)","20","138","6.9","43","3","2","2","3","23","11.5","0","0","1","28.1","28.1","99.5%"
"4","Jonathan Taylor (IND)","34","177","5.2","17","0","1","1","2","3","3.0","0","0","1","24.0","24.0","99.2%"
"5","Dameon Pierce (HOU)","19","176","9.3","92","1","1","0","2","0","0","0","0","1","23.6","23.6","3.5%"
"6","Miles Sanders (DAL)","17","66","3.9","11","0","1","3","4","50","16.7","1","0","1","23.6","23.6","6.4%"
"7","De'Von Achane (MIA)","11","121","11.0","61","2","1","0","0","0","0","0","0","1","18.1","18.1","99.3%"
"8","Breece Hall (NYJ)","12","57","4.8","17","0","0","3","5","15","5.0","1","0","1","15.2","15.2","96.5%"
"9","Rico Dowdle (CAR)","22","72","3.3","10","0","1","2","3","12","6.0","0","0","1","14.4","14.4","20.2%"
"10","Bucky Irving (TB)","19","89","4.7","25","1","1","2","5","-5","-2.5","0","0","1","14.4","14.4","99.4%"
"11","Emanuel Wilson (GB)","14","73","5.2","21","1","1","1","1","-2","-2.0","0","0","1","13.1","13.1","1.8%"
"12","D'Andre Swift (CHI)","20","65","3.3","14","0","1","0","2","0","0","0","0","1","12.5","12.5","90.5%"
"13","Ray Davis (BUF)","15","64","4.3","23","1","0","2","3","1","0.5","1","0","1","12.5","12.5","30.9%"
"14","Patrick Taylor Jr. (SF)","17","109","6.4","29","1","0","1","4","12","12.0","0","0","1","12.1","12.1","0.7%"
"15","Michael Carter (ARI)","17","43","2.5","9","0","1","4","4","16","4.0","0","0","1","11.9","11.9","1.1%"
"16","Najee Harris (LAC)","12","36","3.0","11","0","1","4","5","20","5.0","0","0","1","11.6","11.6","54.3%"
"17","Tony Jones Jr. (FA)","4","55","13.8","46","1","1","0","0","0","0","0","0","1","11.5","11.5","0.0%"
"18","Kyle Juszczyk (SF)","0","0","0","0","0","0","2","3","49","24.5","1","0","1","10.9","10.9","0.9%"
"19","Josh Jacobs (GB)","6","44","7.3","12","0","1","1","1","2","2.0","0","0","1","10.6","10.6","99.4%"
"20","Tank Bigsby (JAC)","14","39","2.8","11","0","1","1","1","3","3.0","0","0","1","10.2","10.2","64.5%"
"21","Audric Estime (DEN)","12","34","2.8","6","0","1","0","0","0","0","0","0","1","9.4","9.4","2.6%"
"22","Hassan Haskins (LAC)","12","33","2.8","12","0","1","0","0","0","0","0","0","1","9.3","9.3","1.1%"
"23","Zach Charbonnet (SEA)","14","59","4.2","12","0","0","0","0","32","0","0","0","1","9.1","9.1","70.9%"
"24","James Cook (BUF)","10","28","2.8","7","0","1","0","0","0","0","0","0","1","8.8","8.8","98.4%"
"25","Khalil Herbert (IND)","20","69","3.5","8","0","0","7","8","14","2.0","0","0","1","8.3","8.3","1.8%"
"26","Ronnie Rivers (LAR)","12","48","4.0","9","0","0","4","5","34","8.5","0","0","1","8.2","8.2","1.1%"
"27","Javonte Williams (DAL)","5","28","5.6","10","0","0","3","4","50","16.7","0","0","1","7.8","7.8","71.3%"
"28","J.K. Dobbins (DEN)","18","63","3.5","10","0","0","3","3","12","4.0","0","0","1","7.5","7.5","77.8%"
"29","Aaron Jones Sr. (MIN)","10","45","4.5","8","0","0","5","6","30","6.0","0","0","1","7.5","7.5","89.7%"
"30","Cam Akers (NO)","6","65","10.8","58","1","0","2","2","4","2.0","0","0","1","6.9","6.9","0.7%"
"31","Tyler Allgeier (ATL)","9","52","5.8","17","0","0","2","2","17","8.5","0","0","1","6.9","6.9","33.2%"
"32","Will Shipley (PHI)","10","32","3.2","7","0","0","4","4","35","8.8","0","0","1","6.7","6.7","11.3%"
"33","Tyrone Tracy Jr. (NYG)","14","59","4.2","16","0","0","2","2","7","3.5","0","0","1","6.6","6.6","85.0%"
"34","Tony Pollard (TEN)","22","62","2.8","11","0","0","0","0","0","0","0","0","1","6.2","6.2","88.9%"
"35","Antonio Gibson (NE)","12","41","3.4","15","0","0","4","6","20","5.0","0","0","1","6.1","6.1","2.4%"
"36","Travis Etienne Jr. (JAC)","13","31","2.4","11","0","0","3","5","29","9.7","0","0","1","6.0","6.0","81.0%"
"37","Chris Brooks (GB)","8","59","7.4","23","1","0","0","1","0","0","0","0","1","5.9","5.9","0.8%"
"38","Kenny McIntosh (SEA)","7","49","7.0","12","0","0","0","1","0","0","0","0","1","4.9","4.9","0.6%"
"39","Jaleel McLaughlin (DEN)","16","39","2.4","9","0","0","2","2","9","4.5","0","0","1","4.8","4.8","3.9%"
"40","Raheem Blackshear (CAR)","4","47","11.8","26","1","0","0","0","0","0","0","0","1","4.7","4.7","0.8%"
"41","Isaiah Davis (NYJ)","4","41","10.3","20","1","0","0","0","0","0","0","0","1","4.1","4.1","2.0%"
"42","Clyde Edwards-Helaire (NO)","8","26","3.3","12","0","0","1","1","14","14.0","0","0","1","4.0","4.0","0.9%"
"43","Jacob Kibodi (FA)","5","24","4.8","17","0","0","1","3","15","15.0","0","0","1","3.9","3.9","0.0%"
"44","Craig Reynolds (DET)","8","39","4.9","17","0","0","0","2","0","0","0","0","1","3.9","3.9","0.7%"
"45","Deuce Vaughn (DAL)","6","37","6.2","12","0","0","0","0","0","0","0","0","1","3.7","3.7","0.6%"
"46","D'Onta Foreman (FA)","10","27","2.7","8","0","0","1","1","8","8.0","0","0","1","3.5","3.5","2.7%"
"47","Austin Ekeler (WAS)","3","12","4.0","7","0","0","2","2","20","10.0","0","0","1","3.2","3.2","54.3%"
"48","Alexander Mattison (MIA)","6","20","3.3","11","0","0","4","5","11","2.8","0","0","1","3.1","3.1","1.3%"
"49","Joe Mixon (HOU)","5","23","4.6","10","0","0","1","1","5","5.0","0","0","1","2.8","2.8","89.9%"
"50","Carson Steele (KC)","8","25","3.1","5","0","0","2","2","2","1.0","0","0","1","2.7","2.7","0.6%"
"51","DeeJay Dallas (ARI)","1","22","22.0","22","1","0","1","1","5","5.0","0","0","1","2.7","2.7","0.1%"
"52","D'Ernest Johnson (BAL)","2","26","13.0","22","1","0","1","2","0","0.0","0","0","1","2.6","2.6","1.0%"
"53","Jordan Mims (TEN)","2","12","6.0","6","0","0","3","3","13","4.3","0","0","1","2.5","2.5","0.0%"
"54","Dare Ogunbowale (HOU)","2","-3","-1.5","0","0","0","2","3","26","13.0","0","0","1","2.3","2.3","0.7%"
"55","Braelon Allen (NYJ)","4","15","3.8","8","0","0","2","3","8","4.0","0","0","1","2.3","2.3","29.4%"
"56","Kenneth Gainwell (PIT)","11","14","1.3","5","0","0","2","4","9","4.5","0","0","1","2.3","2.3","1.5%"
"57","Blake Corum (LAR)","2","10","5.0","5","0","0","1","1","12","12.0","0","0","1","2.2","2.2","13.1%"
"58","Jamaal Williams (FA)","8","15","1.9","6","0","0","1","1","7","7.0","0","0","1","2.2","2.2","1.1%"
"59","Jaylen Warren (PIT)","6","21","3.5","9","0","0","0","1","0","0","0","0","1","2.1","2.1","83.3%"
"60","Alec Ingold (MIA)","0","0","0","0","0","0","2","2","21","10.5","0","0","1","2.1","2.1","0.6%"
"61","Terrell Jennings (NE)","8","20","2.5","7","0","0","0","1","0","0","0","0","1","2.0","2.0","0.0%"
"62","Roschon Johnson (CHI)","2","3","1.5","7","0","0","5","5","16","3.2","0","0","1","1.9","1.9","13.6%"
"63","Devin Singletary (NYG)","7","22","3.1","5","0","0","1","1","-5","-5.0","0","0","1","1.7","1.7","2.4%"
"64","Brian Robinson Jr. (WAS)","5","10","2.0","6","0","0","1","1","6","6.0","0","0","1","1.6","1.6","84.9%"
"65","Mike Boone (MIA)","4","18","4.5","7","0","0","1","1","-2","-2.0","0","0","1","1.6","1.6","1.0%"
"66","Sean Tucker (TB)","2","16","8.0","14","0","0","0","0","0","0","0","0","1","1.6","1.6","5.1%"
"67","Hunter Luepke (DAL)","3","15","5.0","10","0","0","0","0","0","0","0","0","1","1.5","1.5","0.7%"
"68","Patrick Ricard (BAL)","0","0","0","0","0","0","1","1","14","14.0","0","0","1","1.4","1.4","0.8%"
"69","Samaje Perine (CIN)","1","1","1.0","1","0","0","1","1","13","13.0","0","0","1","1.4","1.4","2.0%"
"70","Ty Johnson (BUF)","2","13","6.5","13","0","0","1","2","0","0.0","0","0","1","1.3","1.3","2.0%"
"71","Julius Chestnut (TEN)","2","11","5.5","8","0","0","0","0","0","0","0","0","1","1.1","1.1","1.1%"
"72","Keaton Mitchell (BAL)","4","10","2.5","4","0","0","0","0","0","0","0","0","1","1.0","1.0","7.5%"
"73","Eric Gray (NYG)","1","6","6.0","6","0","0","1","1","4","4.0","0","0","1","1.0","1.0","0.6%"
"74","Cody Schrader (LAR)","1","3","3.0","3","0","0","1","1","6","6.0","0","0","1","0.9","0.9","1.0%"
"75","Isaac Guerendo (SF)","2","5","2.5","3","0","0","0","0","0","0","0","0","1","0.5","0.5","34.0%"
"76","Tyler Goodson (IND)","0","0","0","0","0","0","1","2","5","5.0","0","0","1","0.5","0.5","0.7%"
"77","Trey Sermon (PIT)","0","0","0","0","0","0","1","3","5","5.0","0","0","1","0.5","0.5","0.6%"
"78","Reggie Gilliam (BUF)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"79","Michael Burton (DEN)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","0.1%"
"80","Chris Collier (LV)","2","6","3.0","4","0","0","1","2","-4","-4.0","0","0","1","0.2","0.2","0.0%"
"81","Joshua Kelley (FA)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"82","Cordarrelle Patterson (FA)","1","1","1.0","1","0","0","0","0","0","0","0","0","1","0.1","0.1","0.6%"
"83","Keilan Robinson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Jase McClellan (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"85","Elijah Mitchell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.2%"
"86","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","Rhamondre Stevenson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73.9%"
"88","Chuba Hubbard (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.4%"
"89","JaMycal Hasty (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"90","Deon Jackson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Zamir White (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"92","Jermar Jefferson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"93","Jonathan Ward (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"94","Ke'Shawn Vaughn (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","A.J. Dillon (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4%"
"96","Ty Chandler (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"97","Salvon Ahmed (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Darrynton Evans (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Demetric Felton Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"100","George Holani (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"101","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Ashton Jeanty (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.4%"
"103","Ollie Gordon II (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.2%"
"104","Rasheen Ali (BAL)","0","0","0","0","0","0","0","2","0","0","0","0","1","0.0","0.0","0.6%"
