"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Bryce Young (CAR)","25","34","73.5","251","7.4","3","0","0","5","24","2","0","1","36.4","36.4","26.6%"
"2","Bo Nix (DEN)","26","29","89.7","321","11.1","4","0","0","7","47","0","0","1","33.5","33.5","93.5%"
"3","Justin Herbert (LAC)","28","36","77.8","346","9.6","2","0","1","4","42","0","0","1","28.0","28.0","84.6%"
"4","Kyler Murray (ARI)","25","35","71.4","242","6.9","4","0","0","3","22","0","0","1","27.9","27.9","88.8%"
"5","Geno Smith (LV)","20","27","74.1","223","8.3","4","0","2","2","14","0","0","1","26.3","26.3","18.3%"
"6","Aaron Rodgers (PIT)","23","36","63.9","274","7.6","4","1","3","0","0","0","0","1","26.0","26.0","15.4%"
"7","Marcus Mariota (WAS)","15","18","83.3","161","8.9","2","0","2","5","56","1","0","1","26.0","26.0","0.9%"
"8","Michael Penix Jr. (ATL)","21","38","55.3","312","8.2","2","1","1","1","5","1","0","1","26.0","26.0","29.1%"
"9","Joshua Dobbs (NE)","29","43","67.4","326","7.6","2","2","2","8","17","1","1","1","24.7","24.7","1.0%"
"10","Lamar Jackson (BAL)","16","32","50.0","217","6.8","2","0","0","9","63","0","0","1","23.0","23.0","99.6%"
"11","Baker Mayfield (TB)","21","32","65.6","221","6.9","2","1","1","9","68","0","0","1","22.6","22.6","95.5%"
"12","Jimmy Garoppolo (LAR)","27","41","65.9","334","8.1","2","1","3","2","5","0","0","1","20.9","20.9","1.9%"
"13","Joe Milton III (DAL)","22","29","75.9","241","8.3","1","0","0","10","16","1","1","1","19.2","19.2","3.3%"
"14","Tanner McKee (PHI)","27","41","65.9","269","6.6","2","0","2","3","1","0","0","1","18.9","18.9","0.9%"
"15","Aidan O'Connell (LV)","24","34","70.6","214","6.3","2","1","0","4","13","0","0","1","16.9","16.9","1.0%"
"16","Spencer Rattler (NO)","26","42","61.9","240","5.7","1","0","2","1","11","0","0","1","14.7","14.7","3.9%"
"17","Joe Flacco (CLE)","23","40","57.5","264","6.6","1","0","3","0","0","0","0","1","14.6","14.6","6.5%"
"18","Joe Burrow (CIN)","37","46","80.4","277","6.0","1","1","4","1","-1","0","0","1","14.0","14.0","99.4%"
