"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jonathan Taylor (IND)","17","102","6.0","46","1","3","4","3","16","5.3","0","0","1","29.8","29.8","99.6%"
"2","David Montgomery (DET)","12","151","12.6","72","2","2","1","1","13","13.0","0","0","1","28.4","28.4","94.5%"
"3","Jordan Mason (MIN)","16","116","7.3","24","1","2","0","0","0","0","0","0","1","23.6","23.6","78.2%"
"4","Jahmyr Gibbs (DET)","22","67","3.0","9","0","2","6","5","32","6.4","0","0","1","21.9","21.9","99.8%"
"5","Omarion Hampton (LAC)","19","70","3.7","11","0","1","7","6","59","9.8","0","0","1","18.9","18.9","91.0%"
"6","Cam Skattebo (NYG)","10","60","6.0","13","0","1","8","6","61","10.2","0","0","1","18.1","18.1","46.1%"
"7","James Cook III (BUF)","19","108","5.7","26","1","1","3","3","10","3.3","0","0","1","17.8","17.8","99.4%"
"8","Kyren Williams (LAR)","20","94","4.7","13","0","0","3","2","18","9.0","1","0","1","17.2","17.2","99.4%"
"9","Kenneth Walker III (SEA)","16","38","2.4","10","0","2","1","1","12","12.0","0","0","1","17.0","17.0","95.4%"
"10","Quinshon Judkins (CLE)","18","94","5.2","38","1","1","2","1","1","1.0","0","0","1","15.5","15.5","91.9%"
"11","J.K. Dobbins (DEN)","11","83","7.5","41","1","1","2","1","0","0.0","0","0","1","14.3","14.3","89.0%"
"12","Christian McCaffrey (SF)","17","52","3.1","15","0","0","15","10","88","8.8","0","0","1","14.0","14.0","99.8%"
"13","Jeremy McNichols (WAS)","4","78","19.5","60","1","1","0","0","0","0","0","0","1","13.8","13.8","3.4%"
"14","Tony Pollard (TEN)","16","45","2.8","10","0","1","4","2","14","7.0","0","0","1","11.9","11.9","86.6%"
"15","Travis Etienne Jr. (JAC)","16","56","3.5","10","0","1","2","0","0","0","0","0","1","11.6","11.6","90.4%"
"16","Bijan Robinson (ATL)","13","72","5.5","17","0","0","6","5","39","7.8","0","0","1","11.1","11.1","99.8%"
"17","Kareem Hunt (KC)","10","34","3.4","6","0","1","1","1","10","10.0","0","0","1","10.4","10.4","49.6%"
"18","Bucky Irving (TB)","25","66","2.6","16","0","0","4","4","33","8.3","0","0","1","9.9","9.9","96.6%"
"19","Rico Dowdle (CAR)","10","30","3.0","8","0","1","1","1","8","8.0","0","0","1","9.8","9.8","67.7%"
"20","Ollie Gordon II (MIA)","9","38","4.2","16","0","1","0","0","0","0","0","0","1","9.8","9.8","14.0%"
"21","Derrick Henry (BAL)","12","50","4.2","28","1","1","1","1","7","7.0","0","1","1","9.7","9.7","99.7%"
"22","Jacory Croskey-Merritt (WAS)","8","26","3.3","9","0","1","1","1","5","5.0","0","0","1","9.1","9.1","83.8%"
"23","De'Von Achane (MIA)","12","62","5.2","14","0","0","9","7","29","4.1","0","0","1","9.1","9.1","99.7%"
"24","Kenneth Gainwell (PIT)","4","16","4.0","13","0","1","1","1","10","10.0","0","0","1","8.6","8.6","43.1%"
"25","Bhayshul Tuten (JAC)","6","21","3.5","6","0","1","1","0","0","0","0","0","1","8.1","8.1","25.5%"
"26","Jaylen Warren (PIT)","18","47","2.6","11","0","0","6","5","34","6.8","0","0","1","8.1","8.1","91.5%"
"27","D'Andre Swift (CHI)","13","33","2.5","11","0","0","4","3","45","15.0","0","0","1","7.8","7.8","93.8%"
"28","Chuba Hubbard (CAR)","17","73","4.3","8","0","0","3","2","3","1.5","0","0","1","7.6","7.6","86.6%"
"29","Josh Jacobs (GB)","16","30","1.9","7","0","0","9","5","44","8.8","0","0","1","7.4","7.4","99.7%"
"30","Javonte Williams (DAL)","10","76","7.6","22","1","0","5","5","16","3.2","0","1","1","7.2","7.2","97.5%"
"31","Ashton Jeanty (LV)","17","63","3.7","18","0","0","0","0","0","0","0","0","1","6.3","6.3","99.2%"
"32","Kyle Juszczyk (SF)","0","0","0","0","0","0","1","1","1","1.0","1","0","1","6.1","6.1","0.8%"
"33","Alvin Kamara (NO)","18","42","2.3","8","0","0","2","1","14","14.0","0","0","1","5.6","5.6","96.2%"
"34","Saquon Barkley (PHI)","18","46","2.6","12","0","0","5","4","9","2.3","0","0","1","5.5","5.5","99.8%"
"35","Miles Sanders (DAL)","9","41","4.6","8","0","0","3","3","12","4.0","0","0","1","5.3","5.3","1.8%"
"36","Blake Corum (LAR)","8","53","6.6","12","0","0","0","0","0","0","0","0","1","5.3","5.3","9.7%"
