"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tre Tucker (LV)","9","8","145","18.1","61","1","3","1","4","0","0","1","32.9","32.9","43.3%"
"2","Courtland Sutton (DEN)","8","6","118","19.7","52","2","1","0","0","0","0","1","17.8","17.8","95.4%"
"3","A.J. Brown (PHI)","10","6","109","18.2","38","3","1","0","0","0","0","1","16.9","16.9","98.4%"
"4","Luther Burden III (CHI)","3","3","101","33.7","65","2","1","1","7","0","0","1","16.8","16.8","9.6%"
"5","Jaxon Smith-Njigba (SEA)","6","5","96","19.2","45","2","1","0","0","0","0","1","15.6","15.6","99.5%"
"6","Tory Horton (SEA)","4","3","32","10.7","14","0","1","0","0","0","0","1","15.2","15.2","8.7%"
"7","Nico Collins (HOU)","11","8","104","13.0","50","1","1","0","0","0","1","1","14.4","14.4","99.0%"
"8","Garrett Wilson (NYJ)","13","10","84","8.4","17","0","1","0","0","0","0","1","14.4","14.4","95.8%"
"9","Amon-Ra St. Brown (DET)","8","7","77","11.0","20","1","1","0","0","0","0","1","13.7","13.7","99.6%"
"10","Michael Pittman Jr. (IND)","6","6","73","12.2","20","1","1","0","0","0","0","1","13.3","13.3","87.6%"
"11","Tyquan Thornton (KC)","9","5","71","14.2","33","2","1","0","0","0","0","1","13.1","13.1","2.8%"
"12","George Pickens (DAL)","9","5","68","13.6","24","2","1","0","0","0","0","1","12.8","12.8","97.3%"
"13","Keenan Allen (LAC)","11","7","65","9.3","20","1","1","0","0","0","0","1","12.5","12.5","89.7%"
"14","Rashod Bateman (BAL)","7","5","63","12.6","20","1","1","0","0","0","0","1","12.3","12.3","17.8%"
"15","Rome Odunze (CHI)","7","3","62","20.7","35","1","1","0","0","0","0","1","12.2","12.2","95.0%"
"16","DeVonta Smith (PHI)","9","8","60","7.5","16","0","1","0","0","0","0","1","12.0","12.0","95.2%"
"17","Puka Nacua (LAR)","15","11","112","10.2","20","1","0","1","6","0","0","1","11.8","11.8","99.8%"
"18","Ricky Pearsall (SF)","11","8","117","14.6","34","2","0","0","0","0","0","1","11.7","11.7","73.6%"
"19","Luke McCaffrey (WAS)","3","3","56","18.7","43","1","1","0","0","0","0","1","11.6","11.6","6.6%"
"20","Davante Adams (LAR)","8","3","56","18.7","44","1","1","0","0","0","0","1","11.6","11.6","98.5%"
"21","Tyreek Hill (MIA)","10","5","49","9.8","19","0","1","0","0","0","0","1","10.9","10.9","50.2%"
"22","Khalil Shakir (BUF)","4","4","45","11.3","15","0","1","0","0","0","0","1","10.5","10.5","81.9%"
"23","Jaylen Waddle (MIA)","6","5","39","7.8","15","0","1","0","0","0","0","1","9.9","9.9","95.0%"
"24","Elic Ayomanor (TEN)","5","4","38","9.5","11","0","1","0","0","0","0","1","9.8","9.8","28.0%"
"25","Calvin Austin III (PIT)","5","3","34","11.3","17","0","1","0","0","0","0","1","9.4","9.4","10.3%"
"26","Mike Evans (TB)","8","4","33","8.3","14","0","1","0","0","0","0","1","9.3","9.3","73.2%"
"27","DK Metcalf (PIT)","4","3","32","10.7","15","0","1","0","0","0","0","1","9.2","9.2","97.8%"
"28","Quentin Johnston (LAC)","10","6","89","14.8","37","2","0","0","0","0","0","1","8.9","8.9","62.1%"
"29","DJ Moore (CHI)","5","4","21","5.3","12","0","1","3","7","0","0","1","8.8","8.8","85.1%"
"30","Emeka Egbuka (TB)","8","6","85","14.2","30","2","0","0","0","0","0","1","8.5","8.5","97.3%"
"31","Sterling Shepard (TB)","5","4","80","20.0","24","3","0","0","0","0","0","1","8.0","8.0","5.7%"
"32","Justin Jefferson (MIN)","7","5","75","15.0","36","1","0","0","0","0","0","1","7.5","7.5","99.8%"
"33","Terry McLaurin (WAS)","4","3","74","24.7","56","1","0","0","0","0","0","1","7.4","7.4","92.3%"
"34","Allen Lazard (NYJ)","3","2","13","6.5","9","0","1","0","0","0","0","1","7.3","7.3","0.7%"
"35","KaVontae Turpin (DAL)","3","2","64","32.0","37","2","0","1","4","0","0","1","6.8","6.8","4.5%"
"36","Alec Pierce (IND)","5","4","67","16.8","19","0","0","0","0","0","0","1","6.7","6.7","16.7%"
"37","Jakobi Meyers (JAC)","4","3","63","21.0","45","1","0","0","0","0","0","1","6.3","6.3","82.5%"
"38","Matthew Golden (GB)","4","4","52","13.0","34","1","0","3","9","0","0","1","6.1","6.1","62.9%"
"39","Jaylin Lane (WAS)","2","1","-2","-2.0","0","0","0","0","0","0","0","1","5.8","5.8","1.1%"
"40","Chris Olave (NO)","14","10","57","5.7","9","0","0","0","0","0","0","1","5.7","5.7","92.5%"
"41","JuJu Smith-Schuster (KC)","4","4","55","13.8","27","1","0","0","0","0","0","1","5.5","5.5","2.8%"
"42","Brian Thomas Jr. (JAC)","6","2","55","27.5","46","1","0","0","0","0","0","1","5.5","5.5","95.5%"
"43","Drake London (ATL)","8","5","55","11.0","18","0","0","0","0","0","0","1","5.5","5.5","99.4%"
"44","Tetairoa McMillan (CAR)","8","3","48","16.0","23","2","0","0","0","0","0","1","4.8","4.8","94.7%"
"45","Marvin Harrison Jr. (ARI)","6","3","44","14.7","32","1","0","0","0","0","0","1","4.4","4.4","95.2%"
"46","Darnell Mooney (ATL)","11","4","44","11.0","21","1","0","0","0","0","0","1","4.4","4.4","47.6%"
"47","Jalen Tolbert (DAL)","6","3","24","8.0","12","0","0","0","0","0","0","1","4.4","4.4","1.9%"
"48","Jameson Williams (DET)","3","2","43","21.5","24","1","0","0","0","0","0","1","4.3","4.3","86.5%"
"49","Marquise Brown (KC)","6","4","42","10.5","17","0","0","0","0","0","0","1","4.2","4.2","32.8%"
"50","Rashid Shaheed (SEA)","6","4","42","10.5","15","0","0","0","0","0","0","1","4.2","4.2","76.2%"
"51","Elijah Moore (BUF)","3","2","30","15.0","30","1","0","1","11","0","0","1","4.1","4.1","0.7%"
"52","Ladd McConkey (LAC)","7","4","41","10.3","14","0","0","0","0","0","0","1","4.1","4.1","98.1%"
"53","Ja'Marr Chase (CIN)","6","5","50","10.0","28","1","0","1","9","0","1","1","3.9","3.9","99.6%"
"54","Kendrick Bourne (SF)","6","4","38","9.5","11","0","0","0","0","0","0","1","3.8","3.8","15.5%"
"55","Jalen Nailor (MIN)","5","3","37","12.3","22","1","0","0","0","0","0","1","3.7","3.7","2.1%"
"56","Tyler Lockett (LV)","4","4","37","9.3","16","0","0","0","0","0","0","1","3.7","3.7","2.4%"
"57","Olamide Zaccheaus (CHI)","4","3","24","8.0","11","0","0","1","12","0","0","1","3.6","3.6","1.4%"
"58","Devontez Walker (BAL)","1","1","34","34.0","34","1","0","0","0","0","0","1","3.4","3.4","0.6%"
"59","Josh Downs (IND)","3","2","34","17.0","29","1","0","0","0","0","0","1","3.4","3.4","62.3%"
"60","Parker Washington (JAC)","11","4","34","8.5","16","0","0","0","0","0","0","1","3.4","3.4","8.1%"
"61","Malik Washington (MIA)","5","3","12","4.0","5","0","0","2","20","0","0","1","3.2","3.2","19.6%"
"62","Tyler Johnson (NYJ)","3","2","32","16.0","20","1","0","0","0","0","0","1","3.2","3.2","0.6%"
"63","Cooper Kupp (SEA)","3","2","31","15.5","23","1","0","0","0","0","0","1","3.1","3.1","70.5%"
"64","Darius Slayton (NYG)","4","4","30","7.5","14","0","0","0","0","0","0","1","3.0","3.0","25.9%"
"65","Dont'e Thornton Jr. (LV)","4","2","29","14.5","20","1","0","0","0","0","0","1","2.9","2.9","2.8%"
"66","Deebo Samuel Sr. (WAS)","3","2","11","5.5","9","0","0","3","18","0","0","1","2.9","2.9","92.3%"
"67","Kayshon Boutte (NE)","3","2","28","14.0","20","1","0","0","0","0","0","1","2.8","2.8","32.6%"
"68","Mack Hollins (NE)","4","4","27","6.8","11","0","0","0","0","0","0","1","2.7","2.7","1.1%"
"69","Calvin Ridley (TEN)","7","1","27","27.0","27","1","0","0","0","0","0","1","2.7","2.7","57.6%"
"70","Wan'Dale Robinson (NYG)","4","1","26","26.0","26","1","0","0","0","0","0","1","2.6","2.6","60.6%"
"71","Cedric Tillman (CLE)","3","3","26","8.7","10","0","0","0","0","0","0","1","2.6","2.6","13.6%"
"72","Zay Jones (ARI)","3","2","25","12.5","18","0","0","0","0","0","0","1","2.5","2.5","0.7%"
"73","Christian Kirk (HOU)","8","3","25","8.3","13","0","0","0","0","0","0","1","2.5","2.5","26.8%"
"74","Chris Moore (WAS)","2","2","25","12.5","13","0","0","0","0","0","0","1","2.5","2.5","1.6%"
"75","Romeo Doubs (GB)","2","2","25","12.5","16","0","0","0","0","0","0","1","2.5","2.5","55.8%"
"76","Tyrell Shavers (BUF)","2","2","24","12.0","17","0","0","0","0","0","0","1","2.4","2.4","0.1%"
"77","Brandin Cooks (NO)","5","3","24","8.0","12","0","0","0","0","0","0","1","2.4","2.4","2.2%"
"78","Stefon Diggs (NE)","3","3","23","7.7","11","0","0","0","0","0","0","1","2.3","2.3","91.1%"
"79","Dontayvion Wicks (GB)","4","2","21","10.5","16","0","0","0","0","0","0","1","2.1","2.1","2.8%"
"80","Ryan Flournoy (DAL)","3","2","21","10.5","11","0","0","0","0","0","0","1","2.1","2.1","1.2%"
"81","Travis Hunter (JAC)","2","1","21","21.0","21","1","0","0","0","0","0","1","2.1","2.1","86.4%"
"82","Ray-Ray McCloud III (NYG)","5","2","20","10.0","12","0","0","0","0","0","0","1","2.0","2.0","1.2%"
"83","Keon Coleman (BUF)","4","3","20","6.7","8","0","0","0","0","0","0","1","2.0","2.0","59.2%"
"84","Jerry Jeudy (CLE)","5","1","17","17.0","17","0","0","0","0","0","0","1","1.7","1.7","70.6%"
"85","Xavier Hutchinson (HOU)","3","3","16","5.3","6","0","0","0","0","0","0","1","1.6","1.6","3.5%"
"86","Tim Patrick (JAC)","1","1","16","16.0","16","0","0","0","0","0","0","1","1.6","1.6","1.1%"
"87","Isaiah Bond (CLE)","4","2","16","8.0","17","0","0","0","0","0","0","1","1.6","1.6","2.0%"
"88","Brycen Tremayne (CAR)","2","2","15","7.5","8","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"89","Tee Higgins (CIN)","2","1","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","97.7%"
"90","Jordan Whittington (LAR)","3","2","7","3.5","9","0","0","2","7","0","0","1","1.4","1.4","2.7%"
"91","DeAndre Hopkins (BAL)","2","1","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","5.5%"
"92","Zay Flowers (BAL)","3","2","13","6.5","7","0","0","0","0","0","0","1","1.3","1.3","96.1%"
"93","Malik Nabers (NYG)","7","2","13","6.5","9","0","0","0","0","0","0","1","1.3","1.3","33.4%"
"94","Dareke Young (SEA)","1","1","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"95","Nikko Remigio (KC)","0","0","0","0","0","0","0","1","11","0","0","1","1.1","1.1","0.6%"
"96","Skyy Moore (SF)","1","1","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","1.9%"
"97","Jack Bech (LV)","1","1","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","3.0%"
"98","Tai Felton (MIN)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.6%"
"99","Marquez Valdes-Scantling (PIT)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.7%"
"100","David Sills V (ATL)","2","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"101","John Metchie III (NYJ)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.8%"
"102","Troy Franklin (DEN)","4","2","8","4.0","7","0","0","0","0","0","0","1","0.8","0.8","51.4%"
"103","Greg Dortch (ARI)","2","2","3","1.5","2","0","0","1","5","0","0","1","0.8","0.8","0.8%"
"104","Kyle Williams (NE)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","2.9%"
"105","Van Jefferson (TEN)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.8%"
"106","Jamari Thrash (CLE)","3","2","7","3.5","4","0","0","0","0","0","0","1","0.7","0.7","0.6%"
"107","Jahan Dotson (PHI)","3","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","1.1%"
"108","Dyami Brown (JAC)","3","2","7","3.5","6","0","0","0","0","0","0","1","0.7","0.7","3.6%"
"109","DeMario Douglas (NE)","5","2","7","3.5","8","0","0","0","0","0","0","1","0.7","0.7","11.4%"
"110","Hunter Renfrow (CAR)","4","2","6","3.0","5","0","0","0","0","0","0","1","0.6","0.6","1.1%"
"111","Jayden Higgins (HOU)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","19.3%"
"112","Chimere Dike (TEN)","4","3","2","0.7","8","0","0","2","3","0","0","1","0.5","0.5","30.3%"
"113","David Moore (CAR)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.8%"
"114","Michael Wilson (ARI)","2","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","4.3%"
"115","Joshua Palmer (BUF)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","6.4%"
"116","Kalif Raymond (DET)","2","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.6%"
"117","Jaylin Noel (HOU)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","7.2%"
"118","Marvin Mims Jr. (DEN)","4","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","33.5%"
"119","Arian Smith (NYJ)","2","2","2","1.0","6","0","0","0","0","0","0","1","0.2","0.2","0.7%"
"120","Jonathan Mingo (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"121","Kevin Austin Jr. (NO)","1","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"122","Jayden Reed (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36.6%"
"123","Chris Tyree (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Xavier Worthy (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92.8%"
"125","Malik Cunningham (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"126","Jermaine Burton (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"127","Cornelius Johnson (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"128","Ronnie Bell (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","AJ Henning (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Jalen McMillan (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.4%"
"131","Simi Fehoko (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"132","Terrace Marshall Jr. (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"133","Ainias Smith (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"134","Jordan Addison (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","87.7%"
"135","Rashee Rice (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.8%"
"136","Treylon Burks (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"137","Ja'Corey Brooks (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"138","Traeshon Holden (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Beaux Collins (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"140","Dee Eskridge (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"141","Chris Blair (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Ben Skowronek (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"143","Cody White (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","Quez Watkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Mason Kinsey (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Nick Westbrook-Ikhine (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"147","Rondale Moore (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"148","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Jauan Jennings (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","77.8%"
"150","Tylan Wallace (BAL)","1","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"151","Kristian Wilkerson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"152","D.J. Montgomery (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"153","Alex Bachman (LV)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"154","Devin Duvernay (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"155","James Proche II (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Isaiah Hodgins (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Quintez Cephus (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","Gabe Davis (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"159","Brandon Aiyuk (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46.6%"
"160","Tom Kennedy (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Gunner Olszewski (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"162","CeeDee Lamb (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","99.8%"
"163","Andre Baccellia (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Ihmir Smith-Marsette (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"165","Dan Chisena (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Tutu Atwell (LAR)","1","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.5%"
"167","Seth Williams (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Mason Tipton (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.3%"
"169","JaQuae Jackson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Bryce Oliver (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Kameron Johnson (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"172","Devaughn Vele (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"173","Tejhaun Palmer (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Casey Washington (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"175","Jeshaun Jones (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","Dee Williams (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"177","John Jiles (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","Dayton Wade (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Dominic Lovett (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"180","Isaiah Neyor (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"181","Malachi Corley (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"182","Bub Means (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"183","Joshua Cephus (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","Isaiah Williams (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"185","John Rhys Plumlee (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Tahj Washington (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"187","Jalen Coker (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"188","Anthony Gould (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"189","Xavier Legette (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.0%"
"190","Roman Wilson (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.8%"
"191","Ja'Lynn Polk (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"192","Brenden Rice (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"193","Tre Harris (LAC)","1","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","5.1%"
"194","Jackson Meeks (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"195","Chandler Brayboy (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Quentin Skinner (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Jakobie Keeney-James (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"198","Dontae Fleming (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"199","Ke'Shawn Williams (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"200","Tru Edwards (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"201","Brennan Presley (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"202","Dalen Cambre (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"203","JP Richardson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"204","Hal Presley III (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"205","Jordan Moore (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"206","Stephen Gosnell (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"207","Courtney Jackson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"208","Coleman Owen (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
