"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Mark Andrews (BAL)","6","6","91","15.2","27","1","2","0","0","0","0","1","21.1","21.1","78.0%"
"2","Hunter Henry (NE)","11","8","90","11.3","18","0","2","0","0","0","0","1","21.0","21.0","61.7%"
"3","Dalton Kincaid (BUF)","6","5","66","13.2","20","1","1","0","0","0","0","1","12.6","12.6","78.2%"
"4","T.J. Hockenson (MIN)","6","5","49","9.8","13","0","1","0","0","0","0","1","10.9","10.9","85.9%"
"5","Trey McBride (ARI)","8","5","43","8.6","17","0","1","0","0","0","0","1","10.3","10.3","99.7%"
"6","Dallas Goedert (PHI)","2","1","33","33.0","33","1","1","0","0","0","0","1","9.3","9.3","87.7%"
"7","Jake Ferguson (DAL)","14","13","82","6.3","12","0","0","0","0","0","0","1","8.2","8.2","88.3%"
"8","Jack Stoll (NO)","3","2","21","10.5","13","0","1","0","0","0","0","1","8.1","8.1","0.0%"
"9","Drew Sample (CIN)","3","2","20","10.0","16","0","1","0","0","0","0","1","8.0","8.0","1.0%"
"10","Josh Oliver (MIN)","1","1","12","12.0","12","0","1","0","0","0","0","1","7.2","7.2","0.7%"
"11","John FitzPatrick (GB)","2","2","12","6.0","9","0","1","0","0","0","0","1","7.2","7.2","0.0%"
"12","Cole Kmet (CHI)","1","1","10","10.0","10","0","1","0","0","0","0","1","7.0","7.0","3.8%"
"13","Chig Okonkwo (TEN)","6","5","66","13.2","22","1","0","0","0","0","0","1","6.6","6.6","17.3%"
"14","Jackson Hawes (BUF)","1","1","5","5.0","5","0","1","0","0","0","0","1","6.5","6.5","0.6%"
"15","Brenton Strange (JAC)","7","6","61","10.2","16","0","0","0","0","0","0","1","6.1","6.1","18.4%"
"16","Brock Bowers (LV)","5","4","38","9.5","18","0","0","0","0","0","0","1","5.8","5.8","97.0%"
"17","Juwan Johnson (NO)","8","6","51","8.5","21","1","0","0","0","0","0","1","5.1","5.1","25.2%"
"18","Oronde Gadsden II (LAC)","7","5","46","9.2","17","0","0","0","0","0","0","1","4.6","4.6","82.5%"
"19","David Njoku (CLE)","7","5","40","8.0","13","0","0","0","0","0","0","1","4.0","4.0","71.2%"
"20","Dalton Schultz (HOU)","6","5","39","7.8","12","0","0","0","0","0","0","1","3.9","3.9","25.3%"
"21","Kyle Pitts Sr. (ATL)","6","4","39","9.8","17","0","0","0","0","0","0","1","3.9","3.9","77.2%"
"22","Tyler Warren (IND)","5","3","38","12.7","17","0","0","0","0","0","0","1","3.8","3.8","97.6%"
"23","Zach Ertz (WAS)","3","3","38","12.7","19","0","0","0","0","0","0","1","3.8","3.8","69.8%"
"24","Sam LaPorta (DET)","4","4","33","8.3","14","0","0","0","0","0","0","1","3.3","3.3","98.0%"
"25","Colston Loveland (CHI)","3","1","31","31.0","31","1","0","0","0","0","0","1","3.1","3.1","24.6%"
"26","Tucker Kraft (GB)","4","3","29","9.7","18","0","0","0","0","0","0","1","2.9","2.9","90.6%"
"27","Austin Hooper (NE)","3","2","28","14.0","16","0","0","0","0","0","0","1","2.8","2.8","0.6%"
"28","Gunnar Helm (TEN)","3","3","27","9.0","11","0","0","0","0","0","0","1","2.7","2.7","1.2%"
"29","Travis Kelce (KC)","7","4","26","6.5","13","0","0","0","0","0","0","1","2.6","2.6","97.2%"
"30","Harold Fannin Jr. (CLE)","4","3","25","8.3","13","0","0","0","0","0","0","1","2.5","2.5","51.9%"
"31","Jonnu Smith (PIT)","3","3","23","7.7","21","1","0","0","0","0","0","1","2.3","2.3","35.9%"
"32","AJ Barner (SEA)","1","1","23","23.0","23","1","0","0","0","0","0","1","2.3","2.3","15.4%"
"33","Charlie Kolar (BAL)","3","2","22","11.0","15","0","0","0","0","0","0","1","2.2","2.2","0.1%"
"34","Jake Tonges (SF)","3","2","21","10.5","11","0","0","0","0","0","0","1","2.1","2.1","2.8%"
"35","Mason Taylor (NYJ)","6","4","18","4.5","10","0","0","0","0","0","0","1","1.8","1.8","19.5%"
"36","Noah Gray (KC)","6","3","17","5.7","10","0","0","0","0","0","0","1","1.7","1.7","1.3%"
"37","Tommy Tremble (CAR)","2","2","16","8.0","12","0","0","0","0","0","0","1","1.6","1.6","0.7%"
"38","Tanner Conner (MIA)","2","1","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","0.6%"
"39","Hunter Long (JAC)","3","2","12","6.0","7","0","0","0","0","0","0","1","1.2","1.2","0.6%"
"40","Eric Saubert (SEA)","1","1","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","1.8%"
"41","Ja'Tavion Sanders (CAR)","2","2","11","5.5","7","0","0","0","0","0","0","1","1.1","1.1","2.1%"
"42","Theo Johnson (NYG)","2","1","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","29.2%"
"43","Mitchell Evans (CAR)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.6%"
"44","Lucas Krull (DEN)","2","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","1.8%"
"45","Tip Reiman (ARI)","3","2","8","4.0","6","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"46","Chris Manhertz (NYG)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"47","Elijah Higgins (ARI)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.6%"
"48","Johnny Mundt (JAC)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"49","Mike Gesicki (CIN)","3","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","2.5%"
"50","Pat Freiermuth (PIT)","3","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","8.8%"
"51","Cam Grandy (CIN)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"52","Daniel Bellinger (NYG)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.6%"
"53","Noah Fant (CIN)","5","5","26","5.2","10","0","0","0","0","0","1","1","0.6","0.6","4.2%"
"54","Luke Schoonmaker (DAL)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.7%"
"55","Julian Hill (MIA)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.6%"
"56","Davis Allen (LAR)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.6%"
"57","John Bates (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"58","Quintin Morris (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"59","Kenny Yeboah (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Kylen Granson (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"61","Jake Briningstool (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Luke Lachey (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"63","Darnell Washington (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"64","Josh Whyle (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"65","Jalin Conyers (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"66","Adam Trautman (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"67","Luke Farrell (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"68","Josiah Deguara (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Harrison Bryant (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"70","Colby Parkinson (LAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"71","Dalton Keene (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Sean McKeon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Donald Parham Jr. (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"75","Stephen Carlson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Andrew Beck (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"77","Chris Myarick (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"80","Matt Sokol (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Brevin Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
