"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Saquon Barkley (PHI)","24","109","4.5","34","1","2","2","2","23","11.5","1","0","1","31.2","31.2","99.7%"
"2","Joe Mixon (HOU)","30","159","5.3","13","0","1","3","3","19","6.3","0","0","1","23.8","23.8","89.9%"
"3","Jordan Mason (MIN)","28","147","5.3","24","1","1","1","1","5","5.0","0","0","1","21.2","21.2","74.3%"
"4","J.K. Dobbins (DEN)","10","135","13.5","61","2","1","3","3","4","1.3","0","0","1","19.9","19.9","77.8%"
"5","Rhamondre Stevenson (NE)","25","120","4.8","17","0","1","3","3","6","2.0","0","0","1","18.6","18.6","73.9%"
"6","Alvin Kamara (NO)","15","83","5.5","17","0","1","5","5","27","5.4","0","0","1","17.0","17.0","96.9%"
"7","Kenneth Walker III (SEA)","20","103","5.2","23","1","1","2","3","6","3.0","0","0","1","16.9","16.9","96.5%"
"8","Aaron Jones Sr. (MIN)","14","94","6.7","19","0","1","2","2","15","7.5","0","0","1","16.9","16.9","89.7%"
"9","James Conner (ARI)","16","50","3.1","20","1","1","3","4","33","11.0","0","0","1","16.3","16.3","94.5%"
"10","De'Von Achane (MIA)","10","24","2.4","9","0","1","7","7","76","10.9","0","0","1","16.0","16.0","99.3%"
"11","Tony Pollard (TEN)","16","82","5.1","26","1","1","3","4","12","4.0","0","0","1","15.4","15.4","88.9%"
"12","David Montgomery (DET)","17","91","5.4","21","1","1","1","1","2","2.0","0","0","1","15.3","15.3","94.0%"
"13","Brian Robinson Jr. (WAS)","12","40","3.3","7","0","1","3","4","49","16.3","0","0","1","14.9","14.9","84.9%"
"14","Isiah Pacheco (KC)","15","45","3.0","5","0","1","2","3","33","16.5","0","0","1","13.8","13.8","91.6%"
"15","Jahmyr Gibbs (DET)","11","40","3.6","8","0","1","4","6","34","8.5","0","0","1","13.4","13.4","99.6%"
