"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Josh Allen (BUF)","18","23","78.3","232","10.1","2","0","2","9","39","2","1","1","31.2","31.2","99.7%"
"2","Baker Mayfield (TB)","24","30","80.0","289","9.6","4","0","1","3","21","0","0","1","29.7","29.7","95.5%"
"3","Jayden Daniels (WAS)","17","24","70.8","184","7.7","0","0","2","16","88","2","0","1","28.2","28.2","99.6%"
"4","Anthony Richardson Sr. (IND)","9","19","47.4","212","11.2","2","1","2","6","56","1","0","1","27.1","27.1","16.1%"
"5","Lamar Jackson (BAL)","26","41","63.4","273","6.7","1","0","1","16","122","0","1","1","25.1","25.1","99.6%"
"6","Derek Carr (FA)","19","23","82.6","200","8.7","3","0","1","2","13","0","0","1","21.3","21.3","1.1%"
"7","Geno Smith (LV)","18","25","72.0","171","6.8","1","1","2","4","30","1","0","1","18.8","18.8","18.3%"
"8","C.J. Stroud (HOU)","24","32","75.0","234","7.3","2","0","4","4","13","0","0","1","18.7","18.7","69.5%"
"9","Tua Tagovailoa (MIA)","23","37","62.2","338","9.1","1","0","3","1","11","0","0","1","18.6","18.6","28.9%"
"10","Jalen Hurts (PHI)","20","34","58.8","278","8.2","2","2","2","13","33","0","1","1","18.4","18.4","99.4%"
"11","Jordan Love (GB)","17","34","50.0","260","7.6","2","1","1","0","0","0","0","1","17.4","17.4","69.0%"
"12","Matthew Stafford (LAR)","34","49","69.4","317","6.5","1","1","2","0","0","0","0","1","15.7","15.7","28.7%"
"13","Sam Darnold (SEA)","19","24","79.2","208","8.7","2","1","1","3","3","0","0","1","15.6","15.6","17.8%"
"14","Patrick Mahomes II (KC)","20","28","71.4","291","10.4","1","1","2","2","3","0","0","1","15.1","15.1","97.6%"
"15","Kyler Murray (ARI)","21","31","67.7","162","5.2","1","0","4","5","57","0","1","1","14.2","14.2","88.8%"
"16","Bo Nix (DEN)","26","42","61.9","138","3.3","0","2","2","5","35","1","0","1","13.0","13.0","93.5%"
"17","Deshaun Watson (CLE)","24","45","53.3","169","3.8","1","2","6","5","39","0","0","1","12.7","12.7","1.1%"
"18","Jared Goff (DET)","18","28","64.3","217","7.8","1","1","2","1","7","0","0","1","12.4","12.4","81.5%"
"19","Justin Fields (NYJ)","17","23","73.9","156","6.8","0","0","2","14","57","0","0","1","11.9","11.9","74.9%"
"20","Gardner Minshew II (KC)","25","33","75.8","257","7.8","1","1","4","3","5","0","1","1","11.8","11.8","1.2%"
"21","Bryce Young (CAR)","13","30","43.3","161","5.4","0","2","4","4","12","1","0","1","11.6","11.6","26.6%"
"22","Dak Prescott (DAL)","19","32","59.4","179","5.6","1","0","3","1","3","0","0","1","11.5","11.5","81.6%"
"23","Trevor Lawrence (JAC)","12","21","57.1","162","7.7","1","0","3","1","8","0","0","1","11.3","11.3","41.6%"
"24","Justin Herbert (LAC)","17","26","65.4","144","5.5","1","0","1","4","6","0","0","1","10.4","10.4","84.6%"
"25","Brock Purdy (SF)","19","29","65.5","231","8.0","0","0","2","1","11","0","0","1","10.3","10.3","88.3%"
"26","Aaron Rodgers (PIT)","13","21","61.9","167","8.0","1","1","1","1","-1","0","0","1","9.6","9.6","15.4%"
"27","Will Levis (TEN)","19","32","59.4","127","4.0","1","2","3","4","36","0","1","1","8.7","8.7","1.2%"
"28","Kirk Cousins (ATL)","16","26","61.5","155","6.0","1","2","2","1","0","0","0","1","8.2","8.2","4.1%"
"29","Joe Burrow (CIN)","21","29","72.4","164","5.7","0","0","3","4","15","0","0","1","8.1","8.1","99.4%"
"30","Jacoby Brissett (ARI)","15","24","62.5","121","5.0","0","0","1","7","32","0","0","1","8.0","8.0","0.6%"
"31","Caleb Williams (CHI)","14","29","48.3","93","3.2","0","0","2","5","15","0","0","1","7.2","7.2","75.6%"
"32","Daniel Jones (IND)","22","42","52.4","186","4.4","0","2","5","6","15","0","0","1","6.9","6.9","7.7%"
"33","Tyrod Taylor (NYJ)","6","8","75.0","36","4.5","1","0","0","1","7","0","0","1","6.1","6.1","1.0%"
"34","Davis Mills (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"35","Jalen Milroe (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.5%"
"36","Kenny Pickett (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.6%"
"37","Zach Wilson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"38","Sam Howell (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"39","Drake Maye (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","71.0%"
"40","Kyle McCord (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"41","Spencer Rattler (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.9%"
"42","Tyler Shough (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"43","Adrian Martinez (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"44","DJ Uiagalelei (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"45","Emory Jones (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"46","J.J. McCarthy (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65.7%"
