"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Isaiah Likely (BAL)","9","12","111","12.3","49","1","1","0","0","0","0","1","17.1","17.1","27.6%"
"2","Foster Moreau (NO)","4","4","43","10.8","22","1","1","0","0","0","0","1","10.3","10.3","0.7%"
"3","Juwan Johnson (NO)","2","3","26","13.0","16","0","1","0","0","0","0","1","8.6","8.6","6.2%"
"4","Kyle Pitts Sr. (ATL)","3","3","26","8.7","12","0","1","0","0","0","0","1","8.6","8.6","68.2%"
"5","Chig Okonkwo (TEN)","2","2","15","7.5","17","0","1","0","0","0","0","1","7.5","7.5","19.0%"
"6","Brock Bowers (LV)","6","8","58","9.7","26","1","0","0","0","0","0","1","5.8","5.8","99.6%"
"7","Colby Parkinson (LAR)","4","5","47","11.8","20","1","0","0","0","0","0","1","4.7","4.7","0.6%"
"8","Sam LaPorta (DET)","4","5","45","11.3","18","0","0","0","0","0","0","1","4.5","4.5","98.7%"
"9","David Njoku (CLE)","4","5","44","11.0","29","1","0","0","0","0","0","1","4.4","4.4","91.8%"
"10","George Kittle (SF)","4","5","40","10.0","26","1","0","0","0","0","0","1","4.0","4.0","99.4%"
"11","Noah Gray (KC)","3","3","37","12.3","13","0","0","0","0","0","0","1","3.7","3.7","4.8%"
"12","Tucker Kraft (GB)","2","3","37","18.5","29","1","0","0","0","0","0","1","3.7","3.7","83.6%"
"13","Taysom Hill (NO)","1","2","1","1.0","1","0","0","5","35","0","0","1","3.6","3.6","4.7%"
"14","Travis Kelce (KC)","3","4","34","11.3","23","1","0","0","0","0","0","1","3.4","3.4","97.0%"
"15","Hayden Hurst (FA)","2","3","33","16.5","27","1","0","0","0","0","0","1","3.3","3.3","1.3%"
"16","Dallas Goedert (PHI)","4","5","31","7.8","21","1","0","0","0","0","0","1","3.1","3.1","77.1%"
"17","Austin Hooper (NE)","2","4","31","15.5","16","0","0","0","0","0","0","1","3.1","3.1","1.5%"
"18","Trey McBride (ARI)","5","9","30","6.0","8","0","0","0","0","0","0","1","3.0","3.0","99.4%"
"19","Zach Ertz (WAS)","3","4","28","9.3","12","0","0","0","0","0","0","1","2.8","2.8","43.6%"
"20","Josh Oliver (MIN)","2","2","27","13.5","22","1","0","0","0","0","0","1","2.7","2.7","0.7%"
"21","Jordan Akins (FA)","3","4","27","9.0","13","0","0","0","0","0","0","1","2.7","2.7","1.0%"
"22","Pat Freiermuth (PIT)","4","4","27","6.8","10","0","0","0","0","0","0","1","2.7","2.7","18.8%"
"23","Dawson Knox (BUF)","1","2","23","23.0","23","1","0","0","0","0","0","1","2.3","2.3","2.1%"
"24","Mike Gesicki (CIN)","3","4","18","6.0","7","0","0","0","0","0","0","1","1.8","1.8","15.2%"
"25","Theo Johnson (NYG)","1","4","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","6.6%"
"26","Hunter Henry (NE)","2","3","18","9.0","9","0","0","0","0","0","0","1","1.8","1.8","45.3%"
"27","Dalton Schultz (HOU)","3","3","16","5.3","7","0","0","0","0","0","0","1","1.6","1.6","9.8%"
"28","Johnny Mundt (JAC)","2","3","15","7.5","9","0","0","0","0","0","0","1","1.5","1.5","0.1%"
"29","Jake Ferguson (DAL)","3","5","15","5.0","7","0","0","0","0","0","0","1","1.5","1.5","69.2%"
"30","Mark Andrews (BAL)","2","2","14","7.0","11","0","0","0","0","0","0","1","1.4","1.4","94.8%"
"31","Will Dissly (LAC)","1","1","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","2.2%"
"32","Greg Dulcich (NYG)","2","3","12","6.0","7","0","0","0","0","0","0","1","1.2","1.2","5.8%"
"33","Elijah Higgins (ARI)","2","2","12","6.0","7","0","0","0","0","0","0","1","1.2","1.2","0.6%"
"34","Dalton Kincaid (BUF)","1","2","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","78.3%"
"35","Nick Vannett (MIN)","2","2","11","5.5","8","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"36","Noah Fant (CIN)","2","4","11","5.5","9","0","0","0","0","0","0","1","1.1","1.1","4.2%"
"37","Grant Calcaterra (PHI)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.6%"
"38","MyCole Pruitt (FA)","1","2","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","1.0%"
"39","Jonnu Smith (PIT)","1","2","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","54.3%"
"40","Tyler Conklin (LAC)","1","2","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","3.5%"
"41","Julian Hill (MIA)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.6%"
"42","Evan Engram (DEN)","1","4","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","90.0%"
"43","Cade Otton (TB)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","16.9%"
