"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jordan Addison (MIN)","8","12","133","16.6","49","2","3","0","0","0","0","1","31.3","31.3","83.2%"
"2","Ja'Marr Chase (CIN)","14","18","177","12.6","40","2","2","1","14","0","0","1","31.1","31.1","99.7%"
"3","Puka Nacua (LAR)","12","14","162","13.5","21","1","1","5","16","1","0","1","29.8","29.8","99.6%"
"4","Justin Jefferson (MIN)","7","7","132","18.9","52","3","2","0","0","0","0","1","25.2","25.2","99.7%"
"5","Jauan Jennings (SF)","7","8","90","12.9","39","1","2","0","0","0","0","1","21.0","21.0","80.0%"
"6","Tyreek Hill (MIA)","10","14","115","11.5","21","1","1","1","6","0","0","1","18.1","18.1","98.6%"
"7","Jalen McMillan (TB)","4","7","59","14.8","29","1","2","0","0","0","0","1","17.9","17.9","19.2%"
"8","Davante Adams (LAR)","9","11","109","12.1","34","1","1","0","0","0","0","1","16.9","16.9","97.3%"
"9","Khalil Shakir (BUF)","5","8","106","21.2","51","2","1","0","0","0","0","1","16.6","16.6","78.1%"
"10","Tim Patrick (DET)","6","7","43","7.2","18","0","2","0","0","0","0","1","16.3","16.3","1.2%"
"11","Rome Odunze (CHI)","4","5","42","10.5","17","0","2","0","0","0","0","1","16.2","16.2","87.2%"
"12","CeeDee Lamb (DAL)","6","7","93","15.5","43","1","1","1","1","0","0","1","15.4","15.4","99.6%"
"13","Cooper Kupp (SEA)","5","8","92","18.4","37","2","1","0","0","0","0","1","15.2","15.2","84.6%"
"14","Jaxon Smith-Njigba (SEA)","5","5","82","16.4","24","1","1","1","4","0","0","1","14.6","14.6","98.2%"
"15","Darnell Mooney (ATL)","6","7","142","23.7","49","3","0","0","0","0","0","1","14.2","14.2","57.0%"
"16","Jerry Jeudy (CLE)","5","6","64","12.8","35","1","1","0","0","0","0","1","12.4","12.4","88.6%"
"17","Jaylen Waddle (MIA)","9","12","99","11.0","20","1","0","0","0","0","0","1","11.9","11.9","91.0%"
"18","Michael Wilson (ARI)","2","3","57","28.5","41","1","1","0","0","0","0","1","11.7","11.7","7.0%"
