"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Zach Charbonnet (SEA)","22","134","6.1","51","2","2","7","7","59","8.4","0","0","1","31.3","31.3","70.9%"
"2","Isaac Guerendo (SF)","15","78","5.2","30","1","2","2","2","50","25.0","0","0","1","24.8","24.8","34.0%"
"3","Josh Jacobs (GB)","18","66","3.7","19","0","3","0","0","0","0","0","0","1","24.6","24.6","99.4%"
"4","Rachaad White (TB)","17","90","5.3","13","0","1","2","3","19","9.5","1","0","1","22.9","22.9","54.2%"
"5","Kyren Williams (LAR)","29","87","3.0","12","0","2","2","2","10","5.0","0","0","1","21.7","21.7","98.9%"
"6","Chase Brown (CIN)","14","58","4.1","10","0","0","6","8","65","10.8","1","0","1","18.3","18.3","97.9%"
"7","James Conner (ARI)","18","90","5.0","23","1","0","4","4","32","8.0","1","0","1","18.2","18.2","94.5%"
"8","Bijan Robinson (ATL)","22","92","4.2","13","0","1","2","2","9","4.5","0","0","1","18.1","18.1","99.6%"
"9","Chuba Hubbard (CAR)","26","92","3.5","15","0","1","4","5","15","3.8","0","0","1","16.7","16.7","96.4%"
"10","Saquon Barkley (PHI)","20","124","6.2","18","0","0","0","1","0","0","0","0","1","14.4","14.4","99.7%"
"11","David Montgomery (DET)","14","51","3.6","13","0","1","5","5","33","6.6","0","0","1","14.4","14.4","94.0%"
"12","Aaron Jones Sr. (MIN)","13","73","5.6","15","0","1","2","2","11","5.5","0","0","1","14.4","14.4","89.7%"
"13","Tyrone Tracy Jr. (NYG)","16","45","2.8","7","0","1","5","10","38","7.6","0","0","1","14.3","14.3","85.0%"
"14","Rico Dowdle (CAR)","18","131","7.3","27","1","0","1","2","10","10.0","0","0","1","14.1","14.1","20.2%"
"15","Jahmyr Gibbs (DET)","15","43","2.9","20","1","0","6","6","30","5.0","1","0","1","13.3","13.3","99.6%"
"16","De'Von Achane (MIA)","14","24","1.7","7","0","1","6","7","45","7.5","0","0","1","12.9","12.9","99.3%"
"17","Isaiah Davis (NYJ)","10","40","4.0","17","0","1","3","6","27","9.0","0","0","1","12.7","12.7","2.0%"
"18","Tony Pollard (TEN)","21","102","4.9","21","1","0","2","2","22","11.0","0","0","1","12.4","12.4","88.9%"
"19","Tyler Allgeier (ATL)","9","63","7.0","25","1","1","0","0","0","0","0","0","1","12.3","12.3","33.2%"
"20","Tank Bigsby (JAC)","18","55","3.1","12","0","1","1","2","7","7.0","0","0","1","12.2","12.2","64.5%"
"21","Ty Johnson (BUF)","0","0","0","0","0","0","2","3","55","27.5","1","0","1","11.5","11.5","2.0%"
"22","Najee Harris (LAC)","16","53","3.3","20","1","1","0","0","0","0","0","0","1","11.3","11.3","54.3%"
"23","Gus Edwards (FA)","10","36","3.6","10","0","1","0","0","0","0","0","0","1","9.6","9.6","0.6%"
"24","Kendre Miller (NO)","10","32","3.2","9","0","1","0","1","0","0","0","0","1","9.2","9.2","5.9%"
"25","Sincere McCormick (LV)","15","78","5.2","29","1","0","2","3","11","5.5","0","0","1","8.9","8.9","0.8%"
"26","Patrick Taylor Jr. (SF)","7","25","3.6","7","0","1","0","1","0","0","0","0","1","8.5","8.5","0.7%"
"27","Braelon Allen (NYJ)","11","43","3.9","7","0","0","4","5","38","9.5","0","0","1","8.1","8.1","29.4%"
"28","Alvin Kamara (NO)","17","44","2.6","16","0","0","5","5","35","7.0","0","0","1","7.9","7.9","96.9%"
"29","Jaylen Warren (PIT)","9","47","5.2","14","0","0","2","5","25","12.5","0","0","1","7.2","7.2","83.3%"
"30","Travis Etienne Jr. (JAC)","4","20","5.0","11","0","0","4","4","50","12.5","0","0","1","7.0","7.0","81.0%"
"31","Isiah Pacheco (KC)","14","55","3.9","9","0","0","2","4","6","3.0","0","0","1","6.1","6.1","91.6%"
"32","Nick Chubb (HOU)","11","48","4.4","19","0","0","0","1","0","0","0","0","1","4.8","4.8","49.1%"
"33","Jerome Ford (CLE)","10","28","2.8","7","0","0","3","4","19","6.3","0","0","1","4.7","4.7","40.1%"
"34","Sean Tucker (TB)","3","47","15.7","34","1","0","0","2","0","0","0","0","1","4.7","4.7","5.1%"
