"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","James Conner (ARI)","16","110","6.9","53","1","2","5","5","28","5.6","0","0","1","25.8","25.8","94.5%"
"2","James Cook (BUF)","14","105","7.5","41","1","2","1","1","28","28.0","0","0","1","25.3","25.3","98.4%"
"3","Jahmyr Gibbs (DET)","8","31","3.9","13","0","1","5","7","83","16.6","1","0","1","23.4","23.4","99.6%"
"4","Chase Brown (CIN)","25","97","3.9","13","0","1","3","3","16","5.3","1","0","1","23.3","23.3","97.9%"
"5","Tyjae Spears (TEN)","4","5","1.3","6","0","1","6","7","87","14.5","1","0","1","21.2","21.2","54.0%"
"6","Josh Jacobs (GB)","26","94","3.6","19","0","1","4","4","42","10.5","0","1","1","17.6","17.6","99.4%"
"7","Aaron Jones Sr. (MIN)","18","86","4.8","14","0","1","2","3","20","10.0","0","0","1","16.6","16.6","89.7%"
"8","Jerome Ford (CLE)","7","84","12.0","62","1","1","2","2","20","10.0","0","0","1","16.4","16.4","40.1%"
"9","Rico Dowdle (CAR)","25","149","6.0","12","0","0","0","0","0","0","0","0","1","14.9","14.9","20.2%"
"10","Bijan Robinson (ATL)","22","125","5.7","29","1","0","1","2","10","10.0","0","0","1","13.5","13.5","99.6%"
"11","Alvin Kamara (NO)","5","12","2.4","6","0","0","4","5","58","14.5","1","0","1","13.0","13.0","96.9%"
"12","Justice Hill (BAL)","2","7","3.5","6","0","0","5","5","61","12.2","1","0","1","12.8","12.8","12.4%"
"13","Ameer Abdullah (FA)","3","8","2.7","4","0","0","7","7","58","8.3","1","0","1","12.6","12.6","0.6%"
"14","Zach Charbonnet (SEA)","8","54","6.8","24","1","1","1","4","12","12.0","0","0","1","12.6","12.6","70.9%"
"15","Ty Johnson (BUF)","2","9","4.5","5","0","0","5","5","114","22.8","0","0","1","12.3","12.3","2.0%"
"16","Rachaad White (TB)","15","64","4.3","11","0","0","2","2","17","8.5","1","1","1","12.1","12.1","54.2%"
"17","Bucky Irving (TB)","15","117","7.8","54","1","0","2","2","-4","-2.0","0","0","1","11.3","11.3","99.4%"
"18","Kyren Williams (LAR)","29","108","3.7","10","0","0","2","2","4","2.0","0","0","1","11.2","11.2","98.9%"
"19","Breece Hall (NYJ)","9","30","3.3","18","0","1","2","2","21","10.5","0","0","1","11.1","11.1","96.5%"
"20","Devin Singletary (NYG)","8","25","3.1","5","0","1","3","3","16","5.3","0","0","1","10.1","10.1","2.4%"
"21","Jonathan Taylor (IND)","22","107","4.9","40","1","0","1","2","4","4.0","0","1","1","9.1","9.1","99.2%"
"22","D'Andre Swift (CHI)","19","79","4.2","17","0","0","1","1","10","10.0","0","0","1","8.9","8.9","90.5%"
"23","Ray Davis (BUF)","7","15","2.1","7","0","0","2","2","14","7.0","1","0","1","8.9","8.9","30.9%"
"24","Brian Robinson Jr. (WAS)","21","65","3.1","20","1","0","3","3","22","7.3","0","0","1","8.7","8.7","84.9%"
"25","Travis Etienne Jr. (JAC)","14","65","4.6","10","0","0","4","5","20","5.0","0","0","1","8.5","8.5","81.0%"
"26","Tony Pollard (TEN)","17","45","2.6","15","0","1","0","0","0","0","0","1","1","8.5","8.5","88.9%"
"27","Rhamondre Stevenson (NE)","13","69","5.3","15","0","0","1","1","16","16.0","0","0","1","8.5","8.5","73.9%"
"28","Cam Akers (NO)","10","24","2.4","11","0","1","0","0","0","0","0","0","1","8.4","8.4","0.7%"
"29","De'Von Achane (MIA)","12","41","3.4","7","0","0","7","7","35","5.0","0","0","1","7.6","7.6","99.3%"
"30","Isaac Guerendo (SF)","16","57","3.6","16","0","0","4","4","18","4.5","0","0","1","7.5","7.5","34.0%"
"31","Saquon Barkley (PHI)","19","65","3.4","22","1","0","2","2","9","4.5","0","0","1","7.4","7.4","99.7%"
"32","Derrick Henry (BAL)","14","67","4.8","13","0","0","0","0","0","0","0","0","1","6.7","6.7","99.5%"
"33","Antonio Gibson (NE)","7","33","4.7","29","1","0","2","2","31","15.5","0","0","1","6.4","6.4","2.4%"
"34","Kenneth Gainwell (PIT)","7","20","2.9","7","0","0","3","3","40","13.3","0","0","1","6.0","6.0","1.5%"
"35","Joe Mixon (HOU)","12","23","1.9","5","0","0","5","6","33","6.6","0","0","1","5.6","5.6","89.9%"
"36","Chuba Hubbard (CAR)","10","32","3.2","12","0","0","4","4","17","4.3","0","0","1","4.9","4.9","96.4%"
"37","Kareem Hunt (KC)","13","45","3.5","12","0","0","1","2","4","4.0","0","0","1","4.9","4.9","16.8%"
"38","Isiah Pacheco (KC)","13","32","2.5","9","0","0","1","1","15","15.0","0","0","1","4.7","4.7","91.6%"
"39","Kendre Miller (NO)","9","46","5.1","17","0","0","0","1","0","0","0","0","1","4.6","4.6","5.9%"
"40","Tyler Allgeier (ATL)","12","43","3.6","19","0","0","0","0","0","0","0","0","1","4.3","4.3","33.2%"
"41","Tank Bigsby (JAC)","11","42","3.8","14","0","0","0","1","0","0","0","0","1","4.2","4.2","64.5%"
"42","Ezekiel Elliott (FA)","9","30","3.3","5","0","0","1","1","11","11.0","0","0","1","4.1","4.1","0.8%"
"43","Tyrone Tracy Jr. (NYG)","10","31","3.1","12","0","0","1","4","4","4.0","0","0","1","3.5","3.5","85.0%"
"44","David Montgomery (DET)","5","4","0.8","3","0","0","4","4","31","7.8","0","0","1","3.5","3.5","94.0%"
"45","Dare Ogunbowale (HOU)","1","35","35.0","35","1","0","0","0","0","0","0","0","1","3.5","3.5","0.7%"
"46","Jaleel McLaughlin (DEN)","7","21","3.0","12","0","0","3","3","13","4.3","0","0","1","3.4","3.4","3.9%"
"47","Samaje Perine (CIN)","1","11","11.0","11","0","0","1","1","23","23.0","0","0","1","3.4","3.4","2.0%"
"48","Rasheen Ali (BAL)","8","32","4.0","9","0","0","0","0","0","0","0","0","1","3.2","3.2","0.6%"
"49","Isaiah Davis (NYJ)","5","24","4.8","11","0","0","1","1","2","2.0","0","0","1","2.6","2.6","2.0%"
"50","Sincere McCormick (LV)","7","8","1.1","5","0","0","2","2","17","8.5","0","0","1","2.5","2.5","0.8%"
"51","Gus Edwards (FA)","8","23","2.9","8","0","0","0","0","0","0","0","0","1","2.3","2.3","0.6%"
"52","Javonte Williams (DAL)","6","15","2.5","4","0","0","2","3","8","4.0","0","0","1","2.3","2.3","71.3%"
"53","Trey Benson (ARI)","5","22","4.4","7","0","0","0","0","0","0","0","0","1","2.2","2.2","41.1%"
"54","Kimani Vidal (LAC)","3","9","3.0","7","0","0","2","3","13","6.5","0","0","1","2.2","2.2","1.6%"
"55","Raheem Mostert (LV)","6","8","1.3","6","0","0","3","3","13","4.3","0","0","1","2.1","2.1","6.3%"
"56","Najee Harris (LAC)","6","14","2.3","7","0","0","1","1","7","7.0","0","0","1","2.1","2.1","54.3%"
"57","Nick Chubb (HOU)","9","41","4.6","8","0","0","0","1","0","0","0","1","1","2.1","2.1","49.1%"
"58","Blake Corum (LAR)","3","5","1.7","3","0","0","2","3","15","7.5","0","0","1","2.0","2.0","13.1%"
"59","Audric Estime (DEN)","5","13","2.6","6","0","0","1","1","5","5.0","0","0","1","1.8","1.8","2.6%"
"60","Sean Tucker (TB)","7","17","2.4","4","0","0","0","0","0","0","0","0","1","1.7","1.7","5.1%"
"61","DeeJay Dallas (ARI)","4","15","3.8","7","0","0","0","0","0","0","0","0","1","1.5","1.5","0.1%"
"62","Chris Brooks (GB)","1","6","6.0","6","0","0","1","1","9","9.0","0","0","1","1.5","1.5","0.8%"
"63","Jaylen Warren (PIT)","4","12","3.0","6","0","0","1","2","3","3.0","0","0","1","1.5","1.5","83.3%"
"64","Mike Boone (MIA)","2","14","7.0","9","0","0","0","0","0","0","0","0","1","1.4","1.4","1.0%"
"65","Trey Sermon (PIT)","1","3","3.0","3","0","0","2","2","9","4.5","0","0","1","1.2","1.2","0.6%"
"66","George Holani (SEA)","3","10","3.3","8","0","0","0","0","0","0","0","0","1","1.0","1.0","0.1%"
"67","Emanuel Wilson (GB)","3","9","3.0","4","0","0","0","0","0","0","0","0","1","0.9","0.9","1.8%"
"68","Kenny McIntosh (SEA)","3","9","3.0","5","0","0","0","0","0","0","0","0","1","0.9","0.9","0.6%"
"69","Cordarrelle Patterson (FA)","2","9","4.5","5","0","0","1","1","-1","-1.0","0","0","1","0.8","0.8","0.6%"
"70","Travis Homer (CHI)","3","7","2.3","4","0","0","0","0","0","0","0","0","1","0.7","0.7","0.6%"
