"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Josh Allen (BUF)","23","34","67.6","362","10.6","2","0","0","11","68","2","0","1","41.3","41.3","99.7%"
"2","Jared Goff (DET)","38","59","64.4","494","8.4","5","0","3","2","13","0","0","1","41.1","41.1","81.5%"
"3","Lamar Jackson (BAL)","21","25","84.0","290","11.6","5","0","2","6","65","0","1","1","36.1","36.1","99.6%"
"4","Aaron Rodgers (PIT)","16","30","53.3","289","9.6","3","0","1","6","45","0","0","1","30.1","30.1","15.4%"
"5","Baker Mayfield (TB)","22","27","81.5","288","10.7","4","1","1","2","25","0","0","1","29.0","29.0","95.5%"
"6","Jalen Hurts (PHI)","25","32","78.1","290","9.1","2","0","3","15","45","1","1","1","28.1","28.1","99.4%"
"7","Jayden Daniels (WAS)","25","31","80.6","226","7.3","2","0","8","11","66","0","0","1","23.6","23.6","99.6%"
"8","Mac Jones (SF)","31","46","67.4","294","6.4","2","2","2","4","29","0","0","1","20.7","20.7","1.3%"
"9","Cooper Rush (BAL)","18","29","62.1","214","7.4","3","0","1","4","5","0","1","1","19.1","19.1","0.7%"
"10","Joe Burrow (CIN)","26","37","70.3","271","7.3","3","2","1","0","0","0","1","1","18.8","18.8","99.4%"
"11","Drake Maye (NE)","19","23","82.6","202","8.8","1","1","2","4","14","1","0","1","18.5","18.5","71.0%"
"12","Jordan Love (GB)","20","27","74.1","229","8.5","2","0","0","1","4","0","0","1","17.6","17.6","69.0%"
"13","Mason Rudolph (PIT)","21","26","80.8","209","8.0","2","1","0","2","14","0","0","1","16.8","16.8","1.7%"
"14","Bo Nix (DEN)","20","33","60.6","130","3.9","3","3","1","8","23","0","0","1","16.5","16.5","93.5%"
"15","Patrick Mahomes II (KC)","19","38","50.0","159","4.2","2","0","0","2","14","0","0","1","15.8","15.8","97.6%"
"16","Anthony Richardson Sr. (IND)","17","38","44.7","172","4.5","0","2","2","7","46","1","0","1","15.4","15.4","16.1%"
"17","Justin Herbert (LAC)","21","33","63.6","195","5.9","2","1","3","0","0","0","0","1","14.8","14.8","84.6%"
"18","Bryce Young (CAR)","19","28","67.9","219","7.8","1","2","6","3","12","1","2","1","14.0","14.0","26.6%"
"19","Desmond Ridder (CIN)","23","39","59.0","208","5.3","1","2","3","5","28","0","0","1","13.1","13.1","1.4%"
"20","Sam Darnold (SEA)","24","40","60.0","231","5.8","1","1","2","0","0","0","0","1","12.2","12.2","17.8%"
"21","C.J. Stroud (HOU)","18","26","69.2","131","5.0","2","0","4","6","4","0","1","1","11.6","11.6","69.5%"
"22","Kyler Murray (ARI)","23","30","76.7","224","7.5","0","0","0","5","11","0","0","1","10.1","10.1","88.8%"
"23","Caleb Williams (CHI)","18","31","58.1","191","6.2","1","0","2","4","3","0","1","1","9.9","9.9","75.6%"
"24","Spencer Rattler (NO)","10","21","47.6","135","6.4","1","0","0","0","0","0","0","1","9.4","9.4","3.9%"
"25","Russell Wilson (NYG)","14","22","63.6","128","5.8","1","0","2","4","13","0","1","1","8.4","8.4","9.8%"
"26","Matthew Stafford (LAR)","16","27","59.3","160","5.9","0","0","0","4","18","0","0","1","8.2","8.2","28.7%"
"27","Tim Boyle (FA)","12","24","50.0","123","5.1","1","1","1","1","-1","0","0","1","7.8","7.8","0.0%"
"28","Kirk Cousins (ATL)","11","17","64.7","112","6.6","1","1","3","3","0","0","0","1","7.5","7.5","4.1%"
"29","Tua Tagovailoa (MIA)","29","40","72.5","196","4.9","1","3","3","0","0","0","1","1","6.8","6.8","28.9%"
"30","Geno Smith (LV)","15","19","78.9","149","7.8","0","1","3","1","5","0","0","1","5.5","5.5","18.3%"
"31","Brock Purdy (SF)","14","31","45.2","142","4.6","0","1","3","1","3","0","0","1","5.0","5.0","88.3%"
"32","Tommy DeVito (NYG)","10","13","76.9","68","5.2","0","0","2","1","0","0","0","1","2.7","2.7","0.6%"
"33","Jameis Winston (NYG)","16","25","64.0","146","5.8","0","3","5","2","-2","0","0","1","2.6","2.6","2.3%"
"34","Jake Haener (NO)","4","10","40.0","49","4.9","0","1","3","1","7","0","0","1","1.7","1.7","1.1%"
"35","Dorian Thompson-Robinson (PHI)","4","9","44.4","18","2.0","0","1","0","3","16","0","0","1","1.3","1.3","1.5%"
"36","Carson Wentz (FA)","2","2","100.0","20","10.0","0","0","0","3","0","0","0","1","0.8","0.8","1.3%"
"37","Justin Fields (NYJ)","0","0","0","0","0","0","0","0","1","8","0","0","1","0.8","0.8","74.9%"
"38","Taylor Heinicke (LAC)","1","1","100.0","4","4.0","0","0","0","0","0","0","0","1","0.2","0.2","1.0%"
"39","Tyson Bagent (CHI)","1","1","100.0","5","5.0","0","0","0","0","0","0","0","1","0.2","0.2","0.6%"
"40","Sam Howell (MIN)","5","14","35.7","24","1.7","0","1","4","1","2","0","0","1","0.2","0.2","1.8%"
"41","Clayton Tune (ARI)","2","2","100.0","8","4.0","0","0","0","1","-1","0","0","1","0.2","0.2","1.0%"
"42","Zach Wilson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"43","Kenny Pickett (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.6%"
"44","Davis Mills (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"45","Jalen Milroe (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.5%"
"46","Adrian Martinez (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"47","Kyle McCord (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"48","Tyler Shough (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"49","J.J. McCarthy (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65.7%"
"50","DJ Uiagalelei (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Emory Jones (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Michael Penix Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.1%"
"53","Malik Cunningham (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"54","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
