"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"31","Darnell Mooney (ATL)","64","106","992","15.5","49","21","5","0","0","0","0","16","129.2","8.1","57.0%"
"32","Xavier Worthy (KC)","59","98","638","10.8","54","4","6","20","104","3","0","17","128.2","7.5","95.5%"
"33","Puka Nacua (LAR)","79","106","990","12.5","51","11","3","11","46","1","0","11","127.6","11.6","99.6%"
"34","DK Metcalf (PIT)","66","108","992","15.0","71","20","5","0","0","0","2","15","125.2","8.3","96.5%"
"35","Alec Pierce (IND)","37","69","824","22.3","65","13","7","0","0","0","0","16","124.4","7.8","8.8%"
"36","Quentin Johnston (LAC)","55","91","711","12.9","66","12","8","3","6","0","0","15","119.7","8.0","14.4%"
"37","Keenan Allen (LAC)","70","121","744","10.6","45","9","7","0","0","0","0","15","115.4","7.7","47.4%"
"38","Josh Downs (IND)","72","107","803","11.2","69","10","5","1","12","0","0","14","111.5","8.0","64.8%"
"39","Cooper Kupp (SEA)","67","100","710","10.6","69","10","6","2","10","0","0","12","108.0","9.0","84.6%"
"40","Khalil Shakir (BUF)","76","100","821","10.8","52","9","4","2","4","0","0","15","106.5","7.1","78.1%"
"41","George Pickens (DAL)","59","103","900","15.3","44","17","3","2","-6","0","1","14","105.4","7.5","92.8%"
"42","Nick Westbrook-Ikhine (MIA)","32","60","497","15.5","98","4","9","0","0","0","0","14","103.7","7.4","2.5%"
"43","Jalen Tolbert (DAL)","49","79","610","12.4","48","8","7","0","0","0","0","17","103.0","6.1","3.2%"
"44","Deebo Samuel Sr. (WAS)","51","81","670","13.1","76","10","3","42","136","1","1","15","102.6","6.8","85.1%"
"45","Jalen McMillan (TB)","37","58","461","12.5","33","8","8","4","43","0","0","13","98.4","7.6","19.2%"
"46","Michael Pittman Jr. (IND)","69","111","808","11.7","33","12","3","0","0","0","1","16","96.8","6.1","68.4%"
"47","Demarcus Robinson (SF)","31","64","505","16.3","46","9","7","0","0","0","0","17","92.5","5.4","2.1%"
"48","Jaylen Waddle (MIA)","58","83","744","12.8","63","12","2","4","12","0","0","16","91.6","5.7","91.0%"
"49","Adam Thielen (CAR)","48","62","615","12.8","40","9","5","0","0","0","0","10","91.5","9.2","36.0%"
