"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"38","Aidan O'Connell (LV)","154","243","63.4","1,612","6.6","8","4","10","21","30","1","2","9","97.7","10.9","1.0%"
"39","Drew Lock (SEA)","107","181","59.1","1,071","5.9","6","5","12","18","133","2","2","7","85.1","12.2","1.9%"
"40","Deshaun Watson (CLE)","137","216","63.4","1,148","5.3","5","3","33","31","148","1","3","7","79.6","11.4","1.1%"
"41","Spencer Rattler (NO)","130","228","57.0","1,317","5.8","4","5","22","18","146","0","3","7","72.2","10.3","3.9%"
"42","Andy Dalton (CAR)","106","160","66.3","989","6.2","7","6","7","11","34","0","0","6","64.9","10.8","0.7%"
"43","Tyler Huntley (CLE)","86","133","64.7","829","6.2","3","3","15","26","135","2","2","5","63.7","12.7","1.0%"
"44","Malik Willis (GB)","40","54","74.1","550","10.2","3","0","8","20","138","1","1","7","51.8","7.4","2.0%"
"45","Michael Penix Jr. (ATL)","61","105","58.1","775","7.4","3","3","4","7","11","1","0","5","47.2","9.4","29.1%"
"46","Jacoby Brissett (ARI)","95","161","59.0","826","5.1","2","1","18","15","62","0","1","7","46.2","6.6","0.6%"
"47","Marcus Mariota (WAS)","34","44","77.3","364","8.3","4","0","3","18","92","1","0","3","45.7","15.2","0.9%"
"48","Joshua Dobbs (NE)","32","47","68.1","361","7.7","2","2","2","9","24","2","1","3","32.8","10.9","1.0%"
"49","Tanner McKee (PHI)","30","45","66.7","323","7.2","4","0","2","5","-1","0","0","2","28.9","14.5","0.9%"
"50","Kenny Pickett (CLE)","25","42","59.5","291","6.9","2","1","4","9","15","1","0","5","26.1","5.2","3.6%"
"51","Desmond Ridder (CIN)","52","85","61.2","458","5.4","2","2","10","9","36","0","2","5","23.9","4.8","1.4%"
"52","Dorian Thompson-Robinson (PHI)","61","118","51.7","440","3.7","0","6","8","21","122","0","1","6","21.8","3.6","1.5%"
"53","Jimmy Garoppolo (LAR)","27","41","65.9","334","8.1","2","1","3","2","5","0","0","1","20.9","20.9","1.9%"
"54","Tyrod Taylor (NYJ)","17","22","77.3","119","5.4","3","0","0","3","13","0","0","2","20.0","10.0","1.0%"
"55","Joe Milton III (DAL)","22","29","75.9","241","8.3","1","0","0","10","16","1","1","1","19.2","19.2","3.3%"
"56","Mitchell Trubisky (BUF)","19","26","73.1","179","6.9","2","0","0","17","1","0","0","9","15.3","1.7","0.6%"
"57","Tim Boyle (FA)","27","50","54.0","276","5.5","1","1","2","3","9","0","0","3","15.0","5.0","0.0%"
"58","Jake Haener (NO)","18","39","46.2","226","5.8","1","1","6","11","22","0","0","8","14.3","1.8","1.1%"
"59","Trey Lance (LAC)","25","41","61.0","266","6.5","0","1","4","11","41","0","0","4","13.7","3.4","0.6%"
"60","Tommy DeVito (NYG)","31","44","70.5","257","5.8","0","0","6","8","32","0","0","3","13.5","4.5","0.6%"
"61","Davis Mills (HOU)","20","36","55.6","212","5.9","0","0","2","3","11","0","0","4","9.6","2.4","0.6%"
"62","Bailey Zappe (KC)","16","31","51.6","170","5.5","1","2","1","2","2","0","0","1","9.0","9.0","1.1%"
"63","Brandon Allen (TEN)","17","30","56.7","199","6.6","1","2","2","3","4","0","1","3","8.4","2.8","0.1%"
"64","Skylar Thompson (PIT)","21","33","63.6","187","5.7","0","0","6","1","4","0","0","2","7.9","4.0","3.8%"
"65","Carson Wentz (FA)","12","19","63.2","118","6.2","0","0","4","3","0","0","0","2","4.7","2.4","1.3%"
"66","Taylor Heinicke (LAC)","3","5","60.0","28","5.6","0","0","3","2","20","0","0","4","3.2","0.8","1.0%"
"67","Hendon Hooker (DET)","6","9","66.7","62","6.9","0","0","1","5","2","0","0","3","2.7","0.9","0.8%"
"68","Nick Mullens (JAC)","2","2","100.0","38","19.0","0","0","0","3","-2","0","0","4","1.4","0.4","1.0%"
"69","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","9","1.2","0.1","0.0%"
"70","Mike White (BUF)","3","11","27.3","28","2.5","0","0","0","0","0","0","0","1","1.1","1.1","1.1%"
"71","Kyle Allen (DET)","1","1","100.0","19","19.0","0","0","0","0","0","0","0","1","0.8","0.8","1.1%"
"72","Josh Johnson (WAS)","2","3","66.7","17","5.7","0","0","1","4","1","0","0","4","0.7","0.2","1.0%"
"73","Jarrett Stidham (DEN)","0","0","0","0","0","0","0","0","4","5","0","0","3","0.5","0.2","0.7%"
"74","Chris Oladokun (KC)","0","0","0","0","0","0","0","1","1","5","0","0","1","0.5","0.5","0.0%"
"75","Sam Howell (MIN)","5","14","35.7","24","1.7","0","1","4","1","2","0","0","1","0.2","0.2","1.8%"
"76","Kyle McCord (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"77","J.J. McCarthy (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65.7%"
"78","Emory Jones (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"79","Malik Cunningham (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"80","Zach Wilson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"81","Adrian Martinez (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","DJ Uiagalelei (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","Jalen Milroe (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.5%"
"84","Sean Clifford (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"85","Tyler Shough (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"86","John Rhys Plumlee (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"87","Jack Plummer (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"88","Jason Bean (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Shedeur Sanders (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.6%"
"90","Will Howard (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.6%"
"91","Carter Bradley (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Austin Reed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"93","Kurtis Rourke (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"94","Brady Cook (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"95","Connor Bazelak (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Taylor Elgersma (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Payton Thorne (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Garrett Greene (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Tommy Mellott (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"100","Max Brosmer (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Ben Wooldridge (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Cam Miller (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"103","Dresser Winn (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"104","Quinn Ewers (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.1%"
"105","Stetson Bennett IV (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"106","Jaren Hall (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.2%"
"107","Sam Hartman (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"108","Dillon Gabriel (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"109","Jaxson Dart (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.3%"
"110","Kedon Slovis (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Graham Mertz (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"112","Michael Pratt (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"113","Seth Henigan (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Riley Leonard (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"115","Jordan Travis (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"116","Devin Leary (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"117","Cam Ward (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35.8%"
"118","Ben DiNucci (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"119","Ben Chappell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Adam Froman (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Erik Ainge (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Hunter Cantwell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Teddy Bridgewater (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"124","Case Keenum (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"125","Sam Ehlinger (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","John Wolford (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Will Grier (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Brett Rypien (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Logan Woodside (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Brett Smith (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Bryce Perkins (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Jake Luton (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"133","Shane Buechele (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
