"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tank Bigsby (JAC)","13","101","7.8","65","1","2","1","1","28","28.0","0","0","1","24.9","24.9","64.5%"
"2","D'Andre Swift (CHI)","21","73","3.5","18","0","1","2","2","47","23.5","0","0","1","18.0","18.0","90.5%"
"3","Kareem Hunt (KC)","27","102","3.8","8","0","1","1","1","15","15.0","0","0","1","17.7","17.7","16.8%"
"4","Rico Dowdle (CAR)","20","87","4.4","13","0","0","2","2","27","13.5","1","0","1","17.4","17.4","20.2%"
"5","James Cook (BUF)","20","82","4.1","12","0","1","2","3","17","8.5","0","0","1","15.9","15.9","98.4%"
"6","Derrick Henry (BAL)","15","92","6.1","51","1","1","1","1","4","4.0","0","0","1","15.6","15.6","99.5%"
"7","Josh Jacobs (GB)","19","73","3.8","13","0","1","1","1","21","21.0","0","0","1","15.4","15.4","99.4%"
"8","Rhamondre Stevenson (NE)","12","89","7.4","33","1","1","4","4","3","0.8","0","0","1","15.2","15.2","73.9%"
"9","Kyren Williams (LAR)","22","102","4.6","30","1","1","1","1","3","3.0","0","1","1","14.5","14.5","98.9%"
"10","Roschon Johnson (CHI)","10","25","2.5","8","0","2","0","0","0","0","0","0","1","14.5","14.5","13.6%"
"11","Brian Robinson Jr. (WAS)","7","18","2.6","10","0","2","0","0","0","0","0","0","1","13.8","13.8","84.9%"
"12","Chuba Hubbard (CAR)","13","97","7.5","38","1","1","4","4","-2","-0.5","0","1","1","13.5","13.5","96.4%"
"13","Chase Brown (CIN)","12","46","3.8","16","0","0","3","3","8","2.7","1","0","1","13.4","13.4","97.9%"
"14","Tyrone Tracy Jr. (NYG)","18","129","7.2","27","2","0","1","2","1","1.0","0","0","1","13.0","13.0","85.0%"
"15","Trey Sermon (PIT)","10","38","3.8","17","0","1","6","6","25","4.2","0","0","1","12.3","12.3","0.6%"
"16","James Conner (ARI)","19","86","4.5","14","0","0","2","3","14","7.0","0","0","1","12.0","12.0","94.5%"
"17","Javonte Williams (DAL)","13","61","4.7","17","0","0","5","6","50","10.0","0","0","1","11.1","11.1","71.3%"
"18","Ameer Abdullah (FA)","5","42","8.4","40","1","1","3","3","9","3.0","0","0","1","11.1","11.1","0.6%"
"19","Cam Akers (NO)","9","42","4.7","15","0","1","2","3","5","2.5","0","0","1","10.7","10.7","0.7%"
"20","Jeremy McNichols (WAS)","7","44","6.3","28","1","1","0","0","0","0","0","0","1","10.4","10.4","0.7%"
"21","Raheem Mostert (LV)","19","80","4.2","18","0","0","2","2","18","9.0","0","0","1","9.8","9.8","6.3%"
"22","Austin Ekeler (WAS)","6","67","11.2","50","1","0","2","2","30","15.0","0","0","1","9.7","9.7","54.3%"
"23","Dare Ogunbowale (HOU)","15","30","2.0","7","0","0","6","7","57","9.5","0","0","1","8.7","8.7","0.7%"
"24","Jaylen Wright (MIA)","13","86","6.6","17","0","0","0","0","0","0","0","0","1","8.6","8.6","23.2%"
"25","Jaleel McLaughlin (DEN)","6","22","3.7","13","0","0","3","4","3","1.0","1","0","1","8.5","8.5","3.9%"
"26","Alexander Mattison (MIA)","15","38","2.5","8","0","0","2","3","23","11.5","0","0","1","8.1","8.1","1.3%"
"27","Jordan Mason (MIN)","14","89","6.4","34","2","0","1","1","9","9.0","0","1","1","7.8","7.8","74.3%"
"28","Najee Harris (LAC)","14","42","3.0","6","0","0","2","2","35","17.5","0","0","1","7.7","7.7","54.3%"
"29","Bijan Robinson (ATL)","12","61","5.1","28","1","0","3","3","16","5.3","0","0","1","7.7","7.7","99.6%"
"30","Kenneth Walker III (SEA)","5","19","3.8","7","0","0","7","8","57","8.1","0","0","1","7.6","7.6","96.5%"
"31","C.J. Ham (MIN)","2","10","5.0","8","0","1","0","0","0","0","0","0","1","7.0","7.0","0.6%"
"32","Rachaad White (TB)","10","72","7.2","56","1","0","3","3","-6","-2.0","0","0","1","6.6","6.6","54.2%"
"33","Alvin Kamara (NO)","11","26","2.4","9","0","0","6","8","40","6.7","0","0","1","6.6","6.6","96.9%"
"34","Alec Ingold (MIA)","1","3","3.0","3","0","1","0","0","0","0","0","0","1","6.3","6.3","0.6%"
"35","Travis Etienne Jr. (JAC)","6","17","2.8","4","0","0","6","7","43","7.2","0","0","1","6.0","6.0","81.0%"
"36","D'Onta Foreman (FA)","9","44","4.9","25","1","0","1","1","16","16.0","0","0","1","6.0","6.0","2.7%"
"37","Tyler Goodson (IND)","5","26","5.2","17","0","0","3","3","31","10.3","0","0","1","5.7","5.7","0.7%"
"38","Antonio Gibson (NE)","6","52","8.7","24","1","0","1","1","4","4.0","0","0","1","5.6","5.6","2.4%"
"39","Aaron Jones Sr. (MIN)","7","29","4.1","9","0","0","1","1","24","24.0","0","0","1","5.3","5.3","89.7%"
"40","Zack Moss (FA)","9","24","2.7","8","0","0","3","4","28","9.3","0","0","1","5.2","5.2","3.4%"
"41","Jerome Ford (CLE)","9","47","5.2","16","0","0","3","3","2","0.7","0","0","1","4.9","4.9","40.1%"
"42","Ty Chandler (MIN)","14","30","2.1","5","0","0","2","2","9","4.5","0","0","1","3.9","3.9","1.0%"
"43","Breece Hall (NYJ)","9","23","2.6","10","0","0","3","4","14","4.7","0","0","1","3.7","3.7","96.5%"
"44","Bucky Irving (TB)","9","44","4.9","16","0","0","2","2","12","6.0","0","1","1","3.6","3.6","99.4%"
"45","Eric Gray (NYG)","4","4","1.0","2","0","0","3","4","50","16.7","0","1","1","3.4","3.4","0.6%"
"46","Blake Corum (LAR)","5","25","5.0","12","0","0","1","1","8","8.0","0","0","1","3.3","3.3","13.1%"
"47","Miles Sanders (DAL)","2","6","3.0","4","0","0","2","3","27","13.5","0","0","1","3.3","3.3","6.4%"
"48","Zach Charbonnet (SEA)","2","11","5.5","9","0","0","3","5","19","6.3","0","0","1","3.0","3.0","70.9%"
"49","Braelon Allen (NYJ)","5","13","2.6","7","0","0","1","2","15","15.0","0","0","1","2.8","2.8","29.4%"
"50","Tyler Allgeier (ATL)","6","12","2.0","8","0","0","3","3","13","4.3","0","0","1","2.5","2.5","33.2%"
"51","Justice Hill (BAL)","5","17","3.4","7","0","0","1","2","8","8.0","0","0","1","2.5","2.5","12.4%"
"52","Samaje Perine (CIN)","0","0","0","0","0","0","1","2","24","24.0","0","0","1","2.4","2.4","2.0%"
"53","Hunter Luepke (DAL)","2","6","3.0","4","0","0","1","1","18","18.0","0","0","1","2.4","2.4","0.7%"
"54","Isaac Guerendo (SF)","5","22","4.4","5","0","0","0","0","0","0","0","0","1","2.2","2.2","34.0%"
"55","De'Von Achane (MIA)","3","18","6.0","12","0","0","1","1","-1","-1.0","0","0","1","1.7","1.7","99.3%"
"56","Ezekiel Elliott (FA)","6","17","2.8","5","0","0","0","1","0","0","0","0","1","1.7","1.7","0.8%"
"57","Ty Johnson (BUF)","3","15","5.0","19","0","0","0","0","0","0","0","0","1","1.5","1.5","2.0%"
"58","Emanuel Wilson (GB)","6","24","4.0","7","0","0","1","1","-9","-9.0","0","0","1","1.5","1.5","1.8%"
"59","Aaron Shampklin (MIA)","4","14","3.5","5","0","0","0","0","0","0","0","0","1","1.4","1.4","1.1%"
"60","Myles Gaskin (BAL)","2","2","1.0","2","0","0","1","1","11","11.0","0","0","1","1.3","1.3","0.0%"
"61","Carson Steele (KC)","5","12","2.4","8","0","0","0","0","0","0","0","0","1","1.2","1.2","0.6%"
"62","D'Ernest Johnson (BAL)","1","1","1.0","1","0","0","2","3","9","4.5","0","0","1","1.0","1.0","1.0%"
"63","Jonathan Ward (NYG)","2","9","4.5","7","0","0","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"64","Jamaal Williams (FA)","2","9","4.5","9","0","0","0","0","0","0","0","0","1","0.9","0.9","1.1%"
"65","Michael Burton (DEN)","0","0","0","0","0","0","1","1","5","5.0","0","0","1","0.5","0.5","0.1%"
"66","Ray Davis (BUF)","0","0","0","0","0","0","1","2","4","4.0","0","0","1","0.4","0.4","30.9%"
"67","Pierre Strong Jr. (CLE)","1","2","2.0","2","0","0","0","1","0","0","0","0","1","0.2","0.2","0.7%"
"68","Keilan Robinson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Jase McClellan (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"70","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Khalil Herbert (IND)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.8%"
"72","Elijah Mitchell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.2%"
"73","George Holani (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"74","Michael Carter (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"75","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","JaMycal Hasty (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"77","Deon Jackson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Zamir White (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"79","Jermar Jefferson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"80","Clyde Edwards-Helaire (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"81","J.K. Dobbins (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","77.8%"
"82","Jonathan Taylor (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.2%"
"83","A.J. Dillon (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4%"
"84","Craig Reynolds (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"85","Ke'Shawn Vaughn (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Patrick Taylor Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"87","DeeJay Dallas (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"88","Salvon Ahmed (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Darrynton Evans (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"90","Raheem Blackshear (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"91","Will Shipley (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.3%"
"92","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Demetric Felton Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"94","Phil Mafah (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"95","Deuce Vaughn (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"96","Dylan Laube (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"97","Ashton Jeanty (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.4%"
"98","Ollie Gordon II (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.2%"
"99","Rasheen Ali (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"100","Frank Gore Jr. (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"101","Jonathon Brooks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"102","Tahj Brooks (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.3%"
"103","Isaiah Davis (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.0%"
"104","Chris Collier (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"105","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"106","Dante Miller (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"107","Jordan Waters (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Blake Watson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"109","Cody Schrader (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"110","Michael Wiley (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
