"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Kirk Cousins (ATL)","42","58","72.4","509","8.8","4","1","4","0","0","0","0","1","35.4","35.4","4.1%"
"2","Joe Burrow (CIN)","30","39","76.9","392","10.1","5","1","3","2","1","0","0","1","34.8","34.8","99.4%"
"3","Lamar Jackson (BAL)","26","42","61.9","348","8.3","4","0","1","12","55","0","1","1","33.4","33.4","99.6%"
"4","Joe Flacco (CLE)","33","44","75.0","359","8.2","3","0","4","3","22","0","1","1","26.6","26.6","6.5%"
"5","Kyler Murray (ARI)","19","30","63.3","195","6.5","1","1","1","7","83","1","0","1","25.1","25.1","88.8%"
"6","Caleb Williams (CHI)","20","29","69.0","304","10.5","2","0","1","5","34","0","0","1","23.6","23.6","75.6%"
"7","Baker Mayfield (TB)","19","24","79.2","180","7.5","3","0","1","6","42","0","0","1","23.4","23.4","95.5%"
"8","Bo Nix (DEN)","19","27","70.4","206","7.6","2","0","3","8","9","1","0","1","23.1","23.1","93.5%"
"9","Geno Smith (LV)","28","40","70.0","284","7.1","1","0","7","4","72","0","0","1","22.6","22.6","18.3%"
"10","Trevor Lawrence (JAC)","28","34","82.4","371","10.9","2","1","0","2","4","0","0","1","22.2","22.2","41.6%"
"11","Daniel Jones (IND)","23","34","67.6","257","7.6","2","0","3","11","38","0","0","1","22.1","22.1","7.7%"
"12","Jayden Daniels (WAS)","14","25","56.0","238","9.5","1","1","3","11","82","0","0","1","20.7","20.7","99.6%"
"13","Dak Prescott (DAL)","29","42","69.0","352","8.4","2","2","2","1","3","0","1","1","18.4","18.4","81.6%"
"14","Jordan Love (GB)","15","26","57.7","224","8.6","2","1","2","3","10","0","0","1","17.0","17.0","69.0%"
"15","C.J. Stroud (HOU)","28","38","73.7","331","8.7","1","1","1","3","27","0","1","1","16.9","16.9","69.5%"
"16","Justin Fields (NYJ)","15","27","55.6","131","4.9","2","0","3","6","27","0","0","1","15.9","15.9","74.9%"
"17","Brock Purdy (SF)","19","35","54.3","244","7.0","1","2","2","4","33","0","0","1","15.1","15.1","88.3%"
"18","Aaron Rodgers (PIT)","29","54","53.7","244","4.5","2","3","3","0","0","0","0","1","14.8","14.8","15.4%"
"19","Josh Allen (BUF)","9","30","30.0","131","4.4","1","0","1","4","54","0","0","1","14.6","14.6","99.7%"
"20","Patrick Mahomes II (KC)","28","39","71.8","331","8.5","0","1","2","6","22","0","0","1","14.4","14.4","97.6%"
"21","Derek Carr (FA)","18","28","64.3","165","5.9","2","1","1","0","0","0","0","1","13.6","13.6","1.1%"
"22","Matthew Stafford (LAR)","29","45","64.4","260","5.8","1","1","3","0","0","0","0","1","13.4","13.4","28.7%"
"23","Gardner Minshew II (KC)","12","17","70.6","137","8.1","1","2","2","2","22","0","0","1","9.7","9.7","1.2%"
"24","Deshaun Watson (CLE)","15","28","53.6","125","4.5","1","0","7","3","14","0","1","1","8.4","8.4","1.1%"
"25","Tyler Huntley (CLE)","18","31","58.1","194","6.3","0","1","3","3","7","0","0","1","7.5","7.5","1.0%"
"26","Jacoby Brissett (ARI)","18","34","52.9","160","4.7","0","0","2","1","10","0","0","1","7.4","7.4","0.6%"
"27","Sam Darnold (SEA)","14","31","45.2","179","5.8","0","1","4","5","11","0","1","1","5.3","5.3","17.8%"
"28","Andy Dalton (CAR)","18","28","64.3","136","4.9","0","1","3","1","3","0","0","1","4.7","4.7","0.7%"
"29","Bryce Young (CAR)","4","7","57.1","58","8.3","0","0","1","1","8","0","0","1","3.1","3.1","26.6%"
"30","Aidan O'Connell (LV)","10","20","50.0","94","4.7","0","1","1","0","0","0","0","1","2.8","2.8","1.0%"
"31","Jake Haener (NO)","2","7","28.6","17","2.4","0","0","0","2","11","0","0","1","1.8","1.8","1.1%"
"32","Nick Mullens (JAC)","1","1","100.0","24","24.0","0","0","0","0","0","0","0","1","1.0","1.0","1.0%"
