"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Dallas Goedert (PHI)","10","11","170","17.0","61","4","0","0","0","0","0","1","17.0","17.0","77.1%"
"2","Cole Kmet (CHI)","10","11","97","9.7","19","0","1","0","0","0","0","1","15.7","15.7","7.2%"
"3","Dalton Kincaid (BUF)","3","5","41","13.7","28","1","1","0","0","0","0","1","10.1","10.1","78.3%"
"4","Jake Ferguson (DAL)","6","11","95","15.8","26","2","0","0","0","0","0","1","9.5","9.5","69.2%"
"5","Tyler Conklin (LAC)","5","6","93","18.6","22","3","0","0","0","0","0","1","9.3","9.3","3.5%"
"6","Brenton Strange (JAC)","2","5","12","6.0","6","0","1","0","0","0","0","1","7.2","7.2","22.6%"
"7","Nick Vannett (MIN)","2","2","9","4.5","8","0","1","0","0","0","0","1","6.9","6.9","0.0%"
"8","Johnny Mundt (JAC)","1","3","2","2.0","2","0","1","0","0","0","0","1","6.2","6.2","0.1%"
"9","Noah Fant (CIN)","6","6","60","10.0","16","0","0","0","0","0","0","1","6.0","6.0","4.2%"
"10","Kyle Pitts Sr. (ATL)","2","5","59","29.5","50","1","0","0","0","0","0","1","5.9","5.9","68.2%"
"11","Mike Gesicki (CIN)","4","5","47","11.8","17","0","0","0","0","0","0","1","4.7","4.7","15.2%"
"12","Josh Whyle (TEN)","4","5","43","10.8","23","1","0","0","0","0","0","1","4.3","4.3","0.6%"
"13","Brock Bowers (LV)","3","4","41","13.7","21","1","0","0","0","0","0","1","4.1","4.1","99.6%"
"14","Eric Saubert (SEA)","2","2","41","20.5","17","0","0","0","0","0","0","1","4.1","4.1","1.8%"
"15","Kylen Granson (PHI)","1","1","40","40.0","40","1","0","0","0","0","0","1","4.0","4.0","1.2%"
"16","Zach Ertz (WAS)","5","5","38","7.6","12","0","0","0","0","0","0","1","3.8","3.8","43.6%"
"17","Sam LaPorta (DET)","2","2","36","18.0","24","1","0","0","0","0","0","1","3.6","3.6","98.7%"
"18","Brock Wright (DET)","4","5","34","8.5","11","0","0","0","0","0","0","1","3.4","3.4","0.6%"
"19","Pat Freiermuth (PIT)","4","5","33","8.3","15","0","0","0","0","0","0","1","3.3","3.3","18.8%"
"20","Charlie Kolar (BAL)","1","1","30","30.0","30","1","0","0","0","0","0","1","3.0","3.0","0.1%"
"21","Travis Kelce (KC)","4","5","30","7.5","17","0","0","0","0","0","0","1","3.0","3.0","97.0%"
"22","Tommy Tremble (CAR)","3","3","29","9.7","20","1","0","0","0","0","0","1","2.9","2.9","0.6%"
"23","Jordan Akins (FA)","4","7","29","7.3","10","0","0","0","0","0","0","1","2.9","2.9","1.0%"
"24","Cade Otton (TB)","7","8","47","6.7","13","0","0","0","0","0","1","1","2.7","2.7","16.9%"
"25","Trey McBride (ARI)","3","6","25","8.3","9","0","0","0","0","0","0","1","2.5","2.5","99.4%"
"26","Julian Hill (MIA)","2","2","24","12.0","13","0","0","0","0","0","0","1","2.4","2.4","0.6%"
"27","Tucker Kraft (GB)","2","3","24","12.0","21","1","0","0","0","0","0","1","2.4","2.4","83.6%"
"28","Erick All Jr. (CIN)","4","4","22","5.5","8","0","0","0","0","0","0","1","2.2","2.2","0.6%"
"29","Colby Parkinson (LAR)","3","5","21","7.0","9","0","0","0","0","0","0","1","2.1","2.1","0.6%"
"30","Austin Hooper (NE)","1","4","19","19.0","19","0","0","0","0","0","0","1","1.9","1.9","1.5%"
"31","Will Dissly (LAC)","3","3","19","6.3","7","0","0","0","0","0","0","1","1.9","1.9","2.2%"
"32","Jonnu Smith (PIT)","2","3","18","9.0","13","0","0","0","0","0","0","1","1.8","1.8","54.3%"
"33","Daniel Bellinger (NYG)","1","1","17","17.0","17","0","0","0","0","0","0","1","1.7","1.7","0.6%"
"34","Chig Okonkwo (TEN)","2","2","15","7.5","8","0","0","0","0","0","0","1","1.5","1.5","19.0%"
"35","Hayden Hurst (FA)","2","2","15","7.5","8","0","0","0","0","0","0","1","1.5","1.5","1.3%"
"36","Jeremy Ruckert (NYJ)","2","2","15","7.5","11","0","0","0","0","0","0","1","1.5","1.5","0.7%"
"37","AJ Barner (SEA)","3","3","13","4.3","8","0","0","0","0","0","0","1","1.3","1.3","2.6%"
"38","Adam Trautman (DEN)","1","1","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","0.7%"
"39","Noah Gray (KC)","1","2","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","4.8%"
"40","Theo Johnson (NYG)","1","3","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","6.6%"
"41","Dalton Schultz (HOU)","2","5","11","5.5","8","0","0","0","0","0","0","1","1.1","1.1","9.8%"
"42","Elijah Higgins (ARI)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.6%"
"43","Pharaoh Brown (MIA)","1","2","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.1%"
"44","Hunter Henry (NE)","2","3","9","4.5","9","0","0","0","0","0","0","1","0.9","0.9","45.3%"
"45","Josiah Deguara (ARI)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"46","Payne Durham (TB)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.6%"
"47","Dawson Knox (BUF)","1","2","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","2.1%"
"48","Michael Mayer (LV)","1","3","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","3.2%"
"49","Nate Adkins (DEN)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","1.0%"
"50","Luke Schoonmaker (DAL)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","1.4%"
"51","Isaiah Likely (BAL)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","27.6%"
"52","Durham Smythe (CHI)","1","2","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.6%"
"53","Luke Musgrave (GB)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","2.6%"
