"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jauan Jennings (SF)","11","12","175","15.9","34","3","3","0","0","0","0","1","35.5","35.5","80.0%"
"2","Ja'Marr Chase (CIN)","6","7","118","19.7","41","3","2","0","0","0","0","1","23.8","23.8","99.7%"
"3","Amari Cooper (FA)","7","12","86","12.3","24","2","2","0","0","0","0","1","20.6","20.6","6.5%"
"4","Malik Nabers (NYG)","8","12","78","9.8","28","1","2","2","4","0","0","1","20.2","20.2","99.6%"
"5","Diontae Johnson (CLE)","8","14","122","15.3","35","2","1","0","0","0","0","1","18.2","18.2","5.6%"
"6","Rome Odunze (CHI)","6","11","112","18.7","47","2","1","1","2","0","0","1","17.4","17.4","87.2%"
"7","Rashee Rice (KC)","12","14","110","9.2","27","1","1","1","1","0","0","1","17.1","17.1","93.9%"
"8","DK Metcalf (PIT)","4","6","104","26.0","71","2","1","0","0","0","0","1","16.4","16.4","96.5%"
"9","Terry McLaurin (WAS)","4","6","100","25.0","55","2","1","0","0","0","0","1","16.0","16.0","97.1%"
"10","Tre Tucker (LV)","7","9","96","13.7","54","1","1","0","0","0","0","1","15.6","15.6","2.1%"
"11","Calvin Austin III (PIT)","4","5","95","23.8","55","2","1","0","0","0","0","1","15.5","15.5","6.8%"
"12","Chris Olave (NO)","6","6","86","14.3","29","1","1","0","0","0","0","1","14.6","14.6","86.4%"
"13","Jakobi Meyers (LV)","7","9","62","8.9","16","0","1","0","0","0","0","1","14.2","14.2","84.5%"
"14","Justin Jefferson (MIN)","6","8","81","13.5","28","2","1","0","0","0","0","1","14.1","14.1","99.7%"
"15","Amon-Ra St. Brown (DET)","7","8","75","10.7","20","1","1","0","0","0","0","1","13.5","13.5","99.7%"
"16","DeAndre Hopkins (BAL)","6","7","73","12.2","20","1","1","0","0","0","0","1","13.3","13.3","14.9%"
"17","Khalil Shakir (BUF)","6","6","72","12.0","27","1","1","0","0","0","0","1","13.2","13.2","78.1%"
"18","Drake London (ATL)","6","9","67","11.2","14","0","1","0","0","0","0","1","12.7","12.7","99.2%"
"19","Marvin Harrison Jr. (ARI)","5","11","64","12.8","17","0","1","0","0","0","0","1","12.4","12.4","97.5%"
"20","Chris Godwin (TB)","6","9","53","8.8","13","0","1","0","0","0","0","1","11.3","11.3","81.4%"
"21","Andrei Iosivas (CIN)","5","7","52","10.4","16","0","1","0","0","0","0","1","11.2","11.2","4.0%"
"22","KaVontae Turpin (DAL)","3","3","51","17.0","23","1","1","1","1","0","0","1","11.2","11.2","2.6%"
"23","Allen Lazard (NYJ)","3","3","48","16.0","27","1","1","0","0","0","0","1","10.8","10.8","1.8%"
"24","Quentin Johnston (LAC)","2","2","44","22.0","27","1","1","0","0","0","0","1","10.4","10.4","14.4%"
"25","Jalen Tolbert (DAL)","3","5","42","14.0","19","0","1","0","0","0","0","1","10.2","10.2","3.2%"
"26","Adam Thielen (CAR)","3","5","40","13.3","31","1","1","0","0","0","0","1","10.0","10.0","36.0%"
"27","Stefon Diggs (NE)","10","12","94","9.4","19","0","0","0","0","0","0","1","9.9","9.9","85.2%"
"28","Jalen Nailor (MIN)","3","4","31","10.3","18","0","1","1","3","0","0","1","9.4","9.4","4.5%"
"29","Tutu Atwell (LAR)","4","5","93","23.3","50","2","0","0","0","0","0","1","9.3","9.3","3.2%"
"30","Garrett Wilson (NYJ)","5","9","33","6.6","9","0","1","0","0","0","0","1","9.3","9.3","97.7%"
"31","Rashod Bateman (BAL)","3","4","28","9.3","13","0","1","0","0","0","0","1","8.8","8.8","33.3%"
"32","Nico Collins (HOU)","4","10","86","21.5","34","2","0","0","0","0","0","1","8.6","8.6","99.6%"
"33","Keon Coleman (BUF)","1","1","24","24.0","24","1","1","0","0","0","0","1","8.4","8.4","65.1%"
"34","DeVonta Smith (PHI)","7","10","79","11.3","21","1","0","0","0","0","0","1","7.9","7.9","94.0%"
"35","Christian Kirk (HOU)","8","10","79","9.9","24","1","0","0","0","0","0","1","7.9","7.9","31.0%"
"36","DeMario Douglas (NE)","7","9","69","9.9","22","1","0","1","9","0","0","1","7.8","7.8","17.0%"
"37","JuJu Smith-Schuster (KC)","2","3","17","8.5","13","0","1","0","0","0","0","1","7.7","7.7","1.2%"
"38","DJ Moore (CHI)","8","10","78","9.8","44","1","0","1","-6","0","0","1","7.2","7.2","94.6%"
"39","Jayden Reed (GB)","4","6","50","12.5","30","1","0","2","19","0","0","1","6.9","6.9","76.8%"
"40","Courtland Sutton (DEN)","7","11","68","9.7","22","1","0","0","0","0","0","1","6.8","6.8","93.4%"
"41","Christian Watson (GB)","2","2","67","33.5","37","2","0","0","0","0","0","1","6.7","6.7","5.5%"
"42","Darnell Mooney (ATL)","8","8","66","8.3","26","1","0","0","0","0","0","1","6.6","6.6","57.0%"
"43","Michael Wilson (ARI)","8","9","64","8.0","28","1","0","0","0","0","0","1","6.4","6.4","7.0%"
"44","Tank Dell (HOU)","5","6","62","12.4","19","0","0","0","0","0","0","1","6.2","6.2","3.9%"
"45","Wan'Dale Robinson (NYG)","7","8","61","8.7","20","1","0","0","0","0","0","1","6.1","6.1","19.3%"
"46","George Pickens (DAL)","5","7","57","11.4","27","1","0","0","0","0","0","1","5.7","5.7","92.8%"
"47","Nelson Agholor (FA)","1","1","56","56.0","56","1","0","0","0","0","0","1","5.6","5.6","1.0%"
"48","Brian Thomas Jr. (JAC)","5","9","48","9.6","16","0","0","0","0","0","0","1","4.8","4.8","99.5%"
"49","Brandon Aiyuk (SF)","5","10","48","9.6","12","0","0","0","0","0","0","1","4.8","4.8","53.7%"
"50","CeeDee Lamb (DAL)","4","7","67","16.8","31","1","0","0","0","0","1","1","4.7","4.7","99.6%"
"51","Jerry Jeudy (CLE)","4","7","27","6.8","12","0","0","0","0","0","0","1","4.7","4.7","88.6%"
"52","Tyler Lockett (TEN)","5","8","46","9.2","18","0","0","0","0","0","0","1","4.6","4.6","9.4%"
"53","Ladd McConkey (LAC)","3","6","44","14.7","18","0","0","0","0","0","0","1","4.4","4.4","99.2%"
"54","Alec Pierce (IND)","1","2","44","44.0","44","1","0","0","0","0","0","1","4.4","4.4","8.8%"
"55","Luke McCaffrey (WAS)","3","3","44","14.7","30","1","0","0","0","0","0","1","4.4","4.4","1.8%"
"56","Xavier Legette (CAR)","2","3","42","21.0","35","1","0","0","0","0","0","1","4.2","4.2","25.9%"
"57","Davante Adams (LAR)","4","9","40","10.0","15","0","0","0","0","0","0","1","4.0","4.0","97.3%"
"58","Tyreek Hill (MIA)","3","5","40","13.3","17","0","0","0","0","0","0","1","4.0","4.0","98.6%"
"59","Jaxon Smith-Njigba (SEA)","3","3","39","13.0","18","0","0","0","0","0","0","1","3.9","3.9","98.2%"
"60","Tee Higgins (CIN)","3","6","39","13.0","16","0","0","0","0","0","0","1","3.9","3.9","99.0%"
"61","Ray-Ray McCloud III (ATL)","2","3","17","8.5","15","0","0","1","20","0","0","1","3.7","3.7","2.6%"
"62","Lil'Jordan Humphrey (NYG)","6","8","37","6.2","17","0","0","0","0","0","0","1","3.7","3.7","0.7%"
"63","Michael Pittman Jr. (IND)","4","5","36","9.0","13","0","0","0","0","0","0","1","3.6","3.6","68.4%"
"64","Josh Reynolds (NYJ)","2","2","36","18.0","31","1","0","0","0","0","0","1","3.6","3.6","2.5%"
"65","Greg Dortch (ARI)","3","6","35","11.7","13","0","0","0","0","0","0","1","3.5","3.5","1.6%"
"66","Mike Williams (FA)","3","4","34","11.3","18","0","0","0","0","0","0","1","3.4","3.4","2.0%"
"67","Tyler Boyd (FA)","3","4","33","11.0","20","1","0","0","0","0","0","1","3.3","3.3","0.7%"
"68","Demarcus Robinson (SF)","1","4","32","32.0","32","1","0","0","0","0","0","1","3.2","3.2","2.1%"
"69","Scotty Miller (PIT)","2","2","31","15.5","20","1","0","0","0","0","0","1","3.1","3.1","0.1%"
"70","Xavier Worthy (KC)","2","4","17","8.5","10","0","0","3","13","0","0","1","3.0","3.0","95.5%"
"71","Dee Eskridge (MIA)","1","1","30","30.0","30","1","0","0","0","0","0","1","3.0","3.0","0.0%"
