"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","George Pickens (DAL)","11","8","134","16.8","28","3","2","0","0","0","0","1","25.4","25.4","97.3%"
"2","Romeo Doubs (GB)","8","6","58","9.7","18","0","3","0","0","0","0","1","23.8","23.8","55.8%"
"3","Puka Nacua (LAR)","15","13","170","13.1","31","2","1","0","0","0","0","1","23.0","23.0","99.8%"
"4","Amon-Ra St. Brown (DET)","7","7","70","10.0","25","1","2","0","0","0","0","1","19.0","19.0","99.6%"
"5","DK Metcalf (PIT)","5","5","126","25.2","80","1","1","0","0","0","0","1","18.6","18.6","97.8%"
"6","Drake London (ATL)","10","8","110","13.8","43","1","1","0","0","0","0","1","17.0","17.0","99.4%"
"7","Emeka Egbuka (TB)","10","4","101","25.3","77","1","1","1","0","0","0","1","16.1","16.1","97.3%"
"8","Quentin Johnston (LAC)","13","8","98","12.3","36","2","1","0","0","0","0","1","15.8","15.8","62.1%"
"9","Tutu Atwell (LAR)","2","1","88","88.0","88","1","1","0","0","0","0","1","14.8","14.8","1.5%"
"10","Marvin Mims Jr. (DEN)","6","6","69","11.5","28","1","0","1","16","1","0","1","14.5","14.5","33.5%"
"11","Garrett Wilson (NYJ)","8","6","82","13.7","23","1","1","0","0","0","0","1","14.2","14.2","95.8%"
"12","Deebo Samuel Sr. (WAS)","6","6","72","12.0","24","1","1","3","9","0","0","1","14.1","14.1","92.3%"
"13","Courtland Sutton (DEN)","6","5","81","16.2","22","2","1","0","0","0","0","1","14.1","14.1","95.4%"
"14","Rome Odunze (CHI)","8","4","69","17.3","27","1","1","0","0","0","0","1","12.9","12.9","95.0%"
"15","Khalil Shakir (BUF)","5","5","69","13.8","43","1","1","0","0","0","0","1","12.9","12.9","81.9%"
"16","Justin Jefferson (MIN)","11","10","126","12.6","29","2","0","0","0","0","0","1","12.6","12.6","99.8%"
"17","Marvin Harrison Jr. (ARI)","10","6","66","11.0","18","0","1","0","0","0","0","1","12.6","12.6","95.2%"
"18","Xavier Worthy (KC)","8","5","83","16.6","37","2","0","2","38","0","0","1","12.1","12.1","92.8%"
"19","Davante Adams (LAR)","6","4","56","14.0","25","1","1","0","0","0","0","1","11.6","11.6","98.5%"
"20","Jordan Addison (MIN)","8","4","114","28.5","81","2","0","0","0","0","0","1","11.4","11.4","87.7%"
"21","Michael Pittman Jr. (IND)","10","5","41","8.2","17","0","1","0","0","0","0","1","10.1","10.1","87.6%"
"22","Stefon Diggs (NE)","7","6","101","16.8","33","3","0","0","0","0","0","1","10.1","10.1","91.1%"
