"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Dak Prescott (DAL)","31","40","77.5","319","8.0","3","0","1","1","2","1","0","1","31.0","31.0","90.8%"
"2","Matthew Stafford (LAR)","29","41","70.7","375","9.1","3","0","3","4","4","0","0","1","27.4","27.4","79.7%"
"3","Patrick Mahomes II (KC)","25","37","67.6","270","7.3","4","0","1","4","5","0","0","1","27.3","27.3","99.2%"
"4","Justin Fields (NYJ)","20","27","74.1","226","8.4","1","0","2","7","81","1","1","1","27.1","27.1","40.3%"
"5","Bo Nix (DEN)","29","42","69.0","326","7.8","2","1","0","6","7","1","0","1","26.7","26.7","92.8%"
"6","Jordan Love (GB)","31","43","72.1","337","7.8","3","0","1","3","28","0","1","1","26.3","26.3","79.2%"
"7","Josh Allen (BUF)","16","22","72.7","209","9.5","2","1","3","7","45","1","0","1","25.9","25.9","99.7%"
"8","Drake Maye (NE)","14","17","82.4","203","11.9","2","0","1","3","11","1","0","1","23.2","23.2","94.2%"
"9","Carson Wentz (MIN)","30","46","65.2","350","7.6","2","2","6","2","12","0","0","1","23.2","23.2","2.1%"
"10","Baker Mayfield (TB)","22","40","55.0","289","7.2","2","1","2","2","13","0","0","1","19.9","19.9","95.9%"
"11","Jaxson Dart (NYG)","13","20","65.0","111","5.6","1","0","5","10","54","1","0","1","19.8","19.8","74.2%"
"12","Brock Purdy (SF)","22","38","57.9","309","8.1","2","2","1","2","13","0","1","1","19.7","19.7","69.3%"
"13","Michael Penix Jr. (ATL)","20","26","76.9","313","12.0","2","1","1","4","2","0","0","1","19.7","19.7","16.9%"
"14","Jalen Hurts (PHI)","15","24","62.5","130","5.4","2","0","2","9","62","0","0","1","19.4","19.4","99.7%"
"15","C.J. Stroud (HOU)","22","28","78.6","233","8.3","2","0","2","4","11","0","0","1","18.4","18.4","64.6%"
"16","Kyler Murray (ARI)","27","41","65.9","200","4.9","2","2","6","5","41","0","0","1","18.1","18.1","71.2%"
"17","Marcus Mariota (WAS)","16","27","59.3","156","5.8","2","1","2","2","20","0","0","1","17.2","17.2","6.5%"
"18","Sam Darnold (SEA)","18","26","69.2","242","9.3","1","0","3","1","24","0","0","1","16.1","16.1","38.9%"
"19","Tua Tagovailoa (MIA)","17","25","68.0","177","7.1","2","0","0","3","6","0","0","1","15.7","15.7","23.2%"
"20","Justin Herbert (LAC)","23","41","56.1","203","5.0","1","2","2","1","24","0","0","1","14.5","14.5","93.4%"
"21","Spencer Rattler (NO)","18","27","66.7","126","4.7","1","0","3","6","49","0","0","1","13.9","13.9","4.2%"
"22","Jared Goff (DET)","16","27","59.3","168","6.2","2","1","0","0","0","0","0","1","13.7","13.7","83.7%"
"23","Aaron Rodgers (PIT)","18","22","81.8","200","9.1","1","0","2","3","8","0","0","1","12.8","12.8","41.5%"
"24","Geno Smith (LV)","14","21","66.7","117","5.6","2","3","0","4","31","0","0","1","12.8","12.8","12.5%"
"25","Caleb Williams (CHI)","22","37","59.5","212","5.7","1","1","1","8","13","0","0","1","12.8","12.8","78.0%"
"26","Daniel Jones (IND)","24","33","72.7","262","7.9","1","2","2","1","-1","0","0","1","12.4","12.4","65.8%"
"27","Lamar Jackson (BAL)","14","20","70.0","147","7.4","1","1","3","6","48","0","1","1","11.7","11.7","99.8%"
"28","Trevor Lawrence (JAC)","21","31","67.7","174","5.6","1","0","0","7","7","0","0","1","11.7","11.7","38.9%"
"29","Bryce Young (CAR)","18","30","60.0","150","5.0","1","0","1","1","3","0","0","1","10.3","10.3","18.4%"
"30","Andy Dalton (CAR)","5","6","83.3","58","9.7","1","0","0","0","0","0","0","1","6.3","6.3","1.3%"
"31","Cam Ward (TEN)","10","26","38.5","108","4.2","0","1","2","2","22","0","0","1","5.5","5.5","10.9%"
"32","Jake Browning (CIN)","14","25","56.0","125","5.0","0","0","3","3","4","0","0","1","5.4","5.4","1.2%"
"33","Joe Flacco (CIN)","16","34","47.1","184","5.4","0","2","3","3","-1","0","1","1","3.3","3.3","45.6%"
"34","Cooper Rush (BAL)","9","13","69.2","52","4.0","0","0","0","0","0","0","0","1","2.1","2.1","0.7%"
"35","Russell Wilson (NYG)","1","1","100.0","8","8.0","0","0","1","0","0","0","0","1","0.3","0.3","2.1%"
"36","Zach Wilson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"37","Kenny Pickett (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"38","Davis Mills (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"39","Connor Bazelak (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"40","Jalen Milroe (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"41","Jayden Daniels (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.0%"
"42","Adrian Martinez (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","J.J. McCarthy (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.2%"
"44","Malik Cunningham (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"45","Sam Howell (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"46","Kyle McCord (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"47","Will Levis (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"48","Max Brosmer (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"49","DJ Uiagalelei (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Garrett Greene (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Emory Jones (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"53","Trey Lance (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"54","Mac Jones (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.1%"
"55","Sam Ehlinger (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Sean Clifford (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"57","Hunter Dekkers (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Will Howard (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"59","Joe Milton III (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"60","Shedeur Sanders (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4%"
"61","Clayton Tune (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"62","Tyson Bagent (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"63","Tommy DeVito (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"64","Riley Leonard (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"65","Carter Bradley (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Cam Miller (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"67","Brady Cook (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"68","Kurtis Rourke (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"69","John Rhys Plumlee (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Tyler Shough (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.2%"
"71","Bailey Zappe (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"72","Quinn Ewers (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"73","Stetson Bennett IV (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"74","Malik Willis (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"75","Dillon Gabriel (CLE)","0","1","0.0","0","0.0","0","0","0","0","0","0","0","1","0.0","0.0","3.4%"
"76","Kedon Slovis (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Skylar Thompson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.8%"
"78","Chris Oladokun (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Jake Haener (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"80","Tanner McKee (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"81","Aidan O'Connell (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"82","Hendon Hooker (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"83","Sam Hartman (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Anthony Richardson Sr. (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.7%"
"85","Graham Mertz (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Tyrod Taylor (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"87","Ben Chappell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
