"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Dallas Goedert (PHI)","4","4","37","9.3","22","1","2","0","0","0","0","1","15.7","15.7","87.7%"
"2","Darren Waller (MIA)","4","3","27","9.0","14","0","2","0","0","0","0","1","14.7","14.7","28.6%"
"3","Tyler Warren (IND)","6","5","70","14.0","24","2","0","2","3","1","0","1","13.3","13.3","97.6%"
"4","Kyle Pitts Sr. (ATL)","5","5","70","14.0","26","2","1","0","0","0","0","1","13.0","13.0","77.2%"
"5","Jake Tonges (SF)","5","3","58","19.3","23","2","1","0","0","0","0","1","11.8","11.8","2.8%"
"6","Tommy Tremble (CAR)","8","5","42","8.4","15","0","1","0","0","0","0","1","10.2","10.2","0.7%"
"7","Jake Ferguson (DAL)","7","7","40","5.7","11","0","1","0","0","0","0","1","10.0","10.0","88.3%"
"8","Hunter Henry (NE)","2","2","39","19.5","31","1","1","0","0","0","0","1","9.9","9.9","61.7%"
"9","AJ Barner (SEA)","3","3","32","10.7","16","0","1","0","0","0","0","1","9.2","9.2","15.4%"
"10","Dalton Kincaid (BUF)","2","1","28","28.0","28","1","1","0","0","0","0","1","8.8","8.8","78.2%"
"11","Mitchell Evans (CAR)","4","3","23","7.7","16","0","1","0","0","0","0","1","8.3","8.3","0.6%"
"12","Hunter Long (JAC)","3","3","23","7.7","11","0","1","0","0","0","0","1","8.3","8.3","0.6%"
"13","Theo Johnson (NYG)","5","3","17","5.7","10","0","1","0","0","0","0","1","7.7","7.7","29.2%"
"14","Mason Taylor (NYJ)","7","5","65","13.0","27","1","0","0","0","0","0","1","6.5","6.5","19.5%"
"15","Tucker Kraft (GB)","5","5","56","11.2","16","0","0","0","0","0","0","1","5.6","5.6","90.6%"
"16","Trey McBride (ARI)","11","7","52","7.4","17","0","0","0","0","0","0","1","5.2","5.2","99.7%"
"17","Travis Kelce (KC)","5","5","48","9.6","15","0","0","0","0","0","0","1","4.8","4.8","97.2%"
"18","Brock Bowers (LV)","6","5","46","9.2","19","0","0","0","0","0","0","1","4.6","4.6","97.0%"
"19","Cole Kmet (CHI)","9","3","46","15.3","29","1","0","0","0","0","0","1","4.6","4.6","3.8%"
